MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2020Jun17 17:49:48 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1589235240,           2020-05-11 22:14:00,           2020-05-11 15:14:00,      3.440000,      7.010000,          9.504000,                    95.748297,      0.883000
                1589235840,           2020-05-11 22:24:00,           2020-05-11 15:24:00,      3.440000,      5.617000,          9.873000,                    96.013811,      0.910000
                1589236440,           2020-05-11 22:34:00,           2020-05-11 15:34:00,      3.440000,      5.121000,         10.084000,                    96.819262,      0.915000
                1589237040,           2020-05-11 22:44:00,           2020-05-11 15:44:00,      3.440000,      4.822000,         10.149000,                    96.689417,      0.915000
                1589237640,           2020-05-11 22:54:00,           2020-05-11 15:54:00,      3.440000,      4.721000,         10.180000,                    96.729707,      0.916000
                1589238240,           2020-05-11 23:04:00,           2020-05-11 16:04:00,      3.430000,      4.721000,         10.220000,                    97.109785,      0.917000
                1589238840,           2020-05-11 23:14:00,           2020-05-11 16:14:00,      3.430000,      4.892000,         10.158000,                    96.951663,      0.916000
                1589239440,           2020-05-11 23:24:00,           2020-05-11 16:24:00,      3.430000,      4.872000,         10.169000,                    97.006157,      0.916000
                1589240040,           2020-05-11 23:34:00,           2020-05-11 16:34:00,      3.430000,      7.441000,          9.602000,                    97.781261,      0.925000
                1589240640,           2020-05-11 23:44:00,           2020-05-11 16:44:00,      3.440000,     10.527000,          8.763000,                    96.152615,      0.920000
                1589241240,           2020-05-11 23:54:00,           2020-05-11 16:54:00,      3.440000,     11.955000,          8.836000,                   100.227042,      0.918000
                1589241840,           2020-05-12 00:04:00,           2020-05-11 17:04:00,      3.440000,     12.124000,          8.754000,                    99.682577,      0.915000
                1589242440,           2020-05-12 00:14:00,           2020-05-11 17:14:00,      3.440000,     12.141000,          8.736000,                    99.516345,      0.914000
                1589243040,           2020-05-12 00:24:00,           2020-05-11 17:24:00,      3.440000,     12.177000,          8.747000,                    99.723798,      0.916000
                1589243640,           2020-05-12 00:34:00,           2020-05-11 17:34:00,      3.440000,     12.150000,          8.735000,                    99.525460,      0.915000
                1589244240,           2020-05-12 00:44:00,           2020-05-11 17:44:00,      3.440000,     12.141000,          8.741000,                    99.573303,      0.915000
                1589244840,           2020-05-12 00:54:00,           2020-05-11 17:54:00,      3.440000,     12.141000,          8.728000,                    99.425213,      0.915000
                1589245440,           2020-05-12 01:04:00,           2020-05-11 18:04:00,      3.440000,     12.115000,          8.739000,                    99.491258,      0.914000
                1589246040,           2020-05-12 01:14:00,           2020-05-11 18:14:00,      3.440000,     12.106000,          8.746000,                    99.550423,      0.915000
                1589246640,           2020-05-12 01:24:00,           2020-05-11 18:24:00,      3.440000,     12.106000,          8.745000,                    99.539040,      0.915000
                1589247240,           2020-05-12 01:34:00,           2020-05-11 18:34:00,      3.440000,     12.070000,          8.744000,                    99.445575,      0.915000
                1589247840,           2020-05-12 01:44:00,           2020-05-11 18:44:00,      3.440000,     12.079000,          8.731000,                    99.318214,      0.915000
                1589248440,           2020-05-12 01:54:00,           2020-05-11 18:54:00,      3.440000,     12.070000,          8.741000,                    99.411456,      0.914000
                1589249040,           2020-05-12 02:04:00,           2020-05-11 19:04:00,      3.440000,     12.026000,          8.743000,                    99.333913,      0.914000
                1589249640,           2020-05-12 02:14:00,           2020-05-11 19:14:00,      3.440000,     12.026000,          8.753000,                    99.447529,      0.915000
                1589250240,           2020-05-12 02:24:00,           2020-05-11 19:24:00,      3.440000,     12.017000,          8.760000,                    99.506509,      0.914000
                1589250840,           2020-05-12 02:34:00,           2020-05-11 19:34:00,      3.440000,     11.999000,          8.756000,                    99.419994,      0.914000
                1589251440,           2020-05-12 02:44:00,           2020-05-11 19:44:00,      3.440000,     11.999000,          8.768000,                    99.556248,      0.915000
                1589252040,           2020-05-12 02:54:00,           2020-05-11 19:54:00,      3.440000,     11.999000,          8.768000,                    99.556248,      0.915000
