MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2020Sep22 08:32:16 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1598298300,           2020-08-24 19:45:00,           2020-08-24 12:45:00,      3.430000,     22.802000,          7.313000,                   104.259966,      0.910000
                1598298900,           2020-08-24 19:55:00,           2020-08-24 12:55:00,      3.430000,     21.140000,          7.575000,                   104.527271,      0.914000
                1598299500,           2020-08-24 20:05:00,           2020-08-24 13:05:00,      3.430000,     20.956000,          7.578000,                   104.186573,      0.915000
                1598300100,           2020-08-24 20:15:00,           2020-08-24 13:15:00,      3.430000,     20.906000,          7.569000,                   103.959196,      0.916000
                1598300700,           2020-08-24 20:25:00,           2020-08-24 13:25:00,      3.440000,     20.906000,          7.579000,                   104.096545,      0.918000
                1598301300,           2020-08-24 20:35:00,           2020-08-24 13:35:00,      3.440000,     20.914000,          7.531000,                   103.453769,      0.917000
                1598301900,           2020-08-24 20:45:00,           2020-08-24 13:45:00,      3.440000,     20.889000,          7.523000,                   103.292376,      0.916000
                1598302500,           2020-08-24 20:55:00,           2020-08-24 13:55:00,      3.440000,     20.872000,          7.539000,                   103.476971,      0.918000
                1598303100,           2020-08-24 21:05:00,           2020-08-24 14:05:00,      3.440000,     20.914000,          7.606000,                   104.484048,      0.918000
                1598303700,           2020-08-24 21:15:00,           2020-08-24 14:15:00,      3.440000,     20.939000,          7.606000,                   104.536119,      0.917000
                1598304300,           2020-08-24 21:25:00,           2020-08-24 14:25:00,      3.450000,     20.939000,          7.616000,                   104.673558,      0.918000
                1598304900,           2020-08-24 21:35:00,           2020-08-24 14:35:00,      3.450000,     20.948000,          7.611000,                   104.623599,      0.917000
                1598305500,           2020-08-24 21:45:00,           2020-08-24 14:45:00,      3.450000,     20.939000,          7.601000,                   104.467400,      0.916000
                1598306100,           2020-08-24 21:55:00,           2020-08-24 14:55:00,      3.450000,     20.973000,          7.603000,                   104.565689,      0.917000
                1598306700,           2020-08-24 22:05:00,           2020-08-24 15:05:00,      3.450000,     20.956000,          7.599000,                   104.475292,      0.916000
                1598307300,           2020-08-24 22:15:00,           2020-08-24 15:15:00,      3.450000,     20.973000,          7.618000,                   104.771987,      0.917000
                1598307900,           2020-08-24 22:25:00,           2020-08-24 15:25:00,      3.450000,     20.981000,          7.597000,                   104.499817,      0.916000
                1598308500,           2020-08-24 22:35:00,           2020-08-24 15:35:00,      3.450000,     20.973000,          7.620000,                   104.799494,      0.917000
                1598309100,           2020-08-24 22:45:00,           2020-08-24 15:45:00,      3.450000,     20.989000,          7.612000,                   104.722830,      0.917000
                1598309700,           2020-08-24 22:55:00,           2020-08-24 15:55:00,      3.450000,     21.006000,          7.614000,                   104.785805,      0.918000
                1598310300,           2020-08-24 23:05:00,           2020-08-24 16:05:00,      3.450000,     20.989000,          7.630000,                   104.970467,      0.918000
                1598310900,           2020-08-24 23:15:00,           2020-08-24 16:15:00,      3.450000,     21.031000,          7.624000,                   104.975649,      0.918000
                1598311500,           2020-08-24 23:25:00,           2020-08-24 16:25:00,      3.450000,     21.006000,          7.617000,                   104.827092,      0.917000
                1598312100,           2020-08-24 23:35:00,           2020-08-24 16:35:00,      3.460000,     21.014000,          7.629000,                   105.008960,      0.917000
                1598312700,           2020-08-24 23:45:00,           2020-08-24 16:45:00,      3.460000,     21.006000,          7.629000,                   104.992239,      0.916000
                1598313300,           2020-08-24 23:55:00,           2020-08-24 16:55:00,      3.460000,     21.023000,          7.628000,                   105.014005,      0.917000
                1598313900,           2020-08-25 00:05:00,           2020-08-24 17:05:00,      3.460000,     21.014000,          7.637000,                   105.119076,      0.917000
                1598314500,           2020-08-25 00:15:00,           2020-08-24 17:15:00,      3.460000,     21.014000,          7.635000,                   105.091547,      0.917000
                1598315100,           2020-08-25 00:25:00,           2020-08-24 17:25:00,      3.460000,     21.023000,          7.676000,                   105.674817,      0.920000
                1598315700,           2020-08-25 00:35:00,           2020-08-24 17:35:00,      3.460000,     21.031000,          7.641000,                   105.209724,      0.917000
                1598316300,           2020-08-25 00:45:00,           2020-08-24 17:45:00,      3.460000,     21.031000,          7.613000,                   104.824189,      0.916000
                1598316900,           2020-08-25 00:55:00,           2020-08-24 17:55:00,      3.460000,     21.014000,          7.647000,                   105.256720,      0.918000
                1598317500,           2020-08-25 01:05:00,           2020-08-24 18:05:00,      3.460000,     21.023000,          7.640000,                   105.179208,      0.917000
                1598318100,           2020-08-25 01:15:00,           2020-08-24 18:15:00,      3.460000,     21.056000,          7.610000,                   104.835015,      0.916000
                1598318700,           2020-08-25 01:25:00,           2020-08-24 18:25:00,      3.460000,     21.031000,          7.653000,                   105.374953,      0.919000
                1598319300,           2020-08-25 01:35:00,           2020-08-24 18:35:00,      3.460000,     21.040000,          7.638000,                   105.187253,      0.918000
                1598319900,           2020-08-25 01:45:00,           2020-08-24 18:45:00,      3.460000,     21.006000,          7.617000,                   104.827092,      0.916000
                1598320500,           2020-08-25 01:55:00,           2020-08-24 18:55:00,      3.470000,     21.048000,          7.621000,                   104.969843,      0.918000
                1598321100,           2020-08-25 02:05:00,           2020-08-24 19:05:00,      3.460000,     21.014000,          7.609000,                   104.733671,      0.916000
                1598321700,           2020-08-25 02:15:00,           2020-08-24 19:15:00,      3.460000,     21.014000,          7.621000,                   104.898845,      0.917000
                1598322300,           2020-08-25 02:25:00,           2020-08-24 19:25:00,      3.460000,     21.014000,          7.596000,                   104.554733,      0.916000
                1598322900,           2020-08-25 02:35:00,           2020-08-24 19:35:00,      3.460000,     20.998000,          7.596000,                   104.521437,      0.915000
                1598323500,           2020-08-25 02:45:00,           2020-08-24 19:45:00,      3.460000,     20.973000,          7.608000,                   104.634455,      0.916000
                1598324100,           2020-08-25 02:55:00,           2020-08-24 19:55:00,      3.460000,     21.014000,          7.611000,                   104.761200,      0.918000
                1598324700,           2020-08-25 03:05:00,           2020-08-24 20:05:00,      3.470000,     21.014000,          7.598000,                   104.582262,      0.917000
                1598325300,           2020-08-25 03:15:00,           2020-08-24 20:15:00,      3.460000,     20.981000,          7.594000,                   104.458551,      0.916000
                1598325900,           2020-08-25 03:25:00,           2020-08-24 20:25:00,      3.470000,     21.040000,          7.575000,                   104.319644,      0.917000
                1598326500,           2020-08-25 03:35:00,           2020-08-24 20:35:00,      3.470000,     20.989000,          7.588000,                   104.392648,      0.917000
                1598327100,           2020-08-25 03:45:00,           2020-08-24 20:45:00,      3.470000,     20.981000,          7.590000,                   104.403530,      0.916000
                1598327700,           2020-08-25 03:55:00,           2020-08-24 20:55:00,      3.470000,     20.973000,          7.604000,                   104.579442,      0.917000
                1598328300,           2020-08-25 04:05:00,           2020-08-24 21:05:00,      3.470000,     20.973000,          7.598000,                   104.496923,      0.917000
                1598328900,           2020-08-25 04:15:00,           2020-08-24 21:15:00,      3.470000,     20.964000,          7.610000,                   104.643201,      0.917000
                1598329500,           2020-08-25 04:25:00,           2020-08-24 21:25:00,      3.470000,     20.981000,          7.597000,                   104.499817,      0.917000
                1598330100,           2020-08-25 04:35:00,           2020-08-24 21:35:00,      3.470000,     20.973000,          7.585000,                   104.318131,      0.918000
                1598330700,           2020-08-25 04:45:00,           2020-08-24 21:45:00,      3.470000,     20.956000,          7.598000,                   104.461544,      0.917000
                1598331300,           2020-08-25 04:55:00,           2020-08-24 21:55:00,      3.470000,     20.964000,          7.578000,                   104.203177,      0.916000
                1598331900,           2020-08-25 05:05:00,           2020-08-24 22:05:00,      3.470000,     20.956000,          7.591000,                   104.365304,      0.917000
                1598332500,           2020-08-25 05:15:00,           2020-08-24 22:15:00,      3.470000,     20.973000,          7.600000,                   104.524429,      0.918000
                1598333100,           2020-08-25 05:25:00,           2020-08-24 22:25:00,      3.470000,     20.973000,          7.594000,                   104.441910,      0.918000
                1598333700,           2020-08-25 05:35:00,           2020-08-24 22:35:00,      3.470000,     20.939000,          7.577000,                   104.137546,      0.916000
                1598334300,           2020-08-25 05:45:00,           2020-08-24 22:45:00,      3.470000,     20.923000,          7.590000,                   104.282960,      0.917000
                1598334900,           2020-08-25 05:55:00,           2020-08-24 22:55:00,      3.470000,     20.931000,          7.576000,                   104.107204,      0.917000
                1598335500,           2020-08-25 06:05:00,           2020-08-24 23:05:00,      3.470000,     20.931000,          7.586000,                   104.244622,      0.917000
                1598336100,           2020-08-25 06:15:00,           2020-08-24 23:15:00,      3.470000,     20.897000,          7.588000,                   104.201460,      0.918000
                1598336700,           2020-08-25 06:25:00,           2020-08-24 23:25:00,      3.470000,     20.897000,          7.581000,                   104.105333,      0.917000
                1598337300,           2020-08-25 06:35:00,           2020-08-24 23:35:00,      3.470000,     20.914000,          7.573000,                   104.030725,      0.918000
                1598337900,           2020-08-25 06:45:00,           2020-08-24 23:45:00,      3.470000,     20.889000,          7.577000,                   104.033807,      0.916000
                1598338500,           2020-08-25 06:55:00,           2020-08-24 23:55:00,      3.470000,     20.881000,          7.583000,                   104.099580,      0.917000
                1598339100,           2020-08-25 07:05:00,           2020-08-25 00:05:00,      3.470000,     20.889000,          7.580000,                   104.074998,      0.917000
