MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2020Oct.14 17:06:57 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1600802580,           2020-09-22 19:23:00,           2020-09-22 12:23:00,      3.410000,     15.852000,          8.170000,                   101.062113,      0.920000
                1600803180,           2020-09-22 19:33:00,           2020-09-22 12:33:00,      3.410000,     15.955000,          8.161000,                   101.174769,      0.920000
                1600803780,           2020-09-22 19:43:00,           2020-09-22 12:43:00,      3.420000,     16.057000,          8.179000,                   101.620346,      0.922000
                1600804380,           2020-09-22 19:53:00,           2020-09-22 12:53:00,      3.410000,     16.261000,          8.136000,                   101.528970,      0.921000
                1600804980,           2020-09-22 20:03:00,           2020-09-22 13:03:00,      3.420000,     16.389000,          8.092000,                   101.256527,      0.920000
                1600805580,           2020-09-22 20:13:00,           2020-09-22 13:13:00,      3.420000,     16.559000,          8.072000,                   101.373055,      0.921000
                1600806180,           2020-09-22 20:23:00,           2020-09-22 13:23:00,      3.420000,     22.936000,          7.606000,                   108.719411,      0.940000
                1600806780,           2020-09-22 20:33:00,           2020-09-22 13:33:00,      3.420000,     22.786000,          7.313000,                   104.227583,      0.929000
                1600807380,           2020-09-22 20:43:00,           2020-09-22 13:43:00,      3.420000,     17.406000,          8.219000,                   105.085076,      0.913000
                1600807980,           2020-09-22 20:53:00,           2020-09-22 13:53:00,      3.420000,     16.839000,          8.333000,                   105.275275,      0.916000
                1600808580,           2020-09-22 21:03:00,           2020-09-22 14:03:00,      3.420000,     16.763000,          8.302000,                   104.714686,      0.917000
                1600809180,           2020-09-22 21:13:00,           2020-09-22 14:13:00,      3.430000,     16.771000,          8.244000,                   104.000777,      0.917000
                1600809780,           2020-09-22 21:23:00,           2020-09-22 14:23:00,      3.430000,     16.780000,          8.188000,                   103.314049,      0.917000
                1600810380,           2020-09-22 21:33:00,           2020-09-22 14:33:00,      3.430000,     16.780000,          8.200000,                   103.465462,      0.918000
                1600810980,           2020-09-22 21:43:00,           2020-09-22 14:43:00,      3.430000,     16.763000,          8.193000,                   103.339848,      0.916000
                1600811580,           2020-09-22 21:53:00,           2020-09-22 14:53:00,      3.430000,     16.763000,          8.170000,                   103.049745,      0.916000
                1600812180,           2020-09-22 22:03:00,           2020-09-22 15:03:00,      3.430000,     16.754000,          8.158000,                   102.878731,      0.918000
                1600812780,           2020-09-22 22:13:00,           2020-09-22 15:13:00,      3.430000,     16.746000,          8.053000,                   101.537353,      0.917000
                1600813380,           2020-09-22 22:23:00,           2020-09-22 15:23:00,      3.430000,     16.831000,          8.059000,                   101.796418,      0.918000
                1600813980,           2020-09-22 22:33:00,           2020-09-22 15:33:00,      3.430000,     16.839000,          8.051000,                   101.712617,      0.918000
