MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2022Feb08 10:10:47 PST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1660.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1623535740,           2021-06-12 22:09:00,           2021-06-12 15:09:00,      3.430000,     17.626000,          8.480000,                   109.116175,      0.901000
                1623536340,           2021-06-12 22:19:00,           2021-06-12 15:19:00,      3.430000,     16.304000,          8.631000,                   107.995368,      0.914000
                1623536940,           2021-06-12 22:29:00,           2021-06-12 15:29:00,      3.430000,     16.142000,          8.651000,                   107.870822,      0.915000
                1623537540,           2021-06-12 22:39:00,           2021-06-12 15:39:00,      3.430000,     16.125000,          8.644000,                   107.744259,      0.915000
                1623538140,           2021-06-12 22:49:00,           2021-06-12 15:49:00,      3.430000,     16.159000,          8.599000,                   107.261504,      0.914000
                1623538740,           2021-06-12 22:59:00,           2021-06-12 15:59:00,      3.430000,     16.142000,          8.572000,                   106.885758,      0.915000
                1623539340,           2021-06-12 23:09:00,           2021-06-12 16:09:00,      3.430000,     16.176000,          8.560000,                   106.813934,      0.916000
                1623539940,           2021-06-12 23:19:00,           2021-06-12 16:19:00,      3.440000,     16.227000,          8.508000,                   106.281091,      0.915000
                1623540540,           2021-06-12 23:29:00,           2021-06-12 16:29:00,      3.440000,     16.176000,          8.529000,                   106.427108,      0.915000
                1623541140,           2021-06-12 23:39:00,           2021-06-12 16:39:00,      3.440000,     16.202000,          8.481000,                   105.887110,      0.916000
                1623541740,           2021-06-12 23:49:00,           2021-06-12 16:49:00,      3.440000,     16.202000,          8.458000,                   105.599950,      0.915000
                1623542340,           2021-06-12 23:59:00,           2021-06-12 16:59:00,      3.440000,     16.202000,          8.476000,                   105.824684,      0.916000
                1623542940,           2021-06-13 00:09:00,           2021-06-12 17:09:00,      3.440000,     16.185000,          8.448000,                   105.436697,      0.915000
                1623543540,           2021-06-13 00:19:00,           2021-06-12 17:19:00,      3.440000,     16.202000,          8.416000,                   105.075571,      0.915000
                1623544140,           2021-06-13 00:29:00,           2021-06-12 17:29:00,      3.440000,     16.193000,          8.422000,                   105.130215,      0.916000
                1623544740,           2021-06-13 00:39:00,           2021-06-12 17:39:00,      3.440000,     16.185000,          8.406000,                   104.912509,      0.915000
                1623545340,           2021-06-13 00:49:00,           2021-06-12 17:49:00,      3.440000,     16.176000,          8.409000,                   104.929716,      0.916000
                1623545940,           2021-06-13 00:59:00,           2021-06-12 17:59:00,      3.440000,     16.176000,          8.408000,                   104.917238,      0.917000
                1623546540,           2021-06-13 01:09:00,           2021-06-12 18:09:00,      3.440000,     16.151000,          8.398000,                   104.736326,      0.916000
                1623547140,           2021-06-13 01:19:00,           2021-06-12 18:19:00,      3.440000,     16.168000,          8.374000,                   104.475066,      0.916000
                1623547740,           2021-06-13 01:29:00,           2021-06-12 18:29:00,      3.440000,     16.176000,          8.388000,                   104.667672,      0.916000
                1623548340,           2021-06-13 01:39:00,           2021-06-12 18:39:00,      3.440000,     16.176000,          8.350000,                   104.193498,      0.916000
                1623548940,           2021-06-13 01:49:00,           2021-06-12 18:49:00,      3.440000,     16.159000,          8.355000,                   104.217917,      0.916000
                1623549540,           2021-06-13 01:59:00,           2021-06-12 18:59:00,      3.440000,     16.151000,          8.318000,                   103.738600,      0.914000
                1623550140,           2021-06-13 02:09:00,           2021-06-12 19:09:00,      3.440000,     16.134000,          8.382000,                   104.498690,      0.916000
                1623550740,           2021-06-13 02:19:00,           2021-06-12 19:19:00,      3.440000,     16.125000,          8.351000,                   104.092122,      0.915000
                1623551340,           2021-06-13 02:29:00,           2021-06-12 19:29:00,      3.450000,     16.108000,          8.350000,                   104.041718,      0.915000
                1623551940,           2021-06-13 02:39:00,           2021-06-12 19:39:00,      3.450000,     16.125000,          8.347000,                   104.042264,      0.916000
                1623552540,           2021-06-13 02:49:00,           2021-06-12 19:49:00,      3.450000,     16.108000,          8.355000,                   104.104018,      0.915000
                1623553140,           2021-06-13 02:59:00,           2021-06-12 19:59:00,      3.450000,     16.108000,          8.353000,                   104.079098,      0.916000
                1623553740,           2021-06-13 03:09:00,           2021-06-12 20:09:00,      3.450000,     16.125000,          8.338000,                   103.930082,      0.915000
                1623554340,           2021-06-13 03:19:00,           2021-06-12 20:19:00,      3.450000,     16.091000,          8.332000,                   103.779582,      0.917000
                1623554940,           2021-06-13 03:29:00,           2021-06-12 20:29:00,      3.450000,     16.100000,          8.347000,                   103.986491,      0.916000
                1623555540,           2021-06-13 03:39:00,           2021-06-12 20:39:00,      3.450000,     16.074000,          8.320000,                   103.592319,      0.916000
                1623556140,           2021-06-13 03:49:00,           2021-06-12 20:49:00,      3.450000,     16.108000,          8.281000,                   103.181972,      0.915000
                1623556740,           2021-06-13 03:59:00,           2021-06-12 20:59:00,      3.450000,     16.100000,          8.312000,                   103.550463,      0.917000
                1623557340,           2021-06-13 04:09:00,           2021-06-12 21:09:00,      3.450000,     16.117000,          8.275000,                   103.127116,      0.915000
                1623557940,           2021-06-13 04:19:00,           2021-06-12 21:19:00,      3.450000,     16.142000,          8.307000,                   103.581427,      0.916000
                1623558540,           2021-06-13 04:29:00,           2021-06-12 21:29:00,      3.450000,     16.134000,          8.308000,                   103.576129,      0.917000
                1623559140,           2021-06-13 04:39:00,           2021-06-12 21:39:00,      3.450000,     16.108000,          8.267000,                   103.007531,      0.915000
                1623559740,           2021-06-13 04:49:00,           2021-06-12 21:49:00,      3.450000,     16.108000,          8.274000,                   103.094751,      0.915000
                1623560340,           2021-06-13 04:59:00,           2021-06-12 21:59:00,      3.450000,     16.100000,          8.261000,                   102.915108,      0.915000
                1623560940,           2021-06-13 05:09:00,           2021-06-12 22:09:00,      3.450000,     16.100000,          8.272000,                   103.052145,      0.917000
                1623561540,           2021-06-13 05:19:00,           2021-06-12 22:19:00,      3.450000,     16.091000,          8.253000,                   102.795594,      0.915000
                1623562140,           2021-06-13 05:29:00,           2021-06-12 22:29:00,      3.450000,     16.074000,          8.267000,                   102.932416,      0.916000
                1623562740,           2021-06-13 05:39:00,           2021-06-12 22:39:00,      3.450000,     16.066000,          8.267000,                   102.914743,      0.917000
                1623563340,           2021-06-13 05:49:00,           2021-06-12 22:49:00,      3.450000,     16.040000,          8.239000,                   102.508941,      0.915000
                1623563940,           2021-06-13 05:59:00,           2021-06-12 22:59:00,      3.450000,     16.023000,          8.266000,                   102.807332,      0.917000
                1623564540,           2021-06-13 06:09:00,           2021-06-12 23:09:00,      3.450000,     16.014000,          8.251000,                   102.600934,      0.916000
                1623565140,           2021-06-13 06:19:00,           2021-06-12 23:19:00,      3.450000,     16.014000,          8.244000,                   102.513889,      0.917000
                1623565740,           2021-06-13 06:29:00,           2021-06-12 23:29:00,      3.450000,     16.023000,          8.241000,                   102.496398,      0.917000
                1623566340,           2021-06-13 06:39:00,           2021-06-12 23:39:00,      3.450000,     15.989000,          8.223000,                   102.197844,      0.915000
                1623566940,           2021-06-13 06:49:00,           2021-06-12 23:49:00,      3.450000,     15.989000,          8.250000,                   102.533408,      0.917000
                1623567540,           2021-06-13 06:59:00,           2021-06-12 23:59:00,      3.450000,     15.972000,          8.208000,                   101.974153,      0.916000
                1623568140,           2021-06-13 07:09:00,           2021-06-13 00:09:00,      3.450000,     15.955000,          8.196000,                   101.787859,      0.915000
                1623568740,           2021-06-13 07:19:00,           2021-06-13 00:19:00,      3.450000,     15.929000,          8.222000,                   102.053677,      0.917000
                1623569340,           2021-06-13 07:29:00,           2021-06-13 00:29:00,      3.450000,     15.963000,          8.199000,                   101.842633,      0.916000
                1623569940,           2021-06-13 07:39:00,           2021-06-13 00:39:00,      3.450000,     15.920000,          8.207000,                   101.847772,      0.917000
                1623570540,           2021-06-13 07:49:00,           2021-06-13 00:49:00,      3.450000,     15.903000,          8.184000,                   101.525201,      0.916000
                1623571140,           2021-06-13 07:59:00,           2021-06-13 00:59:00,      3.450000,     15.920000,          8.152000,                   101.165229,      0.915000
                1623571740,           2021-06-13 08:09:00,           2021-06-13 01:09:00,      3.450000,     15.912000,          8.155000,                   101.185041,      0.916000
                1623572340,           2021-06-13 08:19:00,           2021-06-13 01:19:00,      3.450000,     15.878000,          8.176000,                   101.371395,      0.917000
                1623572940,           2021-06-13 08:29:00,           2021-06-13 01:29:00,      3.450000,     15.895000,          8.139000,                   100.949579,      0.916000
                1623573540,           2021-06-13 08:39:00,           2021-06-13 01:39:00,      3.450000,     15.895000,          8.143000,                   100.999192,      0.917000
                1623574140,           2021-06-13 08:49:00,           2021-06-13 01:49:00,      3.450000,     15.895000,          8.133000,                   100.875160,      0.916000
                1623574740,           2021-06-13 08:59:00,           2021-06-13 01:59:00,      3.450000,     15.869000,          8.126000,                   100.731941,      0.915000
                1623575340,           2021-06-13 09:09:00,           2021-06-13 02:09:00,      3.450000,     15.878000,          8.113000,                   100.590279,      0.916000
                1623575940,           2021-06-13 09:19:00,           2021-06-13 02:19:00,      3.450000,     15.818000,          8.142000,                   100.819462,      0.917000
                1623576540,           2021-06-13 09:29:00,           2021-06-13 02:29:00,      3.460000,     15.886000,          8.115000,                   100.632406,      0.917000
                1623577140,           2021-06-13 09:39:00,           2021-06-13 02:39:00,      3.450000,     15.869000,          8.110000,                   100.533601,      0.916000
                1623577740,           2021-06-13 09:49:00,           2021-06-13 02:49:00,      3.450000,     15.861000,          8.105000,                   100.454313,      0.916000
                1623578340,           2021-06-13 09:59:00,           2021-06-13 02:59:00,      3.450000,     15.886000,          8.092000,                   100.347188,      0.916000
                1623578940,           2021-06-13 10:09:00,           2021-06-13 03:09:00,      3.450000,     15.852000,          8.097000,                   100.335711,      0.916000
                1623579540,           2021-06-13 10:19:00,           2021-06-13 03:19:00,      3.450000,     15.844000,          8.094000,                   100.281254,      0.916000
                1623580140,           2021-06-13 10:29:00,           2021-06-13 03:29:00,      3.450000,     15.844000,          8.081000,                   100.120190,      0.916000
                1623580740,           2021-06-13 10:39:00,           2021-06-13 03:39:00,      3.450000,     15.818000,          8.076000,                   100.002208,      0.916000
                1623581340,           2021-06-13 10:49:00,           2021-06-13 03:49:00,      3.450000,     15.835000,          8.076000,                   100.038845,      0.916000
                1623581940,           2021-06-13 10:59:00,           2021-06-13 03:59:00,      3.450000,     15.835000,          8.080000,                   100.088393,      0.917000
                1623582540,           2021-06-13 11:09:00,           2021-06-13 04:09:00,      3.450000,     15.835000,          8.070000,                    99.964522,      0.916000
                1623583140,           2021-06-13 11:19:00,           2021-06-13 04:19:00,      3.450000,     15.844000,          8.056000,                    99.810450,      0.916000
                1623583740,           2021-06-13 11:29:00,           2021-06-13 04:29:00,      3.450000,     15.827000,          8.058000,                    99.798673,      0.916000
                1623584340,           2021-06-13 11:39:00,           2021-06-13 04:39:00,      3.450000,     15.844000,          8.050000,                    99.736113,      0.916000
                1623584940,           2021-06-13 11:49:00,           2021-06-13 04:49:00,      3.450000,     15.818000,          8.052000,                    99.705025,      0.916000
                1623585540,           2021-06-13 11:59:00,           2021-06-13 04:59:00,      3.450000,     15.835000,          8.057000,                    99.803488,      0.917000
                1623586140,           2021-06-13 12:09:00,           2021-06-13 05:09:00,      3.450000,     15.801000,          8.075000,                    99.953197,      0.917000
