MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2021Aug17 09:55:22 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1628201220,           2021-08-05 22:07:00,           2021-08-05 15:07:00,      3.430000,     21.165000,          7.455000,                   102.922495,      0.922000
                1628201820,           2021-08-05 22:17:00,           2021-08-05 15:17:00,      3.430000,     21.056000,          7.494000,                   103.237004,      0.923000
                1628202420,           2021-08-05 22:27:00,           2021-08-05 15:27:00,      3.440000,     21.207000,          7.466000,                   103.160354,      0.922000
                1628203020,           2021-08-05 22:37:00,           2021-08-05 15:37:00,      3.440000,     21.557000,          7.370000,                   102.542070,      0.924000
                1628203620,           2021-08-05 22:47:00,           2021-08-05 15:47:00,      3.440000,     21.566000,          7.716000,                   107.375206,      0.921000
                1628204220,           2021-08-05 22:57:00,           2021-08-05 15:57:00,      3.440000,     21.750000,          7.688000,                   107.374529,      0.921000
                1628204820,           2021-08-05 23:07:00,           2021-08-05 16:07:00,      3.440000,     21.783000,          7.681000,                   107.346503,      0.922000
                1628205420,           2021-08-05 23:17:00,           2021-08-05 16:17:00,      3.440000,     21.750000,          7.656000,                   106.927600,      0.921000
                1628206020,           2021-08-05 23:27:00,           2021-08-05 16:27:00,      3.440000,     21.775000,          7.650000,                   106.896420,      0.921000
                1628206620,           2021-08-05 23:37:00,           2021-08-05 16:37:00,      3.440000,     21.766000,          7.648000,                   106.849535,      0.922000
                1628207220,           2021-08-05 23:47:00,           2021-08-05 16:47:00,      3.450000,     21.750000,          7.642000,                   106.732069,      0.920000
                1628207820,           2021-08-05 23:57:00,           2021-08-05 16:57:00,      3.450000,     21.758000,          7.649000,                   106.846670,      0.920000
                1628208420,           2021-08-06 00:07:00,           2021-08-05 17:07:00,      3.450000,     21.775000,          7.642000,                   106.784633,      0.921000
                1628209020,           2021-08-06 00:17:00,           2021-08-05 17:17:00,      3.450000,     21.725000,          7.665000,                   107.000584,      0.921000
                1628209620,           2021-08-06 00:27:00,           2021-08-05 17:27:00,      3.450000,     21.741000,          7.631000,                   106.559544,      0.920000
                1628210220,           2021-08-06 00:37:00,           2021-08-05 17:37:00,      3.450000,     21.750000,          7.652000,                   106.871734,      0.921000
