MiniDOT Logger Concatenated Data File
Sensor:             7392-171919
Concatenation Date: 2021Oct15 09:55:25 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1631394540,           2021-09-11 21:09:00,           2021-09-11 14:09:00,      3.380000,     23.354000,          7.105000,                   102.381818,      0.860000
                1631395140,           2021-09-11 21:19:00,           2021-09-11 14:19:00,      3.390000,     19.660000,          7.965000,                   106.690081,      0.915000
                1631395740,           2021-09-11 21:29:00,           2021-09-11 14:29:00,      3.390000,     19.190000,          8.003000,                   106.177496,      0.917000
                1631396340,           2021-09-11 21:39:00,           2021-09-11 14:39:00,      3.390000,     19.106000,          8.083000,                   107.054743,      0.919000
                1631396940,           2021-09-11 21:49:00,           2021-09-11 14:49:00,      3.390000,     19.039000,          7.992000,                   105.704347,      0.918000
                1631397540,           2021-09-11 21:59:00,           2021-09-11 14:59:00,      3.400000,     19.056000,          8.031000,                   106.257176,      0.921000
                1631398140,           2021-09-11 22:09:00,           2021-09-11 15:09:00,      3.400000,     19.056000,          7.982000,                   105.608863,      0.918000
                1631398740,           2021-09-11 22:19:00,           2021-09-11 15:19:00,      3.400000,     19.073000,          7.989000,                   105.738294,      0.919000
                1631399340,           2021-09-11 22:29:00,           2021-09-11 15:29:00,      3.400000,     19.065000,          7.990000,                   105.734202,      0.919000
                1631399940,           2021-09-11 22:39:00,           2021-09-11 15:39:00,      3.410000,     19.081000,          7.986000,                   105.715906,      0.920000
                1631400540,           2021-09-11 22:49:00,           2021-09-11 15:49:00,      3.410000,     19.090000,          7.988000,                   105.761871,      0.919000
                1631401140,           2021-09-11 22:59:00,           2021-09-11 15:59:00,      3.410000,     19.081000,          7.987000,                   105.729144,      0.919000
                1631401740,           2021-09-11 23:09:00,           2021-09-11 16:09:00,      3.410000,     19.140000,          8.009000,                   106.148491,      0.919000
                1631402340,           2021-09-11 23:19:00,           2021-09-11 16:19:00,      3.410000,     19.123000,          8.032000,                   106.416299,      0.921000
                1631402940,           2021-09-11 23:29:00,           2021-09-11 16:29:00,      3.410000,     19.165000,          8.058000,                   106.852553,      0.921000
                1631403540,           2021-09-11 23:39:00,           2021-09-11 16:39:00,      3.410000,     19.123000,          8.009000,                   106.111571,      0.919000
                1631404140,           2021-09-11 23:49:00,           2021-09-11 16:49:00,      3.410000,     19.140000,          8.019000,                   106.281028,      0.920000
                1631404740,           2021-09-11 23:59:00,           2021-09-11 16:59:00,      3.410000,     19.140000,          8.020000,                   106.294282,      0.921000
                1631405340,           2021-09-12 00:09:00,           2021-09-11 17:09:00,      3.420000,     19.174000,          8.002000,                   106.129501,      0.921000
                1631405940,           2021-09-12 00:19:00,           2021-09-11 17:19:00,      3.420000,     19.241000,          7.969000,                   105.836667,      0.919000
                1631406540,           2021-09-12 00:29:00,           2021-09-11 17:29:00,      3.420000,     19.274000,          7.981000,                   106.067506,      0.920000
                1631407140,           2021-09-12 00:39:00,           2021-09-11 17:39:00,      3.420000,     19.257000,          7.987000,                   106.110401,      0.920000
                1631407740,           2021-09-12 00:49:00,           2021-09-11 17:49:00,      3.420000,     19.274000,          8.014000,                   106.506076,      0.920000
                1631408340,           2021-09-12 00:59:00,           2021-09-11 17:59:00,      3.420000,     19.216000,          8.113000,                   107.694110,      0.921000
                1631408940,           2021-09-12 01:09:00,           2021-09-11 18:09:00,      3.420000,     19.241000,          8.081000,                   107.324145,      0.918000
                1631409540,           2021-09-12 01:19:00,           2021-09-11 18:19:00,      3.420000,     19.224000,          8.023000,                   106.516839,      0.919000
                1631410140,           2021-09-12 01:29:00,           2021-09-11 18:29:00,      3.420000,     19.157000,          8.015000,                   106.264964,      0.919000
                1631410740,           2021-09-12 01:39:00,           2021-09-11 18:39:00,      3.420000,     19.157000,          8.021000,                   106.344514,      0.921000
                1631411340,           2021-09-12 01:49:00,           2021-09-11 18:49:00,      3.430000,     19.115000,          8.001000,                   105.988224,      0.919000
                1631411940,           2021-09-12 01:59:00,           2021-09-11 18:59:00,      3.420000,     19.140000,          8.034000,                   106.479833,      0.920000
                1631412540,           2021-09-12 02:09:00,           2021-09-11 19:09:00,      3.430000,     19.157000,          7.990000,                   105.933508,      0.920000
                1631413140,           2021-09-12 02:19:00,           2021-09-11 19:19:00,      3.430000,     19.148000,          7.972000,                   105.675401,      0.920000
                1631413740,           2021-09-12 02:29:00,           2021-09-11 19:29:00,      3.430000,     19.157000,          7.943000,                   105.310369,      0.919000
                1631414340,           2021-09-12 02:39:00,           2021-09-11 19:39:00,      3.430000,     19.165000,          7.965000,                   105.619333,      0.920000
                1631414940,           2021-09-12 02:49:00,           2021-09-11 19:49:00,      3.430000,     19.216000,          7.968000,                   105.769342,      0.921000
                1631415540,           2021-09-12 02:59:00,           2021-09-11 19:59:00,      3.430000,     19.199000,          7.952000,                   105.520281,      0.919000
                1631416140,           2021-09-12 03:09:00,           2021-09-11 20:09:00,      3.430000,     19.249000,          7.934000,                   105.389053,      0.918000
                1631416740,           2021-09-12 03:19:00,           2021-09-11 20:19:00,      3.430000,     19.232000,          7.946000,                   105.511800,      0.920000
                1631417340,           2021-09-12 03:29:00,           2021-09-11 20:29:00,      3.430000,     19.216000,          7.951000,                   105.543679,      0.920000
                1631417940,           2021-09-12 03:39:00,           2021-09-11 20:39:00,      3.430000,     19.199000,          7.955000,                   105.560090,      0.919000
                1631418540,           2021-09-12 03:49:00,           2021-09-11 20:49:00,      3.430000,     19.190000,          7.969000,                   105.726411,      0.920000
                1631419140,           2021-09-12 03:59:00,           2021-09-11 20:59:00,      3.430000,     19.199000,          7.926000,                   105.175270,      0.918000
