MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2017Aug21 10:22:19 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1502223240,           2017-08-08 20:14:00,           2017-08-08 13:14:00,      3.470000,     14.343000,          9.376000,                    91.664034,      0.940000
                1502223840,           2017-08-08 20:24:00,           2017-08-08 13:24:00,      3.470000,      5.827000,          1.966000,                    15.725178,      0.971000
                1502224440,           2017-08-08 20:34:00,           2017-08-08 13:34:00,      3.460000,      4.652000,          2.146000,                    16.654027,      0.978000
                1502225040,           2017-08-08 20:44:00,           2017-08-08 13:44:00,      3.460000,      4.278000,          2.125000,                    16.330943,      0.980000
                1502225640,           2017-08-08 20:54:00,           2017-08-08 13:54:00,      3.460000,      4.207000,          2.090000,                    16.032117,      0.981000
                1502226240,           2017-08-08 21:04:00,           2017-08-08 14:04:00,      3.460000,      4.116000,          1.920000,                    14.692950,      0.981000
                1502226840,           2017-08-08 21:14:00,           2017-08-08 14:14:00,      3.460000,      4.095000,          1.911000,                    14.616014,      0.980000
                1502227440,           2017-08-08 21:24:00,           2017-08-08 14:24:00,      3.460000,      4.095000,          1.877000,                    14.355969,      0.980000
                1502228040,           2017-08-08 21:34:00,           2017-08-08 14:34:00,      3.460000,      4.085000,          1.853000,                    14.168686,      0.980000
                1502228640,           2017-08-08 21:44:00,           2017-08-08 14:44:00,      3.460000,      4.126000,          1.771000,                    13.556274,      0.980000
                1502229240,           2017-08-08 21:54:00,           2017-08-08 14:54:00,      3.450000,      4.116000,          1.673000,                    12.802763,      0.980000
                1502229840,           2017-08-08 22:04:00,           2017-08-08 15:04:00,      3.460000,      4.095000,          1.672000,                    12.788056,      0.979000
                1502230440,           2017-08-08 22:14:00,           2017-08-08 15:14:00,      3.450000,      4.085000,          1.652000,                    12.631770,      0.979000
                1502231040,           2017-08-08 22:24:00,           2017-08-08 15:24:00,      3.460000,      4.106000,          1.654000,                    12.654041,      0.979000
                1502231640,           2017-08-08 22:34:00,           2017-08-08 15:34:00,      3.460000,      4.116000,          1.681000,                    12.863984,      0.980000
                1502232240,           2017-08-08 22:44:00,           2017-08-08 15:44:00,      3.450000,      4.126000,          1.631000,                    12.484632,      0.979000
                1502232840,           2017-08-08 22:54:00,           2017-08-08 15:54:00,      3.450000,      4.085000,          1.543000,                    11.798318,      0.979000
                1502233440,           2017-08-08 23:04:00,           2017-08-08 16:04:00,      3.450000,      4.095000,          1.537000,                    11.755527,      0.978000
                1502234040,           2017-08-08 23:14:00,           2017-08-08 16:14:00,      3.450000,      4.136000,          1.512000,                    11.576775,      0.979000
                1502234640,           2017-08-08 23:24:00,           2017-08-08 16:24:00,      3.450000,      4.136000,          1.509000,                    11.553805,      0.978000
                1502235240,           2017-08-08 23:34:00,           2017-08-08 16:34:00,      3.450000,      4.116000,          1.522000,                    11.647224,      0.979000
                1502235840,           2017-08-08 23:44:00,           2017-08-08 16:44:00,      3.450000,      4.106000,          1.504000,                    11.506455,      0.978000
                1502236440,           2017-08-08 23:54:00,           2017-08-08 16:54:00,      3.450000,      4.075000,          1.497000,                    11.443579,      0.978000
                1502237040,           2017-08-09 00:04:00,           2017-08-08 17:04:00,      3.450000,      4.136000,          1.494000,                    11.438956,      0.979000
                1502237640,           2017-08-09 00:14:00,           2017-08-08 17:14:00,      3.450000,      4.095000,          1.677000,                    12.826298,      0.979000
                1502238240,           2017-08-09 00:24:00,           2017-08-08 17:24:00,      3.450000,      4.095000,          1.705000,                    13.040452,      0.979000
                1502238840,           2017-08-09 00:34:00,           2017-08-08 17:34:00,      3.450000,      4.095000,          1.694000,                    12.956320,      0.979000
                1502239440,           2017-08-09 00:44:00,           2017-08-08 17:44:00,      3.450000,      4.136000,          1.685000,                    12.901366,      0.980000
                1502240040,           2017-08-09 00:54:00,           2017-08-08 17:54:00,      3.450000,      4.116000,          1.668000,                    12.764500,      0.979000
                1502240640,           2017-08-09 01:04:00,           2017-08-08 18:04:00,      3.450000,      4.116000,          1.693000,                    12.955815,      0.979000
                1502241240,           2017-08-09 01:14:00,           2017-08-08 18:14:00,      3.450000,      4.095000,          1.702000,                    13.017507,      0.980000
                1502241840,           2017-08-09 01:24:00,           2017-08-08 18:24:00,      3.450000,      4.106000,          1.699000,                    12.998316,      0.979000
                1502242440,           2017-08-09 01:34:00,           2017-08-08 18:34:00,      3.450000,      4.085000,          1.664000,                    12.723526,      0.979000
                1502243040,           2017-08-09 01:44:00,           2017-08-08 18:44:00,      3.450000,      4.095000,          1.688000,                    12.910430,      0.980000
                1502243640,           2017-08-09 01:54:00,           2017-08-08 18:54:00,      3.450000,      4.095000,          1.689000,                    12.918078,      0.979000
                1502244240,           2017-08-09 02:04:00,           2017-08-08 19:04:00,      3.450000,      4.116000,          1.697000,                    12.986425,      0.979000
                1502244840,           2017-08-09 02:14:00,           2017-08-08 19:14:00,      3.450000,      4.095000,          1.707000,                    13.055748,      0.980000
                1502245440,           2017-08-09 02:24:00,           2017-08-08 19:24:00,      3.450000,      4.126000,          1.702000,                    13.028108,      0.980000
                1502246040,           2017-08-09 02:34:00,           2017-08-08 19:34:00,      3.450000,      4.116000,          1.644000,                    12.580838,      0.979000
                1502246640,           2017-08-09 02:44:00,           2017-08-08 19:44:00,      3.450000,      4.116000,          1.595000,                    12.205862,      0.979000
                1502247240,           2017-08-09 02:54:00,           2017-08-08 19:54:00,      3.450000,      4.106000,          1.583000,                    12.110850,      0.979000
                1502247840,           2017-08-09 03:04:00,           2017-08-08 20:04:00,      3.440000,      4.095000,          1.575000,                    12.046165,      0.979000
                1502248440,           2017-08-09 03:14:00,           2017-08-08 20:14:00,      3.440000,      4.116000,          1.586000,                    12.136989,      0.979000
                1502249040,           2017-08-09 03:24:00,           2017-08-08 20:24:00,      3.440000,      4.116000,          1.542000,                    11.800275,      0.979000
