MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2018Jun28 09:51:08 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528141860,           2018-06-04 19:51:00,           2018-06-04 12:51:00,      3.580000,     16.063000,          7.920000,                    80.348287,      0.982000
                1528142460,           2018-06-04 20:01:00,           2018-06-04 13:01:00,      3.570000,     16.293000,          7.910000,                    80.638299,      0.982000
                1528143060,           2018-06-04 20:11:00,           2018-06-04 13:11:00,      3.570000,     17.084000,          7.855000,                    81.417408,      0.985000
                1528143660,           2018-06-04 20:21:00,           2018-06-04 13:21:00,      3.570000,     21.965000,          7.284000,                    83.253910,      0.989000
                1528144260,           2018-06-04 20:31:00,           2018-06-04 13:31:00,      3.570000,     31.472000,          6.470000,                    87.781157,      1.008000
                1528144860,           2018-06-04 20:41:00,           2018-06-04 13:41:00,      3.570000,     35.544000,          6.171000,                    89.590427,      1.007000
                1528145460,           2018-06-04 20:51:00,           2018-06-04 13:51:00,      3.570000,     36.458000,          6.002000,                    88.441647,      1.001000
                1528146060,           2018-06-04 21:01:00,           2018-06-04 14:01:00,      3.570000,     36.458000,          5.964000,                    87.881703,      0.998000
                1528146660,           2018-06-04 21:11:00,           2018-06-04 14:11:00,      3.570000,     36.485000,          6.073000,                    89.527012,      0.996000
                1528147260,           2018-06-04 21:21:00,           2018-06-04 14:21:00,      3.570000,     36.458000,          6.473000,                    95.382003,      0.997000
                1528147860,           2018-06-04 21:31:00,           2018-06-04 14:31:00,      3.570000,     36.449000,          6.627000,                    97.637009,      0.998000
                1528148460,           2018-06-04 21:41:00,           2018-06-04 14:41:00,      3.570000,     36.458000,          6.381000,                    94.026349,      0.992000
                1528149060,           2018-06-04 21:51:00,           2018-06-04 14:51:00,      3.570000,     36.449000,          6.321000,                    93.128645,      0.988000
                1528149660,           2018-06-04 22:01:00,           2018-06-04 15:01:00,      3.560000,     36.458000,          6.256000,                    92.184429,      0.986000
