MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2019Sep20 09:54:47 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1567716360,           2019-09-05 20:46:00,           2019-09-05 13:46:00,      3.440000,      8.552000,          1.987000,                    20.795264,      0.868000
                1567716960,           2019-09-05 20:56:00,           2019-09-05 13:56:00,      3.440000,      5.033000,          1.490000,                    14.273297,      0.939000
                1567717560,           2019-09-05 21:06:00,           2019-09-05 14:06:00,      3.440000,      4.238000,          0.946000,                     8.875754,      0.957000
                1567718160,           2019-09-05 21:16:00,           2019-09-05 14:16:00,      3.440000,      4.065000,          1.121000,                    10.469807,      0.960000
                1567718760,           2019-09-05 21:26:00,           2019-09-05 14:26:00,      3.440000,      4.024000,          0.712000,                     6.642669,      0.957000
                1567719360,           2019-09-05 21:36:00,           2019-09-05 14:36:00,      3.440000,      3.994000,          0.315000,                     2.936492,      0.952000
                1567719960,           2019-09-05 21:46:00,           2019-09-05 14:46:00,      3.440000,      3.963000,          0.556000,                     5.178893,      0.956000
                1567720560,           2019-09-05 21:56:00,           2019-09-05 14:56:00,      3.440000,      3.943000,          0.279000,                     2.597386,      0.952000
                1567721160,           2019-09-05 22:06:00,           2019-09-05 15:06:00,      3.440000,      3.983000,          0.330000,                     3.075430,      0.952000
                1567721760,           2019-09-05 22:16:00,           2019-09-05 15:16:00,      3.440000,      3.963000,          0.187000,                     1.741822,      0.951000
                1567722360,           2019-09-05 22:26:00,           2019-09-05 15:26:00,      3.440000,      4.004000,          0.271000,                     2.526983,      0.952000
                1567722960,           2019-09-05 22:36:00,           2019-09-05 15:36:00,      3.440000,      3.963000,          0.264000,                     2.459043,      0.952000
                1567723560,           2019-09-05 22:46:00,           2019-09-05 15:46:00,      3.440000,      3.953000,          0.130000,                     1.210572,      0.950000
                1567724160,           2019-09-05 22:56:00,           2019-09-05 15:56:00,      3.440000,      3.922000,          0.146000,                     1.358450,      0.950000
                1567724760,           2019-09-05 23:06:00,           2019-09-05 16:06:00,      3.440000,      3.973000,          0.177000,                     1.649112,      0.950000
                1567725360,           2019-09-05 23:16:00,           2019-09-05 16:16:00,      3.440000,      3.983000,          0.137000,                     1.276769,      0.950000
                1567725960,           2019-09-05 23:26:00,           2019-09-05 16:26:00,      3.440000,      3.963000,          0.101000,                     0.940770,      0.950000
                1567726560,           2019-09-05 23:36:00,           2019-09-05 16:36:00,      3.440000,      3.973000,          0.081000,                     0.754679,      0.949000
                1567727160,           2019-09-05 23:46:00,           2019-09-05 16:46:00,      3.440000,      3.953000,          0.085000,                     0.791528,      0.949000
                1567727760,           2019-09-05 23:56:00,           2019-09-05 16:56:00,      3.440000,      3.973000,          0.079000,                     0.736045,      0.949000
                1567728360,           2019-09-06 00:06:00,           2019-09-05 17:06:00,      3.440000,      3.953000,          0.270000,                     2.514265,      0.952000
                1567728960,           2019-09-06 00:16:00,           2019-09-05 17:16:00,      3.440000,      3.953000,          0.509000,                     4.739854,      0.956000
                1567729560,           2019-09-06 00:26:00,           2019-09-05 17:26:00,      3.440000,      3.953000,          0.663000,                     6.173916,      0.958000
                1567730160,           2019-09-06 00:36:00,           2019-09-05 17:36:00,      3.440000,      3.973000,          0.743000,                     6.922546,      0.958000
                1567730760,           2019-09-06 00:46:00,           2019-09-05 17:46:00,      3.440000,      3.973000,          0.810000,                     7.546786,      0.960000
                1567731360,           2019-09-06 00:56:00,           2019-09-05 17:56:00,      3.440000,      3.983000,          0.801000,                     7.464907,      0.959000
                1567731960,           2019-09-06 01:06:00,           2019-09-05 18:06:00,      3.440000,      4.004000,          0.776000,                     7.235937,      0.959000
                1567732560,           2019-09-06 01:16:00,           2019-09-05 18:16:00,      3.440000,      3.983000,          0.573000,                     5.340065,      0.956000
                1567733160,           2019-09-06 01:26:00,           2019-09-05 18:26:00,      3.440000,      4.004000,          0.496000,                     4.625032,      0.955000
                1567733760,           2019-09-06 01:36:00,           2019-09-05 18:36:00,      3.440000,      3.963000,          0.583000,                     5.430386,      0.956000
                1567734360,           2019-09-06 01:46:00,           2019-09-05 18:46:00,      3.440000,      3.973000,          0.694000,                     6.466012,      0.958000
                1567734960,           2019-09-06 01:56:00,           2019-09-05 18:56:00,      3.440000,      4.034000,          0.750000,                     6.999043,      0.959000
                1567735560,           2019-09-06 02:06:00,           2019-09-05 19:06:00,      3.440000,      4.004000,          0.895000,                     8.345572,      0.960000
                1567736160,           2019-09-06 02:16:00,           2019-09-05 19:16:00,      3.440000,      3.994000,          0.957000,                     8.921341,      0.961000
                1567736760,           2019-09-06 02:26:00,           2019-09-05 19:26:00,      3.430000,      3.983000,          1.030000,                     9.599069,      0.962000
                1567737360,           2019-09-06 02:36:00,           2019-09-05 19:36:00,      3.430000,      3.973000,          0.755000,                     7.034350,      0.958000
                1567737960,           2019-09-06 02:46:00,           2019-09-05 19:46:00,      3.440000,      4.024000,          0.546000,                     5.093957,      0.956000
                1567738560,           2019-09-06 02:56:00,           2019-09-05 19:56:00,      3.430000,      3.983000,          0.523000,                     4.874090,      0.956000
                1567739160,           2019-09-06 03:06:00,           2019-09-05 20:06:00,      3.440000,      3.953000,          0.572000,                     5.326516,      0.956000
                1567739760,           2019-09-06 03:16:00,           2019-09-05 20:16:00,      3.430000,      3.953000,          0.646000,                     6.015611,      0.957000
                1567740360,           2019-09-06 03:26:00,           2019-09-05 20:26:00,      3.430000,      3.983000,          0.882000,                     8.219785,      0.960000
                1567740960,           2019-09-06 03:36:00,           2019-09-05 20:36:00,      3.430000,      3.983000,          0.839000,                     7.819047,      0.960000
                1567741560,           2019-09-06 03:46:00,           2019-09-05 20:46:00,      3.430000,      3.922000,          0.628000,                     5.843196,      0.957000
                1567742160,           2019-09-06 03:56:00,           2019-09-05 20:56:00,      3.430000,      3.983000,          0.533000,                     4.967285,      0.956000
                1567742760,           2019-09-06 04:06:00,           2019-09-05 21:06:00,      3.430000,      3.963000,          0.240000,                     2.235493,      0.952000
                1567743360,           2019-09-06 04:16:00,           2019-09-05 21:16:00,      3.430000,      3.994000,          0.177000,                     1.650029,      0.951000
                1567743960,           2019-09-06 04:26:00,           2019-09-05 21:26:00,      3.430000,      3.963000,          0.313000,                     2.915456,      0.953000
                1567744560,           2019-09-06 04:36:00,           2019-09-05 21:36:00,      3.430000,      3.963000,          0.484000,                     4.508245,      0.955000
                1567745160,           2019-09-06 04:46:00,           2019-09-05 21:46:00,      3.430000,      3.994000,          0.570000,                     5.313652,      0.956000
                1567745760,           2019-09-06 04:56:00,           2019-09-05 21:56:00,      3.430000,      3.994000,          0.545000,                     5.080597,      0.956000
                1567746360,           2019-09-06 05:06:00,           2019-09-05 22:06:00,      3.430000,      3.953000,          0.538000,                     5.009905,      0.956000
                1567746960,           2019-09-06 05:16:00,           2019-09-05 22:16:00,      3.420000,      3.963000,          0.473000,                     4.405785,      0.955000
                1567747560,           2019-09-06 05:26:00,           2019-09-05 22:26:00,      3.430000,      3.994000,          0.494000,                     4.605165,      0.956000
                1567748160,           2019-09-06 05:36:00,           2019-09-05 22:36:00,      3.430000,      4.004000,          0.493000,                     4.597058,      0.956000
                1567748760,           2019-09-06 05:46:00,           2019-09-05 22:46:00,      3.430000,      3.963000,          0.215000,                     2.002629,      0.951000
                1567749360,           2019-09-06 05:56:00,           2019-09-05 22:56:00,      3.420000,      3.963000,          0.287000,                     2.673277,      0.952000
                1567749960,           2019-09-06 06:06:00,           2019-09-05 23:06:00,      3.430000,      3.953000,          0.156000,                     1.452686,      0.950000
                1567750560,           2019-09-06 06:16:00,           2019-09-05 23:16:00,      3.430000,      3.953000,          0.073000,                     0.679783,      0.949000
                1567751160,           2019-09-06 06:26:00,           2019-09-05 23:26:00,      3.430000,      3.963000,          0.047000,                     0.437784,      0.949000
                1567751760,           2019-09-06 06:36:00,           2019-09-05 23:36:00,      3.430000,      3.963000,          0.081000,                     0.754479,      0.950000
                1567752360,           2019-09-06 06:46:00,           2019-09-05 23:46:00,      3.420000,      3.983000,          0.539000,                     5.023202,      0.956000
                1567752960,           2019-09-06 06:56:00,           2019-09-05 23:56:00,      3.420000,      4.004000,          0.612000,                     5.706693,      0.957000
                1567753560,           2019-09-06 07:06:00,           2019-09-06 00:06:00,      3.420000,      3.963000,          0.623000,                     5.802968,      0.957000
                1567754160,           2019-09-06 07:16:00,           2019-09-06 00:16:00,      3.420000,      3.994000,          0.654000,                     6.096716,      0.958000
                1567754760,           2019-09-06 07:26:00,           2019-09-06 00:26:00,      3.420000,      4.004000,          0.647000,                     6.033056,      0.957000
                1567755360,           2019-09-06 07:36:00,           2019-09-06 00:36:00,      3.420000,      3.983000,          0.456000,                     4.249685,      0.955000
                1567755960,           2019-09-06 07:46:00,           2019-09-06 00:46:00,      3.420000,      3.943000,          0.180000,                     1.675733,      0.951000
                1567756560,           2019-09-06 07:56:00,           2019-09-06 00:56:00,      3.420000,      3.953000,          0.082000,                     0.763591,      0.949000
                1567757160,           2019-09-06 08:06:00,           2019-09-06 01:06:00,      3.420000,      3.963000,          0.038000,                     0.353953,      0.949000
                1567757760,           2019-09-06 08:16:00,           2019-09-06 01:16:00,      3.420000,      3.963000,          0.033000,                     0.307380,      0.949000
                1567758360,           2019-09-06 08:26:00,           2019-09-06 01:26:00,      3.420000,      3.932000,          0.032000,                     0.297821,      0.949000
                1567758960,           2019-09-06 08:36:00,           2019-09-06 01:36:00,      3.420000,      4.014000,          0.032000,                     0.298468,      0.949000
                1567759560,           2019-09-06 08:46:00,           2019-09-06 01:46:00,      3.420000,      3.963000,          0.035000,                     0.326009,      0.949000
                1567760160,           2019-09-06 08:56:00,           2019-09-06 01:56:00,      3.410000,      3.963000,          0.032000,                     0.298066,      0.949000
                1567760760,           2019-09-06 09:06:00,           2019-09-06 02:06:00,      3.410000,      3.943000,          0.125000,                     1.163703,      0.950000
                1567761360,           2019-09-06 09:16:00,           2019-09-06 02:16:00,      3.410000,      3.973000,          0.378000,                     3.521833,      0.954000
                1567761960,           2019-09-06 09:26:00,           2019-09-06 02:26:00,      3.410000,      4.014000,          0.569000,                     5.307135,      0.957000
                1567762560,           2019-09-06 09:36:00,           2019-09-06 02:36:00,      3.410000,      3.983000,          0.809000,                     7.539463,      0.960000
                1567763160,           2019-09-06 09:46:00,           2019-09-06 02:46:00,      3.410000,      4.034000,          0.925000,                     8.632153,      0.961000
                1567763760,           2019-09-06 09:56:00,           2019-09-06 02:56:00,      3.410000,      4.014000,          0.939000,                     8.758172,      0.961000
                1567764360,           2019-09-06 10:06:00,           2019-09-06 03:06:00,      3.410000,      3.983000,          0.952000,                     8.872149,      0.961000
                1567764960,           2019-09-06 10:16:00,           2019-09-06 03:16:00,      3.410000,      4.024000,          0.995000,                     9.282944,      0.961000
                1567765560,           2019-09-06 10:26:00,           2019-09-06 03:26:00,      3.410000,      4.014000,          1.216000,                    11.341786,      0.963000
                1567766160,           2019-09-06 10:36:00,           2019-09-06 03:36:00,      3.410000,      3.983000,          1.174000,                    10.941075,      0.963000
                1567766760,           2019-09-06 10:46:00,           2019-09-06 03:46:00,      3.400000,      3.994000,          0.995000,                     9.275585,      0.961000
                1567767360,           2019-09-06 10:56:00,           2019-09-06 03:56:00,      3.400000,      3.994000,          0.855000,                     7.970477,      0.960000
                1567767960,           2019-09-06 11:06:00,           2019-09-06 04:06:00,      3.400000,      3.994000,          0.804000,                     7.495045,      0.959000
                1567768560,           2019-09-06 11:16:00,           2019-09-06 04:16:00,      3.400000,      3.994000,          0.784000,                     7.308602,      0.959000
                1567769160,           2019-09-06 11:26:00,           2019-09-06 04:26:00,      3.400000,      4.014000,          0.606000,                     5.652239,      0.957000
                1567769760,           2019-09-06 11:36:00,           2019-09-06 04:36:00,      3.400000,      3.994000,          0.697000,                     6.497570,      0.958000
                1567770360,           2019-09-06 11:46:00,           2019-09-06 04:46:00,      3.400000,      3.994000,          0.788000,                     7.345890,      0.959000
                1567770960,           2019-09-06 11:56:00,           2019-09-06 04:56:00,      3.400000,      3.994000,          0.813000,                     7.578945,      0.959000
                1567771560,           2019-09-06 12:06:00,           2019-09-06 05:06:00,      3.400000,      3.963000,          0.507000,                     4.722479,      0.955000
                1567772160,           2019-09-06 12:16:00,           2019-09-06 05:16:00,      3.400000,      3.973000,          0.202000,                     1.882038,      0.951000
                1567772760,           2019-09-06 12:26:00,           2019-09-06 05:26:00,      3.400000,      3.973000,          0.253000,                     2.357206,      0.952000
                1567773360,           2019-09-06 12:36:00,           2019-09-06 05:36:00,      3.390000,      3.953000,          0.215000,                     2.002100,      0.952000
                1567773960,           2019-09-06 12:46:00,           2019-09-06 05:46:00,      3.390000,      3.983000,          0.148000,                     1.379284,      0.950000
                1567774560,           2019-09-06 12:56:00,           2019-09-06 05:56:00,      3.390000,      4.004000,          0.098000,                     0.913817,      0.950000
                1567775160,           2019-09-06 13:06:00,           2019-09-06 06:06:00,      3.390000,      3.973000,          0.284000,                     2.646034,      0.952000
                1567775760,           2019-09-06 13:16:00,           2019-09-06 06:16:00,      3.390000,      3.973000,          0.411000,                     3.829295,      0.954000
                1567776360,           2019-09-06 13:26:00,           2019-09-06 06:26:00,      3.390000,      3.973000,          0.433000,                     4.034270,      0.955000
                1567776960,           2019-09-06 13:36:00,           2019-09-06 06:36:00,      3.390000,      3.963000,          0.287000,                     2.673277,      0.952000
                1567777560,           2019-09-06 13:46:00,           2019-09-06 06:46:00,      3.390000,      3.973000,          0.132000,                     1.229847,      0.950000
                1567778160,           2019-09-06 13:56:00,           2019-09-06 06:56:00,      3.380000,      3.943000,          0.066000,                     0.614435,      0.949000
                1567778760,           2019-09-06 14:06:00,           2019-09-06 07:06:00,      3.390000,      3.953000,          0.069000,                     0.642534,      0.949000
