MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2020Oct.14 17:23:02 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1600802580,           2020-09-22 19:23:00,           2020-09-22 12:23:00,      3.410000,     16.140000,          7.973000,                    99.237412,      0.966000
                1600803180,           2020-09-22 19:33:00,           2020-09-22 12:33:00,      3.410000,     16.148000,          7.994000,                    99.515856,      0.967000
                1600803780,           2020-09-22 19:43:00,           2020-09-22 12:43:00,      3.410000,     16.208000,          7.967000,                    99.307304,      0.966000
                1600804380,           2020-09-22 19:53:00,           2020-09-22 12:53:00,      3.410000,     16.310000,          7.941000,                    99.199469,      0.966000
                1600804980,           2020-09-22 20:03:00,           2020-09-22 13:03:00,      3.410000,     16.447000,          7.940000,                    99.477583,      0.967000
                1600805580,           2020-09-22 20:13:00,           2020-09-22 13:13:00,      3.410000,     16.600000,          7.911000,                    99.437867,      0.966000
                1600806180,           2020-09-22 20:23:00,           2020-09-22 13:23:00,      3.410000,     23.129000,          7.384000,                   105.941135,      0.989000
                1600806780,           2020-09-22 20:33:00,           2020-09-22 13:33:00,      3.410000,     25.060000,          7.206000,                   107.268495,      0.991000
                1600807380,           2020-09-22 20:43:00,           2020-09-22 13:43:00,      3.420000,      5.876000,          0.035000,                     0.342637,      0.889000
                1600807980,           2020-09-22 20:53:00,           2020-09-22 13:53:00,      3.410000,      4.511000,          0.039000,                     0.368546,      0.942000
                1600808580,           2020-09-22 21:03:00,           2020-09-22 14:03:00,      3.410000,      4.278000,          0.043000,                     0.403868,      0.949000
                1600809180,           2020-09-22 21:13:00,           2020-09-22 14:13:00,      3.410000,      4.238000,          0.038000,                     0.356531,      0.949000
                1600809780,           2020-09-22 21:23:00,           2020-09-22 14:23:00,      3.410000,      4.217000,          0.039000,                     0.365711,      0.949000
                1600810380,           2020-09-22 21:33:00,           2020-09-22 14:33:00,      3.410000,      4.238000,          0.039000,                     0.365914,      0.950000
                1600810980,           2020-09-22 21:43:00,           2020-09-22 14:43:00,      3.410000,      4.217000,          0.041000,                     0.384466,      0.950000
                1600811580,           2020-09-22 21:53:00,           2020-09-22 14:53:00,      3.410000,      4.238000,          0.040000,                     0.375296,      0.950000
                1600812180,           2020-09-22 22:03:00,           2020-09-22 15:03:00,      3.410000,      4.207000,          0.037000,                     0.346866,      0.950000
                1600812780,           2020-09-22 22:13:00,           2020-09-22 15:13:00,      3.410000,      4.207000,          0.044000,                     0.412489,      0.950000
                1600813380,           2020-09-22 22:23:00,           2020-09-22 15:23:00,      3.410000,      4.258000,          0.042000,                     0.394268,      0.950000
                1600813980,           2020-09-22 22:33:00,           2020-09-22 15:33:00,      3.410000,      4.238000,          0.039000,                     0.365914,      0.950000
                1600814580,           2020-09-22 22:43:00,           2020-09-22 15:43:00,      3.410000,      4.258000,          0.046000,                     0.431818,      0.950000
                1600815180,           2020-09-22 22:53:00,           2020-09-22 15:53:00,      3.410000,      4.228000,          0.043000,                     0.403337,      0.950000
                1600815780,           2020-09-22 23:03:00,           2020-09-22 16:03:00,      3.410000,      4.228000,          0.040000,                     0.375197,      0.950000
                1600816380,           2020-09-22 23:13:00,           2020-09-22 16:13:00,      3.410000,      4.248000,          0.041000,                     0.384780,      0.950000
                1600816980,           2020-09-22 23:23:00,           2020-09-22 16:23:00,      3.410000,      4.217000,          0.041000,                     0.384466,      0.950000
                1600817580,           2020-09-22 23:33:00,           2020-09-22 16:33:00,      3.410000,      4.258000,          0.039000,                     0.366106,      0.950000
                1600818180,           2020-09-22 23:43:00,           2020-09-22 16:43:00,      3.410000,      4.207000,          0.036000,                     0.337491,      0.950000
                1600818780,           2020-09-22 23:53:00,           2020-09-22 16:53:00,      3.410000,      4.248000,          0.037000,                     0.347240,      0.950000
                1600819380,           2020-09-23 00:03:00,           2020-09-22 17:03:00,      3.410000,      4.177000,          0.036000,                     0.337224,      0.950000
                1600819980,           2020-09-23 00:13:00,           2020-09-22 17:13:00,      3.410000,      4.228000,          0.036000,                     0.337678,      0.950000
                1600820580,           2020-09-23 00:23:00,           2020-09-22 17:23:00,      3.410000,      4.187000,          0.036000,                     0.337313,      0.950000
                1600821180,           2020-09-23 00:33:00,           2020-09-22 17:33:00,      3.400000,      4.207000,          0.036000,                     0.337491,      0.950000
                1600821780,           2020-09-23 00:43:00,           2020-09-22 17:43:00,      3.410000,      4.187000,          0.034000,                     0.318574,      0.950000
                1600822380,           2020-09-23 00:53:00,           2020-09-22 17:53:00,      3.410000,      4.187000,          0.037000,                     0.346683,      0.950000
                1600822980,           2020-09-23 01:03:00,           2020-09-22 18:03:00,      3.410000,      4.187000,          0.035000,                     0.327943,      0.950000
                1600823580,           2020-09-23 01:13:00,           2020-09-22 18:13:00,      3.410000,      4.217000,          0.033000,                     0.309448,      0.950000
                1600824180,           2020-09-23 01:23:00,           2020-09-22 18:23:00,      3.410000,      4.187000,          0.035000,                     0.327943,      0.950000
                1600824780,           2020-09-23 01:33:00,           2020-09-22 18:33:00,      3.400000,      4.187000,          0.035000,                     0.327943,      0.950000
                1600825380,           2020-09-23 01:43:00,           2020-09-22 18:43:00,      3.410000,      4.207000,          0.036000,                     0.337491,      0.950000
                1600825980,           2020-09-23 01:53:00,           2020-09-22 18:53:00,      3.400000,      4.167000,          0.034000,                     0.318406,      0.950000
                1600826580,           2020-09-23 02:03:00,           2020-09-22 19:03:00,      3.410000,      4.197000,          0.035000,                     0.328030,      0.950000
                1600827180,           2020-09-23 02:13:00,           2020-09-22 19:13:00,      3.400000,      4.187000,          0.035000,                     0.327943,      0.950000
                1600827780,           2020-09-23 02:23:00,           2020-09-22 19:23:00,      3.400000,      4.187000,          0.034000,                     0.318574,      0.950000
                1600828380,           2020-09-23 02:33:00,           2020-09-22 19:33:00,      3.400000,      4.177000,          0.035000,                     0.327857,      0.950000
                1600828980,           2020-09-23 02:43:00,           2020-09-22 19:43:00,      3.400000,      4.238000,          0.032000,                     0.300237,      0.950000
                1600829580,           2020-09-23 02:53:00,           2020-09-22 19:53:00,      3.410000,      4.207000,          0.035000,                     0.328116,      0.950000
