MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2021Jun.29 11:02:00 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1623534480,           2021-06-12 21:48:00,           2021-06-12 14:48:00,      3.430000,     20.526000,          7.256000,                    98.905996,      0.979000
                1623535080,           2021-06-12 21:58:00,           2021-06-12 14:58:00,      3.440000,     22.610000,          7.044000,                   100.050770,      0.984000
                1623535680,           2021-06-12 22:08:00,           2021-06-12 15:08:00,      3.440000,      9.721000,          2.230000,                    24.005760,      0.874000
                1623536280,           2021-06-12 22:18:00,           2021-06-12 15:18:00,      3.440000,      5.610000,          2.323000,                    22.586853,      0.928000
                1623536880,           2021-06-12 22:28:00,           2021-06-12 15:28:00,      3.430000,      4.963000,          2.187000,                    20.912092,      0.965000
                1623537480,           2021-06-12 22:38:00,           2021-06-12 15:38:00,      3.430000,      4.783000,          2.021000,                    19.234490,      0.973000
                1623538080,           2021-06-12 22:48:00,           2021-06-12 15:48:00,      3.420000,      4.753000,          1.969000,                    18.724937,      0.974000
                1623538680,           2021-06-12 22:58:00,           2021-06-12 15:58:00,      3.420000,      4.733000,          1.823000,                    17.327454,      0.973000
                1623539280,           2021-06-12 23:08:00,           2021-06-12 16:08:00,      3.420000,      4.723000,          1.657000,                    15.745529,      0.972000
                1623539880,           2021-06-12 23:18:00,           2021-06-12 16:18:00,      3.420000,      4.733000,          1.657000,                    15.749638,      0.972000
                1623540480,           2021-06-12 23:28:00,           2021-06-12 16:28:00,      3.410000,      4.703000,          1.848000,                    17.551330,      0.973000
                1623541080,           2021-06-12 23:38:00,           2021-06-12 16:38:00,      3.410000,      4.723000,          1.889000,                    17.950094,      0.973000
                1623541680,           2021-06-12 23:48:00,           2021-06-12 16:48:00,      3.410000,      4.703000,          1.965000,                    18.662534,      0.974000
                1623542280,           2021-06-12 23:58:00,           2021-06-12 16:58:00,      3.410000,      4.692000,          2.010000,                    19.084439,      0.974000
                1623542880,           2021-06-13 00:08:00,           2021-06-12 17:08:00,      3.410000,      4.692000,          1.863000,                    17.688712,      0.973000
                1623543480,           2021-06-13 00:18:00,           2021-06-12 17:18:00,      3.400000,      4.682000,          1.941000,                    18.424490,      0.974000
                1623544080,           2021-06-13 00:28:00,           2021-06-12 17:28:00,      3.400000,      4.692000,          1.705000,                    16.188542,      0.973000
                1623544680,           2021-06-13 00:38:00,           2021-06-12 17:38:00,      3.400000,      4.672000,          1.905000,                    18.078047,      0.974000
                1623545280,           2021-06-13 00:48:00,           2021-06-12 17:48:00,      3.400000,      4.682000,          1.990000,                    18.889611,      0.975000
                1623545880,           2021-06-13 00:58:00,           2021-06-12 17:58:00,      3.390000,      4.692000,          2.082000,                    19.768061,      0.975000
                1623546480,           2021-06-13 01:08:00,           2021-06-12 18:08:00,      3.390000,      4.662000,          2.152000,                    20.416691,      0.975000
                1623547080,           2021-06-13 01:18:00,           2021-06-12 18:18:00,      3.390000,      4.662000,          2.219000,                    21.052341,      0.975000
                1623547680,           2021-06-13 01:28:00,           2021-06-12 18:28:00,      3.390000,      4.682000,          2.281000,                    21.651861,      0.976000
                1623548280,           2021-06-13 01:38:00,           2021-06-12 18:38:00,      3.390000,      4.662000,          2.202000,                    20.891056,      0.975000
                1623548880,           2021-06-13 01:48:00,           2021-06-12 18:48:00,      3.390000,      4.672000,          2.151000,                    20.412535,      0.975000
                1623549480,           2021-06-13 01:58:00,           2021-06-12 18:58:00,      3.390000,      4.632000,          1.985000,                    18.817553,      0.974000
                1623550080,           2021-06-13 02:08:00,           2021-06-12 19:08:00,      3.380000,      4.622000,          1.920000,                    18.196604,      0.974000
