MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2021Aug05 14:37:28 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1626729900,           2021-07-19 21:25:00,           2021-07-19 16:25:00,      3.430000,     24.472000,          6.897000,                   101.532900,      0.981000
                1626730500,           2021-07-19 21:35:00,           2021-07-19 16:35:00,      3.430000,     36.458000,          5.957000,                   108.610344,      1.002000
                1626731100,           2021-07-19 21:45:00,           2021-07-19 16:45:00,      3.430000,     36.458000,          6.179000,                   112.657935,      0.991000
                1626731700,           2021-07-19 21:55:00,           2021-07-19 16:55:00,      3.440000,     24.951000,          5.642000,                    83.814298,      0.897000
                1626732300,           2021-07-19 22:05:00,           2021-07-19 17:05:00,      3.440000,      7.052000,          0.901000,                     9.086696,      0.910000
                1626732900,           2021-07-19 22:15:00,           2021-07-19 17:15:00,      3.440000,      5.491000,          0.569000,                     5.515568,      0.950000
                1626733500,           2021-07-19 22:25:00,           2021-07-19 17:25:00,      3.440000,      5.153000,          0.429000,                     4.122362,      0.957000
                1626734100,           2021-07-19 22:35:00,           2021-07-19 17:35:00,      3.440000,      4.973000,          0.280000,                     2.678055,      0.955000
                1626734700,           2021-07-19 22:45:00,           2021-07-19 17:45:00,      3.440000,      4.893000,          0.250000,                     2.386153,      0.955000
                1626735300,           2021-07-19 22:55:00,           2021-07-19 17:55:00,      3.440000,      4.893000,          0.205000,                     1.956646,      0.954000
                1626735900,           2021-07-19 23:05:00,           2021-07-19 18:05:00,      3.440000,      4.853000,          0.137000,                     1.306252,      0.953000
                1626736500,           2021-07-19 23:15:00,           2021-07-19 18:15:00,      3.440000,      4.853000,          0.162000,                     1.544619,      0.954000
                1626737100,           2021-07-19 23:25:00,           2021-07-19 18:25:00,      3.440000,      4.843000,          0.211000,                     2.011294,      0.955000
                1626737700,           2021-07-19 23:35:00,           2021-07-19 18:35:00,      3.440000,      4.733000,          0.150000,                     1.425737,      0.954000
                1626738300,           2021-07-19 23:45:00,           2021-07-19 18:45:00,      3.440000,      4.521000,          0.232000,                     2.192953,      0.954000
                1626738900,           2021-07-19 23:55:00,           2021-07-19 18:55:00,      3.440000,      4.440000,          0.277000,                     2.612758,      0.955000
                1626739500,           2021-07-20 00:05:00,           2021-07-19 19:05:00,      3.440000,      4.390000,          0.270000,                     2.543392,      0.955000
                1626740100,           2021-07-20 00:15:00,           2021-07-19 19:15:00,      3.440000,      4.359000,          0.275000,                     2.588384,      0.955000
                1626740700,           2021-07-20 00:25:00,           2021-07-19 19:25:00,      3.440000,      4.339000,          0.296000,                     2.784579,      0.955000
                1626741300,           2021-07-20 00:35:00,           2021-07-19 19:35:00,      3.440000,      4.299000,          0.433000,                     4.069106,      0.957000
                1626741900,           2021-07-20 00:45:00,           2021-07-19 19:45:00,      3.440000,      4.309000,          0.626000,                     5.884366,      0.960000
                1626742500,           2021-07-20 00:55:00,           2021-07-19 19:55:00,      3.440000,      4.299000,          0.681000,                     6.399680,      0.960000
                1626743100,           2021-07-20 01:05:00,           2021-07-19 20:05:00,      3.440000,      4.288000,          0.619000,                     5.815354,      0.960000
                1626743700,           2021-07-20 01:15:00,           2021-07-19 20:15:00,      3.430000,      4.258000,          0.639000,                     5.998513,      0.960000
                1626744300,           2021-07-20 01:25:00,           2021-07-19 20:25:00,      3.440000,      4.217000,          0.524000,                     4.913662,      0.958000
