MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2021Oct15 10:02:17 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1646.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1631394600,           2021-09-11 21:10:00,           2021-09-11 14:10:00,      3.400000,      9.325000,          0.268000,                     2.857760,      0.857000
                1631395200,           2021-09-11 21:20:00,           2021-09-11 14:20:00,      3.400000,      5.263000,          0.153000,                     1.474402,      0.919000
                1631395800,           2021-09-11 21:30:00,           2021-09-11 14:30:00,      3.400000,      4.531000,          0.087000,                     0.822573,      0.952000
                1631396400,           2021-09-11 21:40:00,           2021-09-11 14:40:00,      3.390000,      4.359000,          0.108000,                     1.016529,      0.953000
                1631397000,           2021-09-11 21:50:00,           2021-09-11 14:50:00,      3.390000,      4.319000,          0.045000,                     0.423109,      0.952000
                1631397600,           2021-09-11 22:00:00,           2021-09-11 15:00:00,      3.390000,      4.248000,          0.044000,                     0.412934,      0.953000
                1631398200,           2021-09-11 22:10:00,           2021-09-11 15:10:00,      3.390000,      4.278000,          0.040000,                     0.375691,      0.952000
                1631398800,           2021-09-11 22:20:00,           2021-09-11 15:20:00,      3.390000,      4.288000,          0.040000,                     0.375790,      0.953000
                1631399400,           2021-09-11 22:30:00,           2021-09-11 15:30:00,      3.390000,      4.299000,          0.037000,                     0.347707,      0.953000
                1631400000,           2021-09-11 22:40:00,           2021-09-11 15:40:00,      3.390000,      4.288000,          0.041000,                     0.385185,      0.953000
                1631400600,           2021-09-11 22:50:00,           2021-09-11 15:50:00,      3.390000,      4.268000,          0.043000,                     0.403762,      0.953000
                1631401200,           2021-09-11 23:00:00,           2021-09-11 16:00:00,      3.390000,      4.268000,          0.042000,                     0.394372,      0.953000
