MiniDOT Logger Concatenated Data File
Sensor:             7392-254581
Concatenation Date: 2022May24 09:47:32 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1650.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1650825840,           2022-04-24 18:44:00,           2022-04-24 11:44:00,      3.440000,     24.329000,          6.872000,                   100.941841,      0.986000
                1650826440,           2022-04-24 18:54:00,           2022-04-24 11:54:00,      3.440000,     26.793000,          6.764000,                   104.050076,      0.989000
                1650827040,           2022-04-24 19:04:00,           2022-04-24 12:04:00,      3.440000,     28.129000,          6.680000,                   105.304284,      0.988000
                1650827640,           2022-04-24 19:14:00,           2022-04-24 12:14:00,      3.440000,     29.537000,          6.569000,                   106.220452,      0.992000
                1650828240,           2022-04-24 19:24:00,           2022-04-24 12:24:00,      3.450000,     11.893000,          6.901000,                    78.205964,      0.864000
                1650828840,           2022-04-24 19:34:00,           2022-04-24 12:34:00,      3.450000,      6.869000,          8.315000,                    83.515664,      0.920000
                1650829440,           2022-04-24 19:44:00,           2022-04-24 12:44:00,      3.450000,      5.738000,          8.551000,                    83.457518,      0.954000
                1650830040,           2022-04-24 19:54:00,           2022-04-24 12:54:00,      3.450000,      5.322000,          8.981000,                    86.721575,      0.970000
                1650830640,           2022-04-24 20:04:00,           2022-04-24 13:04:00,      3.440000,      5.163000,          8.699000,                    83.654008,      0.973000
                1650831240,           2022-04-24 20:14:00,           2022-04-24 13:14:00,      3.440000,      5.123000,          8.459000,                    81.261825,      0.972000
                1650831840,           2022-04-24 20:24:00,           2022-04-24 13:24:00,      3.440000,      5.103000,          8.411000,                    80.758849,      0.974000
                1650832440,           2022-04-24 20:34:00,           2022-04-24 13:34:00,      3.440000,      5.113000,          8.438000,                    81.039089,      0.973000
                1650833040,           2022-04-24 20:44:00,           2022-04-24 13:44:00,      3.440000,      5.103000,          8.421000,                    80.854865,      0.974000
                1650833640,           2022-04-24 20:54:00,           2022-04-24 13:54:00,      3.440000,      5.083000,          8.603000,                    82.559541,      0.974000
                1650834240,           2022-04-24 21:04:00,           2022-04-24 14:04:00,      3.440000,      5.083000,          8.688000,                    83.375252,      0.974000
                1650834840,           2022-04-24 21:14:00,           2022-04-24 14:14:00,      3.440000,      5.073000,          8.445000,                    81.022269,      0.975000
                1650835440,           2022-04-24 21:24:00,           2022-04-24 14:24:00,      3.440000,      5.093000,          8.327000,                    79.931597,      0.975000
