Record ID,Date Time,Air Temp Avg,Air Temp Min,Air Temp Min Time,Air Temp Max,Air Temp Max Time,Humidity,Barometer,Battery,Min Battery,ETo,Rain Yearly,Solar Avg,Wind Speed Avg,Wind Speed Max,Wind Speed Max Time,Wind Speed Avg,Wind Direction
143742,2020-08-23 00:00:00,18.1,16.5,2020-08-22 23:51:30,19.8,2020-08-22 23:04:10,7,29.99,12.73,12.70,0.00,23.07,0,0.0,4.5,2020-08-22 23:29:20,0.0,297
143743,2020-08-23 01:00:00,16.6,15.7,2020-08-23 00:53:30,17.9,2020-08-23 00:02:40,8,29.99,12.69,12.68,0.00,23.07,0,0.0,0.0,2020-08-23 00:00:10,0.0,327
143744,2020-08-23 02:00:00,17.8,16.0,2020-08-23 01:02:40,18.5,2020-08-23 01:24:50,9,29.98,12.71,12.67,0.00,23.07,0,2.2,4.5,2020-08-23 01:33:20,2.2,151
143745,2020-08-23 03:00:00,17.7,17.0,2020-08-23 02:14:00,18.3,2020-08-23 02:59:40,8,29.98,12.70,12.67,0.00,23.07,0,2.2,4.5,2020-08-23 02:28:50,2.2,157
143746,2020-08-23 04:00:00,17.2,16.2,2020-08-23 03:59:40,18.4,2020-08-23 03:01:00,9,29.98,12.69,12.65,0.00,23.07,0,0.0,8.9,2020-08-23 03:09:20,0.0,173
143747,2020-08-23 05:00:00,16.2,15.2,2020-08-23 04:58:20,17.5,2020-08-23 04:30:20,13,29.98,12.67,12.63,0.00,23.07,0,0.0,2.2,2020-08-23 04:10:30,0.0,176
143748,2020-08-23 06:00:00,16.3,15.3,2020-08-23 05:16:10,17.7,2020-08-23 05:58:10,12,29.98,12.64,12.61,0.00,23.07,0,0.0,4.5,2020-08-23 05:50:10,0.0,179
143749,2020-08-23 07:00:00,15.5,14.5,2020-08-23 06:19:30,16.6,2020-08-23 06:24:50,15,29.99,12.62,12.57,0.00,23.07,1,0.0,0.0,2020-08-23 06:00:10,0.0,205
143750,2020-08-23 08:00:00,16.0,14.3,2020-08-23 07:16:50,17.3,2020-08-23 07:58:40,17,30.00,12.89,12.56,0.00,23.07,42,0.0,2.2,2020-08-23 07:58:30,0.0,203
143751,2020-08-23 09:00:00,17.7,16.0,2020-08-23 08:09:50,18.7,2020-08-23 08:51:50,10,30.00,13.53,12.89,0.01,23.07,135,0.0,8.9,2020-08-23 08:46:20,0.0,130
143752,2020-08-23 10:00:00,19.0,18.1,2020-08-23 09:04:40,20.7,2020-08-23 09:59:00,7,30.00,13.45,13.43,0.02,23.07,308,2.2,6.7,2020-08-23 09:29:20,2.2,129
143753,2020-08-23 11:00:00,20.7,19.2,2020-08-23 10:06:30,22.9,2020-08-23 10:53:40,6,30.02,13.37,13.36,0.03,23.07,525,2.2,6.7,2020-08-23 10:06:40,2.2,122
143754,2020-08-23 12:00:00,21.4,19.9,2020-08-23 11:29:00,24.2,2020-08-23 11:57:30,4,30.01,13.35,13.34,0.05,23.07,625,2.2,8.9,2020-08-23 11:29:00,2.2,131
143755,2020-08-23 13:00:00,22.7,20.4,2020-08-23 12:00:30,25.2,2020-08-23 12:29:40,4,30.01,13.31,13.31,0.07,23.07,689,2.2,8.9,2020-08-23 12:29:10,2.2,134
143756,2020-08-23 14:00:00,23.5,21.6,2020-08-23 13:34:40,26.4,2020-08-23 13:55:50,4,30.01,13.32,13.29,0.09,23.07,684,2.2,8.9,2020-08-23 13:19:50,2.2,157
143757,2020-08-23 15:00:00,24.1,22.1,2020-08-23 14:04:20,26.7,2020-08-23 14:36:50,4,30.00,13.34,13.30,0.11,23.07,662,4.5,8.9,2020-08-23 14:00:50,4.5,153
143758,2020-08-23 16:00:00,24.0,22.3,2020-08-23 15:11:50,26.6,2020-08-23 15:04:20,4,29.99,13.36,13.31,0.13,23.07,582,4.5,8.9,2020-08-23 15:11:50,4.5,151
-1,2020-08-23 16:40:33,24.0,24.0,2020-08-23 16:40:33,24.0,2020-08-23 16:40:33,4,30.01,12.92,12.92,0.12,23.07,1,0.0,0.0,2020-08-23 16:40:33,0.0,37
-1,2020-08-23 16:40:34,24.0,24.0,2020-08-23 16:40:34,24.0,2020-08-23 16:40:34,4,30.01,12.92,12.92,0.12,23.07,1,0.0,0.0,2020-08-23 16:40:34,0.0,37
-1,2020-08-23 16:41:38,23.8,23.8,2020-08-23 16:41:38,23.8,2020-08-23 16:41:38,4,30.01,12.93,12.93,0.12,23.07,0,0.0,0.0,2020-08-23 16:41:38,0.0,37
-1,2020-08-23 16:42:44,23.8,23.8,2020-08-23 16:42:44,23.8,2020-08-23 16:42:44,4,30.01,12.85,12.85,0.12,23.07,2,0.0,0.0,2020-08-23 16:42:44,0.0,37
-1,2020-08-23 16:43:48,23.8,23.8,2020-08-23 16:43:48,23.8,2020-08-23 16:43:48,4,30.01,12.86,12.86,0.12,23.07,0,0.0,0.0,2020-08-23 16:43:48,0.0,37
-1,2020-08-23 16:44:48,23.7,23.7,2020-08-23 16:44:48,23.7,2020-08-23 16:44:48,4,30.02,12.85,12.85,0.12,23.07,1,0.0,0.0,2020-08-23 16:44:48,0.0,37
143759,2020-08-23 17:00:00,23.9,22.5,2020-08-23 16:25:20,26.7,2020-08-23 16:32:20,4,29.99,12.97,12.80,0.14,23.07,283,2.2,8.9,2020-08-23 16:05:30,2.2,115
143760,2020-08-23 18:00:00,22.8,22.0,2020-08-23 17:58:50,24.5,2020-08-23 17:12:40,4,29.97,13.47,12.96,0.14,23.07,268,4.5,8.9,2020-08-23 17:00:30,4.5,158
143761,2020-08-23 19:00:00,21.3,20.6,2020-08-23 18:56:10,22.1,2020-08-23 18:00:10,5,29.96,13.04,13.04,0.14,23.07,58,2.2,6.7,2020-08-23 18:08:30,2.2,154
143762,2020-08-23 20:00:00,20.4,19.2,2020-08-23 19:59:50,21.3,2020-08-23 19:02:50,5,29.96,12.77,12.75,0.14,23.07,24,0.0,4.5,2020-08-23 19:02:30,0.0,186
143763,2020-08-23 21:00:00,18.9,17.5,2020-08-23 20:32:30,20.2,2020-08-23 20:16:30,5,29.97,12.75,12.71,0.14,23.07,2,0.0,2.2,2020-08-23 20:07:40,0.0,62
