Date Time,Air Temp Avg,Solar Avg
1/22/2021 0:00,2.8,0
1/22/2021 1:00,2.3,0
1/22/2021 2:00,1.9,0
1/22/2021 3:00,1.6,0
1/22/2021 4:00,1.8,0
1/22/2021 5:00,2.4,0
1/22/2021 6:00,2.9,0
1/22/2021 7:00,3.1,0
1/22/2021 8:00,3.4,0
1/22/2021 9:00,3.7,0
1/22/2021 10:00,3.6,11
1/22/2021 11:00,2.7,75
1/22/2021 12:00,1.7,128
1/22/2021 13:00,1.5,108
1/22/2021 14:00,2.1,99
1/22/2021 15:00,2.1,89
1/22/2021 17:00,1.8,86
1/22/2021 18:00,2.2,44
1/22/2021 19:00,2.7,4
1/22/2021 20:00,2.9,0
1/22/2021 21:00,2.9,0
1/22/2021 22:00,2.8,0
1/22/2021 23:00,3.1,0
1/23/2021 0:00,3.7,0
1/23/2021 1:00,3.4,0
1/23/2021 2:00,3.5,0
1/23/2021 3:00,3.7,0
1/23/2021 4:00,4.1,0
1/23/2021 6:00,4,0
1/23/2021 7:00,4,0
1/23/2021 8:00,4.1,0
1/23/2021 9:00,4.3,1
1/23/2021 10:00,4.2,42
1/23/2021 11:00,3,149
1/23/2021 12:00,0.9,345
1/23/2021 13:00,0.2,372
1/23/2021 14:00,0.8,468
1/23/2021 15:00,0.8,441
1/23/2021 16:00,1.1,363
1/23/2021 17:00,0.5,251
1/23/2021 18:00,2.3,20
1/23/2021 19:00,3.8,6
1/23/2021 20:00,4.6,0
1/23/2021 21:00,4.9,0
1/23/2021 22:00,5.1,0
1/23/2021 23:00,5,0
1/24/2021 0:00,5,0
1/24/2021 1:00,4.7,0
1/24/2021 2:00,3.8,0
1/24/2021 3:00,4,0
1/24/2021 4:00,2.8,0
1/24/2021 5:00,2.8,0
1/24/2021 6:00,3.8,0
1/24/2021 7:00,2.2,0
1/24/2021 8:00,1.7,0
1/24/2021 9:00,1.9,2
1/24/2021 10:00,1.7,29
1/24/2021 11:00,2,70
1/24/2021 12:00,2.3,140
1/24/2021 13:00,2.3,178
1/24/2021 14:00,2.8,187
1/24/2021 15:00,2.9,180
1/24/2021 16:00,3.6,157
1/24/2021 17:00,4,75
1/24/2021 18:00,3.7,35
1/24/2021 19:00,4.3,3
1/24/2021 20:00,4.4,0
1/24/2021 21:00,4.6,0
1/24/2021 22:00,5.6,0
1/24/2021 23:00,6.1,0
1/25/2021 0:00,6,0
1/25/2021 1:00,6.5,0
1/25/2021 2:00,6.6,0
1/25/2021 3:00,6.7,0
1/25/2021 4:00,7.1,0
1/25/2021 5:00,7.4,0
1/25/2021 6:00,7.8,0
1/25/2021 7:00,8,0
1/25/2021 8:00,8.3,0
1/25/2021 9:00,8.4,1
1/25/2021 10:00,8.6,22
1/25/2021 11:00,8,143
1/25/2021 12:00,5.7,339
1/25/2021 13:00,4.6,446
1/25/2021 14:00,4.1,465
1/25/2021 15:00,4.9,425
1/25/2021 16:00,5,339
1/25/2021 17:00,5.7,202
1/25/2021 18:00,7.1,40
1/25/2021 19:00,8.1,9
1/25/2021 20:00,8.2,0
1/25/2021 21:00,7.8,0
1/25/2021 22:00,8.1,0
1/25/2021 23:00,8.3,0
1/26/2021 0:00,9.2,0
1/26/2021 1:00,9.9,0
1/26/2021 2:00,10.2,0
1/26/2021 3:00,11.4,0
1/26/2021 4:00,11.9,0
1/26/2021 5:00,12,0
1/26/2021 6:00,11,0
1/26/2021 7:00,9.4,0
1/26/2021 8:00,8.9,0
1/26/2021 9:00,7.9,3
1/26/2021 10:00,7.3,49
1/26/2021 11:00,6.9,95
1/26/2021 12:00,7,135
1/26/2021 13:00,7.3,146
1/26/2021 14:00,7.9,157
1/26/2021 15:00,7.8,144
1/26/2021 16:00,7.6,88
1/26/2021 17:00,7.6,44
1/26/2021 18:00,7.5,19
1/26/2021 19:00,7.3,3
1/26/2021 20:00,7.1,0
1/26/2021 21:00,6.9,0
1/26/2021 22:00,6.8,0
1/26/2021 23:00,6.7,0
1/27/2021 0:00,6.6,0
1/27/2021 1:00,6.8,0
1/27/2021 2:00,6.8,0
1/27/2021 3:00,7,0
1/27/2021 4:00,7.2,0
