unix,utc,pst,temp_c,do_mg_l,do_sat
1630195680,2021-08-29T00:08:00Z,2021-08-28T17:08:00Z,19.837,6.189,84.164155
1630196280,2021-08-29T00:18:00Z,2021-08-28T17:18:00Z,19.854,6.509,88.546335
1630196880,2021-08-29T00:28:00Z,2021-08-28T17:28:00Z,19.888,6.652,90.554015
1630197480,2021-08-29T00:38:00Z,2021-08-28T17:38:00Z,19.871,6.882,93.65276
1630198080,2021-08-29T00:48:00Z,2021-08-28T17:48:00Z,19.879,7.121,96.920865
1630198680,2021-08-29T00:58:00Z,2021-08-28T17:58:00Z,19.888,7.15,97.333314
1630199280,2021-08-29T01:08:00Z,2021-08-28T18:08:00Z,19.896,7.193,97.934542
1630199880,2021-08-29T01:18:00Z,2021-08-28T18:18:00Z,19.888,7.258,98.803523
1630200480,2021-08-29T01:28:00Z,2021-08-28T18:28:00Z,19.871,7.578,103.124181
1630201080,2021-08-29T01:38:00Z,2021-08-28T18:38:00Z,19.888,7.71,104.956622
1630201680,2021-08-29T01:48:00Z,2021-08-28T18:48:00Z,19.871,9.319,126.816342
1630202280,2021-08-29T01:58:00Z,2021-08-28T18:58:00Z,19.913,9.66,131.568664
1630202880,2021-08-29T02:08:00Z,2021-08-28T19:08:00Z,19.888,9.64,131.229811
1630203480,2021-08-29T02:18:00Z,2021-08-28T19:18:00Z,19.879,9.638,131.178668
1630204080,2021-08-29T02:28:00Z,2021-08-28T19:28:00Z,19.879,9.633,131.110615
1630204680,2021-08-29T02:38:00Z,2021-08-28T19:38:00Z,19.896,9.649,131.373612
1630205280,2021-08-29T02:48:00Z,2021-08-28T19:48:00Z,19.879,9.681,131.763923
1630205880,2021-08-29T02:58:00Z,2021-08-28T19:58:00Z,19.879,9.693,131.92725
1630206480,2021-08-29T03:08:00Z,2021-08-28T20:08:00Z,19.862,9.699,131.963455
1630207080,2021-08-29T03:18:00Z,2021-08-28T20:18:00Z,19.862,9.664,131.487249
1630207680,2021-08-29T03:28:00Z,2021-08-28T20:28:00Z,19.862,9.658,131.405614
1630208280,2021-08-29T03:38:00Z,2021-08-28T20:38:00Z,19.871,9.517,129.510798
1630208880,2021-08-29T03:48:00Z,2021-08-28T20:48:00Z,19.846,9.434,128.316285
1630209480,2021-08-29T03:58:00Z,2021-08-28T20:58:00Z,19.846,9.389,127.704219
1630210080,2021-08-29T04:08:00Z,2021-08-28T21:08:00Z,19.871,9.36,127.374285
1630210680,2021-08-29T04:18:00Z,2021-08-28T21:18:00Z,19.846,9.348,127.146559
1630211280,2021-08-29T04:28:00Z,2021-08-28T21:28:00Z,19.862,9.33,126.942884
1630211880,2021-08-29T04:38:00Z,2021-08-28T21:38:00Z,19.862,9.327,126.902067
1630212480,2021-08-29T04:48:00Z,2021-08-28T21:48:00Z,19.862,9.324,126.861249
1630213080,2021-08-29T04:58:00Z,2021-08-28T21:58:00Z,19.854,9.33,126.922308
