lake,date_time,temp_c,depth
cedar,2021-08-28T17:00:00Z,21.151,2m
cedar,2021-08-28T18:00:00Z,21.413,2m
cedar,2021-08-28T19:00:00Z,21.676,2m
cedar,2021-08-28T20:00:00Z,21.413,2m
cedar,2021-08-28T21:00:00Z,21.127,2m
cedar,2021-08-28T22:00:00Z,20.865,2m
cedar,2021-08-28T23:00:00Z,20.603,2m
cedar,2021-08-29T00:00:00Z,20.388,2m
cedar,2021-08-29T01:00:00Z,20.198,2m
cedar,2021-08-29T02:00:00Z,20.031,2m
cedar,2021-08-29T03:00:00Z,19.912,2m
cedar,2021-08-29T04:00:00Z,19.746,2m
cedar,2021-08-29T05:00:00Z,19.674,2m
cedar,2021-08-29T06:00:00Z,19.532,2m
cedar,2021-08-29T07:00:00Z,19.413,2m
cedar,2021-08-29T08:00:00Z,19.341,2m
cedar,2021-08-29T09:00:00Z,19.365,2m
cedar,2021-08-29T10:00:00Z,19.413,2m
cedar,2021-08-29T11:00:00Z,19.508,2m
cedar,2021-08-29T12:00:00Z,19.651,2m
cedar,2021-08-29T13:00:00Z,19.912,2m
cedar,2021-08-29T14:00:00Z,20.198,2m
cedar,2021-08-29T15:00:00Z,20.674,2m
cedar,2021-08-29T16:00:00Z,20.77,2m
cedar,2021-08-29T17:00:00Z,20.841,2m
cedar,2021-08-29T18:00:00Z,20.77,2m
cedar,2021-08-29T19:00:00Z,20.627,2m
cedar,2021-08-29T20:00:00Z,20.46,2m
cedar,2021-08-29T21:00:00Z,20.293,2m
cedar,2021-08-29T22:00:00Z,20.15,2m
cedar,2021-08-29T23:00:00Z,20.031,2m
cedar,2021-08-30T00:00:00Z,19.912,2m
cedar,2021-08-30T01:00:00Z,19.793,2m
cedar,2021-08-30T02:00:00Z,19.674,2m
cedar,2021-08-30T03:00:00Z,19.603,2m
cedar,2021-08-30T04:00:00Z,19.508,2m
cedar,2021-08-30T05:00:00Z,19.389,2m
cedar,2021-08-30T06:00:00Z,19.246,2m
cedar,2021-08-30T07:00:00Z,19.151,2m
cedar,2021-08-30T08:00:00Z,19.056,2m
cedar,2021-08-30T09:00:00Z,19.032,2m
cedar,2021-08-30T10:00:00Z,19.103,2m
cedar,2021-08-30T11:00:00Z,19.175,2m
cedar,2021-08-30T12:00:00Z,19.294,2m
cedar,2021-08-30T13:00:00Z,19.46,2m
cedar,2021-08-30T14:00:00Z,19.888,2m
cedar,2021-08-30T15:00:00Z,20.103,2m
cedar,2021-08-30T16:00:00Z,20.198,2m
cedar,2021-08-30T17:00:00Z,20.341,2m
cedar,2021-08-30T18:00:00Z,20.555,2m
cedar,2021-08-30T19:00:00Z,20.365,2m
cedar,2021-08-30T20:00:00Z,20.103,2m
cedar,2021-08-30T21:00:00Z,19.865,2m
cedar,2021-08-30T22:00:00Z,19.651,2m
cedar,2021-08-30T23:00:00Z,19.484,2m
cedar,2021-08-31T00:00:00Z,19.341,2m
cedar,2021-08-31T01:00:00Z,19.222,2m
cedar,2021-08-31T02:00:00Z,19.08,2m
cedar,2021-08-31T03:00:00Z,18.985,2m
cedar,2021-08-31T04:00:00Z,18.842,2m
cedar,2021-08-31T05:00:00Z,18.723,2m
cedar,2021-08-31T06:00:00Z,18.557,2m
cedar,2021-08-31T07:00:00Z,18.414,2m
cedar,2021-08-31T08:00:00Z,18.319,2m
cedar,2021-08-31T09:00:00Z,18.343,2m
cedar,2021-08-31T10:00:00Z,18.461,2m
cedar,2021-08-31T11:00:00Z,18.414,2m
cedar,2021-08-31T12:00:00Z,18.723,2m
cedar,2021-08-31T13:00:00Z,18.985,2m
cedar,2021-08-31T14:00:00Z,19.436,2m
cedar,2021-08-31T15:00:00Z,19.793,2m
cedar,2021-08-31T16:00:00Z,20.126,2m
cedar,2021-08-31T17:00:00Z,20.246,2m
cedar,2021-08-31T18:00:00Z,20.198,2m
cedar,2021-08-31T19:00:00Z,20.007,2m
cedar,2021-08-31T20:00:00Z,19.793,2m
cedar,2021-08-31T21:00:00Z,19.579,2m
cedar,2021-08-31T22:00:00Z,19.389,2m
cedar,2021-08-31T23:00:00Z,19.199,2m
cedar,2021-09-01T00:00:00Z,19.008,2m
cedar,2021-09-01T01:00:00Z,18.866,2m
cedar,2021-09-01T02:00:00Z,18.723,2m
cedar,2021-09-01T03:00:00Z,18.604,2m
cedar,2021-09-01T04:00:00Z,18.461,2m
cedar,2021-09-01T05:00:00Z,18.319,2m
cedar,2021-09-01T06:00:00Z,18.2,2m
cedar,2021-09-01T07:00:00Z,18.081,2m
cedar,2021-09-01T08:00:00Z,17.986,2m
cedar,2021-09-01T09:00:00Z,18.033,2m
cedar,2021-09-01T10:00:00Z,18.129,2m
cedar,2021-09-01T11:00:00Z,18.2,2m
cedar,2021-09-01T12:00:00Z,18.39,2m
cedar,2021-09-01T13:00:00Z,18.794,2m
cedar,2021-09-01T14:00:00Z,19.46,2m
cedar,2021-09-01T15:00:00Z,19.865,2m
cedar,2021-09-01T16:00:00Z,20.15,2m
cedar,2021-09-01T17:00:00Z,20.15,2m
cedar,2021-09-01T18:00:00Z,20.031,2m
cedar,2021-09-01T19:00:00Z,20.031,2m
cedar,2021-09-01T20:00:00Z,19.793,2m
cedar,2021-09-01T21:00:00Z,19.555,2m
cedar,2021-09-01T22:00:00Z,19.341,2m
cedar,2021-09-01T23:00:00Z,19.151,2m
cedar,2021-09-02T00:00:00Z,18.961,2m
cedar,2021-09-02T01:00:00Z,18.818,2m
cedar,2021-09-02T02:00:00Z,18.699,2m
cedar,2021-09-02T03:00:00Z,18.58,2m
cedar,2021-09-02T04:00:00Z,18.461,2m
cedar,2021-09-02T05:00:00Z,18.319,2m
cedar,2021-09-02T06:00:00Z,18.176,2m
cedar,2021-09-02T07:00:00Z,18.057,2m
cedar,2021-09-02T08:00:00Z,17.986,2m
cedar,2021-09-02T09:00:00Z,17.986,2m
cedar,2021-09-02T10:00:00Z,18.057,2m
cedar,2021-09-02T11:00:00Z,18.152,2m
cedar,2021-09-02T12:00:00Z,18.2,2m
cedar,2021-09-02T13:00:00Z,18.485,2m
cedar,2021-09-02T14:00:00Z,18.723,2m
cedar,2021-09-02T15:00:00Z,19.056,2m
cedar,2021-09-02T16:00:00Z,19.27,2m
