lake,date_time,temp_c,light_intensity_lux,depth
cedar,2021-10-17T15:00:00Z,10.357,15155.7,2.5m
cedar,2021-10-17T16:00:00Z,9.965,1980.6,2.5m
cedar,2021-10-17T17:00:00Z,9.768,2066.7,2.5m
cedar,2021-10-17T18:00:00Z,9.669,322.9,2.5m
cedar,2021-10-17T19:00:00Z,9.571,0,2.5m
cedar,2021-10-17T20:00:00Z,9.472,0,2.5m
cedar,2021-10-17T21:00:00Z,9.373,0,2.5m
cedar,2021-10-17T22:00:00Z,9.373,0,2.5m
cedar,2021-10-17T23:00:00Z,9.275,0,2.5m
cedar,2021-10-18T00:00:00Z,9.077,0,2.5m
cedar,2021-10-18T01:00:00Z,8.978,0,2.5m
cedar,2021-10-18T02:00:00Z,8.879,0,2.5m
cedar,2021-10-18T03:00:00Z,8.68,0,2.5m
cedar,2021-10-18T04:00:00Z,8.68,0,2.5m
cedar,2021-10-18T05:00:00Z,8.581,0,2.5m
cedar,2021-10-18T06:00:00Z,8.382,0,2.5m
cedar,2021-10-18T07:00:00Z,8.282,0,2.5m
cedar,2021-10-18T08:00:00Z,8.282,2583.4,2.5m
cedar,2021-10-18T09:00:00Z,8.68,5511.1,2.5m
cedar,2021-10-18T10:00:00Z,9.472,24800.2,2.5m
cedar,2021-10-18T11:00:00Z,10.455,176356.7,2.5m
cedar,2021-10-18T12:00:00Z,10.161,34444.7,2.5m
cedar,2021-10-18T13:00:00Z,9.965,38578,2.5m
cedar,2021-10-18T14:00:00Z,9.768,23422.4,2.5m
cedar,2021-10-18T15:00:00Z,10.259,22044.6,2.5m
cedar,2021-10-18T16:00:00Z,9.669,11022.3,2.5m
cedar,2021-10-18T17:00:00Z,9.373,4822.3,2.5m
cedar,2021-10-18T18:00:00Z,8.978,1108.7,2.5m
cedar,2021-10-18T19:00:00Z,8.879,0,2.5m
cedar,2021-10-18T20:00:00Z,8.779,0,2.5m
cedar,2021-10-18T21:00:00Z,8.68,0,2.5m
cedar,2021-10-18T22:00:00Z,8.581,0,2.5m
cedar,2021-10-18T23:00:00Z,8.581,0,2.5m
cedar,2021-10-19T00:00:00Z,8.481,0,2.5m
cedar,2021-10-19T01:00:00Z,8.382,0,2.5m
cedar,2021-10-19T02:00:00Z,8.282,0,2.5m
cedar,2021-10-19T03:00:00Z,8.282,0,2.5m
cedar,2021-10-19T04:00:00Z,8.182,0,2.5m
cedar,2021-10-19T05:00:00Z,8.082,0,2.5m
cedar,2021-10-19T06:00:00Z,8.182,0,2.5m
cedar,2021-10-19T07:00:00Z,8.082,0,2.5m
cedar,2021-10-19T08:00:00Z,8.082,1550,2.5m
cedar,2021-10-19T09:00:00Z,8.382,7233.4,2.5m
cedar,2021-10-19T10:00:00Z,8.879,27555.7,2.5m
cedar,2021-10-19T11:00:00Z,8.779,18600.1,2.5m
cedar,2021-10-19T12:00:00Z,8.879,33066.9,2.5m
cedar,2021-10-19T13:00:00Z,8.68,20666.8,2.5m
cedar,2021-10-19T14:00:00Z,8.581,12400.1,2.5m
cedar,2021-10-19T15:00:00Z,8.581,12400.1,2.5m
cedar,2021-10-19T16:00:00Z,8.779,8611.2,2.5m
cedar,2021-10-19T17:00:00Z,8.481,8266.7,2.5m
cedar,2021-10-19T18:00:00Z,8.082,1076.4,2.5m
cedar,2021-10-19T19:00:00Z,7.983,0,2.5m
cedar,2021-10-19T20:00:00Z,7.882,0,2.5m
cedar,2021-10-19T21:00:00Z,7.882,0,2.5m
cedar,2021-10-19T22:00:00Z,7.782,0,2.5m
cedar,2021-10-19T23:00:00Z,7.481,0,2.5m
cedar,2021-10-20T00:00:00Z,7.179,0,2.5m
cedar,2021-10-20T01:00:00Z,7.079,0,2.5m
cedar,2021-10-20T02:00:00Z,6.877,0,2.5m
cedar,2021-10-20T03:00:00Z,6.471,0,2.5m
cedar,2021-10-20T04:00:00Z,6.37,0,2.5m
cedar,2021-10-20T05:00:00Z,6.268,0,2.5m
cedar,2021-10-20T06:00:00Z,6.166,0,2.5m
cedar,2021-10-20T07:00:00Z,5.962,0,2.5m
cedar,2021-10-20T08:00:00Z,5.86,699.7,2.5m
cedar,2021-10-20T09:00:00Z,5.962,2927.8,2.5m
cedar,2021-10-20T10:00:00Z,6.064,7233.4,2.5m
cedar,2021-10-20T11:00:00Z,6.166,11711.2,2.5m
cedar,2021-10-20T12:00:00Z,6.268,18600.1,2.5m
cedar,2021-10-20T13:00:00Z,6.37,16533.4,2.5m
cedar,2021-10-20T14:00:00Z,6.471,15155.7,2.5m
cedar,2021-10-20T15:00:00Z,6.37,11711.2,2.5m
cedar,2021-10-20T16:00:00Z,6.166,10677.8,2.5m
cedar,2021-10-20T17:00:00Z,6.064,5511.1,2.5m
cedar,2021-10-20T18:00:00Z,5.86,1463.9,2.5m
cedar,2021-10-20T19:00:00Z,5.757,0,2.5m
cedar,2021-10-20T20:00:00Z,5.757,0,2.5m
cedar,2021-10-20T21:00:00Z,5.757,0,2.5m
cedar,2021-10-20T22:00:00Z,5.757,0,2.5m
cedar,2021-10-20T23:00:00Z,5.757,0,2.5m
cedar,2021-10-21T00:00:00Z,5.757,0,2.5m
cedar,2021-10-21T01:00:00Z,5.757,0,2.5m
cedar,2021-10-21T02:00:00Z,5.757,0,2.5m
cedar,2021-10-21T03:00:00Z,5.757,0,2.5m
cedar,2021-10-21T04:00:00Z,5.757,0,2.5m
cedar,2021-10-21T05:00:00Z,5.757,0,2.5m
cedar,2021-10-21T06:00:00Z,5.757,0,2.5m
cedar,2021-10-21T07:00:00Z,5.757,0,2.5m
cedar,2021-10-21T08:00:00Z,5.86,1980.6,2.5m
cedar,2021-10-21T09:00:00Z,5.962,7577.8,2.5m
cedar,2021-10-21T10:00:00Z,5.962,5511.1,2.5m
cedar,2021-10-21T11:00:00Z,6.573,14466.8,2.5m
cedar,2021-10-21T12:00:00Z,6.166,8611.2,2.5m
cedar,2021-10-21T13:00:00Z,6.166,6200,2.5m
cedar,2021-10-21T14:00:00Z,6.268,8266.7,2.5m
cedar,2021-10-21T15:00:00Z,6.268,3444.5,2.5m
cedar,2021-10-21T16:00:00Z,6.166,2497.2,2.5m
cedar,2021-10-21T17:00:00Z,6.166,850.4,2.5m
cedar,2021-10-21T18:00:00Z,6.166,107.6,2.5m
cedar,2021-10-21T19:00:00Z,6.268,0,2.5m
cedar,2021-10-21T20:00:00Z,6.37,0,2.5m
cedar,2021-10-21T21:00:00Z,6.37,0,2.5m
cedar,2021-10-21T22:00:00Z,6.37,0,2.5m
cedar,2021-10-21T23:00:00Z,6.471,0,2.5m
cedar,2021-10-22T00:00:00Z,6.471,0,2.5m
cedar,2021-10-22T01:00:00Z,6.573,0,2.5m
cedar,2021-10-22T02:00:00Z,6.573,0,2.5m
cedar,2021-10-22T03:00:00Z,6.573,0,2.5m
