lake,date_time,temp_c,light_intensity_lux,depth
lake,2021-11-13T10:45:20Z,6.064,7233.4,0.8m
lake,2021-11-13T11:45:20Z,5.347,15844.5,0.8m
lake,2021-11-13T12:45:20Z,5.45,17911.2,0.8m
lake,2021-11-13T13:45:20Z,5.655,10333.4,0.8m
lake,2021-11-13T14:45:20Z,5.244,5166.7,0.8m
lake,2021-11-13T15:45:20Z,5.037,764.2,0.8m
lake,2021-11-13T16:45:20Z,4.934,150.7,0.8m
lake,2021-11-13T17:45:20Z,5.141,0,0.8m
lake,2021-11-13T18:45:20Z,5.037,0,0.8m
lake,2021-11-13T19:45:20Z,5.141,0,0.8m
lake,2021-11-13T20:45:20Z,5.141,0,0.8m
lake,2021-11-13T21:45:20Z,5.141,0,0.8m
lake,2021-11-13T22:45:20Z,5.141,0,0.8m
lake,2021-11-13T23:45:20Z,5.141,0,0.8m
lake,2021-11-14T00:45:20Z,5.141,0,0.8m
lake,2021-11-14T01:45:20Z,5.037,0,0.8m
lake,2021-11-14T02:45:20Z,5.141,0,0.8m
lake,2021-11-14T03:45:20Z,5.037,0,0.8m
lake,2021-11-14T04:45:20Z,5.037,0,0.8m
lake,2021-11-14T05:45:20Z,5.037,0,0.8m
lake,2021-11-14T06:45:20Z,5.037,0,0.8m
lake,2021-11-14T07:45:20Z,5.141,462.9,0.8m
lake,2021-11-14T08:45:20Z,5.347,2411.1,0.8m
lake,2021-11-14T09:45:20Z,5.45,4994.5,0.8m
lake,2021-11-14T10:45:20Z,5.655,5166.7,0.8m
lake,2021-11-14T11:45:20Z,5.86,11022.3,0.8m
lake,2021-11-14T12:45:20Z,6.064,9300.1,0.8m
lake,2021-11-14T13:45:20Z,6.166,9644.5,0.8m
lake,2021-11-14T14:45:20Z,5.962,8266.7,0.8m
lake,2021-11-14T15:45:20Z,5.45,796.5,0.8m
lake,2021-11-14T16:45:20Z,5.552,86.1,0.8m
lake,2021-11-14T17:45:20Z,5.45,0,0.8m
lake,2021-11-14T18:45:20Z,5.45,0,0.8m
lake,2021-11-14T19:45:20Z,5.45,0,0.8m
lake,2021-11-14T20:45:20Z,5.45,0,0.8m
lake,2021-11-14T21:45:20Z,5.45,0,0.8m
lake,2021-11-14T22:45:20Z,5.45,0,0.8m
lake,2021-11-14T23:45:20Z,5.45,0,0.8m
lake,2021-11-15T00:45:20Z,5.655,0,0.8m
lake,2021-11-15T01:45:20Z,5.655,0,0.8m
lake,2021-11-15T02:45:20Z,5.655,0,0.8m
lake,2021-11-15T03:45:20Z,5.655,0,0.8m
lake,2021-11-15T04:45:20Z,5.552,0,0.8m
lake,2021-11-15T05:45:20Z,5.45,0,0.8m
lake,2021-11-15T06:45:20Z,5.45,0,0.8m
lake,2021-11-15T07:45:20Z,5.552,753.5,0.8m
lake,2021-11-15T08:45:20Z,5.655,2497.2,0.8m
lake,2021-11-15T09:45:20Z,5.86,3616.7,0.8m
lake,2021-11-15T10:45:20Z,5.962,5166.7,0.8m
lake,2021-11-15T11:45:20Z,6.268,14466.8,0.8m
lake,2021-11-15T12:45:20Z,6.268,8266.7,0.8m
lake,2021-11-15T13:45:20Z,6.268,4477.8,0.8m
