            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation
1595013960,           2020-07-17 19:26:00,           2020-07-17 12:26:00,NA,NA,NA
1595014560,           2020-07-17 19:36:00,           2020-07-17 12:36:00,NA,NA,NA
1595015160,           2020-07-17 19:46:00,           2020-07-17 12:46:00,NA,NA,NA
1595015760,           2020-07-17 19:56:00,           2020-07-17 12:56:00,NA,NA,NA
1595016360,           2020-07-17 20:06:00,           2020-07-17 13:06:00,23.139,8.125,119.582604
1595016960,           2020-07-17 20:16:00,           2020-07-17 13:16:00,23.131,8.121,119.505202
1595017560,           2020-07-17 20:26:00,           2020-07-17 13:26:00,23.131,8.381,123.331252
1595018160,           2020-07-17 20:36:00,           2020-07-17 13:36:00,23.114,8.25,121.363511
1595018760,           2020-07-17 20:46:00,           2020-07-17 13:46:00,23.106,8.074,118.756002
1595019360,           2020-07-17 20:56:00,           2020-07-17 13:56:00,23.123,8.113,119.368965
1595019960,           2020-07-17 21:06:00,           2020-07-17 14:06:00,23.198,8.272,121.885362
1595020560,           2020-07-17 21:16:00,           2020-07-17 14:16:00,23.206,8.267,121.83056
1595021160,           2020-07-17 21:26:00,           2020-07-17 14:26:00,23.215,8.34,122.927778
1595021760,           2020-07-17 21:36:00,           2020-07-17 14:36:00,23.29,8.355,123.327731
1595022360,           2020-07-17 21:46:00,           2020-07-17 14:46:00,23.332,8.525,125.939329
1595022960,           2020-07-17 21:56:00,           2020-07-17 14:56:00,23.332,8.385,123.871117
1595023560,           2020-07-17 22:06:00,           2020-07-17 15:06:00,23.357,8.336,123.206761
1595024160,           2020-07-17 22:16:00,           2020-07-17 15:16:00,23.399,8.411,124.416178
1595024760,           2020-07-17 22:26:00,           2020-07-17 15:26:00,23.457,8.384,124.155741
1595025360,           2020-07-17 22:36:00,           2020-07-17 15:36:00,23.424,8.257,122.197177
1595025960,           2020-07-17 22:46:00,           2020-07-17 15:46:00,23.415,8.207,121.436111
1595026560,           2020-07-17 22:56:00,           2020-07-17 15:56:00,23.365,8.211,121.378013
1595027160,           2020-07-17 23:06:00,           2020-07-17 16:06:00,23.399,8.327,123.173644
1595027760,           2020-07-17 23:16:00,           2020-07-17 16:16:00,23.457,8.452,125.16273
1595028360,           2020-07-17 23:26:00,           2020-07-17 16:26:00,23.533,8.272,122.676886
1595028960,           2020-07-17 23:36:00,           2020-07-17 16:36:00,23.566,8.741,129.714819
1595029560,           2020-07-17 23:46:00,           2020-07-17 16:46:00,23.633,8.898,132.215202
1595030160,           2020-07-17 23:56:00,           2020-07-17 16:56:00,23.65,8.842,131.426108
1595030760,           2020-07-18 00:06:00,           2020-07-17 17:06:00,23.667,8.707,129.461845
1595031360,           2020-07-18 00:16:00,           2020-07-17 17:16:00,23.65,8.561,127.249368
1595031960,           2020-07-18 00:26:00,           2020-07-17 17:26:00,23.533,8.235,122.128162
1595032560,           2020-07-18 00:36:00,           2020-07-17 17:36:00,23.432,8.3,122.852517
1595033160,           2020-07-18 00:46:00,           2020-07-17 17:46:00,23.357,8.745,129.251815
1595033760,           2020-07-18 00:56:00,           2020-07-17 17:56:00,23.365,8.646,127.808343
1595034360,           2020-07-18 01:06:00,           2020-07-17 18:06:00,23.374,8.556,126.499925
1595034960,           2020-07-18 01:16:00,           2020-07-17 18:16:00,23.374,8.519,125.952882
1595035560,           2020-07-18 01:26:00,           2020-07-17 18:26:00,23.39,8.538,126.27282
1595036160,           2020-07-18 01:36:00,           2020-07-17 18:36:00,23.449,8.434,124.876891
1595036760,           2020-07-18 01:46:00,           2020-07-17 18:46:00,23.449,8.58,127.038621
1595037360,           2020-07-18 01:56:00,           2020-07-17 18:56:00,23.441,8.742,129.417266
1595037960,           2020-07-18 02:06:00,           2020-07-17 19:06:00,23.499,8.615,127.679963
1595038560,           2020-07-18 02:16:00,           2020-07-17 19:16:00,23.533,8.61,127.689554
1595039160,           2020-07-18 02:26:00,           2020-07-17 19:26:00,23.432,8.615,127.514992
1595039760,           2020-07-18 02:36:00,           2020-07-17 19:36:00,23.374,8.7,128.628956
1595040360,           2020-07-18 02:46:00,           2020-07-17 19:46:00,23.399,8.485,125.510792
1595040960,           2020-07-18 02:56:00,           2020-07-17 19:56:00,23.474,8.67,128.433141
1595041560,           2020-07-18 03:06:00,           2020-07-17 20:06:00,23.491,8.61,127.586169
1595042160,           2020-07-18 03:16:00,           2020-07-17 20:16:00,23.608,8.5,126.240535
1595042760,           2020-07-18 03:26:00,           2020-07-17 20:26:00,23.549,8.355,123.946032
1595043360,           2020-07-18 03:36:00,           2020-07-17 20:36:00,23.508,8.557,126.842381
1595043960,           2020-07-18 03:46:00,           2020-07-17 20:46:00,23.491,8.636,127.971447
1595044560,           2020-07-18 03:56:00,           2020-07-17 20:56:00,23.541,8.275,122.740306
1595045160,           2020-07-18 04:06:00,           2020-07-17 21:06:00,23.616,8.317,123.541685
1595045760,           2020-07-18 04:16:00,           2020-07-17 21:16:00,23.675,8.463,125.853256
1595046360,           2020-07-18 04:26:00,           2020-07-17 21:26:00,23.683,8.516,126.660916
1595046960,           2020-07-18 04:36:00,           2020-07-17 21:36:00,23.642,8.648,128.522726
1595047560,           2020-07-18 04:46:00,           2020-07-17 21:46:00,23.549,8.783,130.295392
1595048160,           2020-07-18 04:56:00,           2020-07-17 21:56:00,23.407,8.912,131.847379
1595048760,           2020-07-18 05:06:00,           2020-07-17 22:06:00,23.349,8.951,132.27606
1595049360,           2020-07-18 05:16:00,           2020-07-17 22:16:00,23.298,8.961,132.293334
1595049960,           2020-07-18 05:26:00,           2020-07-17 22:26:00,23.332,9.001,132.971249
1595050560,           2020-07-18 05:36:00,           2020-07-17 22:36:00,23.332,9.074,134.049674
1595051160,           2020-07-18 05:46:00,           2020-07-17 22:46:00,23.365,8.992,132.923042
1595051760,           2020-07-18 05:56:00,           2020-07-17 22:56:00,23.357,8.957,132.385192
1595052360,           2020-07-18 06:06:00,           2020-07-17 23:06:00,23.415,8.93,132.134089
1595052960,           2020-07-18 06:16:00,           2020-07-17 23:16:00,23.457,8.858,131.175043
1595053560,           2020-07-18 06:26:00,           2020-07-17 23:26:00,23.474,8.944,132.492043
1595054160,           2020-07-18 06:36:00,           2020-07-17 23:36:00,23.491,8.911,132.046499
1595054760,           2020-07-18 06:46:00,           2020-07-17 23:46:00,23.516,8.894,131.858151
1595055360,           2020-07-18 06:56:00,           2020-07-17 23:56:00,23.524,8.906,132.056428
1595055960,           2020-07-18 07:06:00,           2020-07-18 00:06:00,23.516,8.866,131.443037
1595056560,           2020-07-18 07:16:00,           2020-07-18 00:16:00,23.516,8.879,131.635768
1595057160,           2020-07-18 07:26:00,           2020-07-18 00:26:00,23.508,8.866,131.422759
1595057760,           2020-07-18 07:36:00,           2020-07-18 00:36:00,23.499,8.906,131.992774
1595058360,           2020-07-18 07:46:00,           2020-07-18 00:46:00,23.482,8.94,132.453232
1595058960,           2020-07-18 07:56:00,           2020-07-18 00:56:00,23.491,8.906,131.972407
1595059560,           2020-07-18 08:06:00,           2020-07-18 01:06:00,23.508,8.694,128.873163
1595060160,           2020-07-18 08:16:00,           2020-07-18 01:16:00,23.499,8.771,129.991985
1595060760,           2020-07-18 08:26:00,           2020-07-18 01:26:00,23.516,8.873,131.546815
1595061360,           2020-07-18 08:36:00,           2020-07-18 01:36:00,23.482,8.831,130.83831
