unix,utc,pst,temp_c,do_mg_l,do_sat
1634515260,2021-10-18T00:01:00Z,2021-10-17T17:01:00Z,8.994,9.475,102.784393
1634515860,2021-10-18T00:11:00Z,2021-10-17T17:11:00Z,8.975,9.453,102.498589
1634516460,2021-10-18T00:21:00Z,2021-10-17T17:21:00Z,8.91,9.434,102.131642
1634517060,2021-10-18T00:31:00Z,2021-10-17T17:31:00Z,8.836,9.443,102.045773
1634517660,2021-10-18T00:41:00Z,2021-10-17T17:41:00Z,8.92,9.452,102.351309
1634518260,2021-10-18T00:51:00Z,2021-10-17T17:51:00Z,8.836,9.444,102.05658
1634518860,2021-10-18T01:01:00Z,2021-10-17T18:01:00Z,8.808,9.417,101.695662
1634519460,2021-10-18T01:11:00Z,2021-10-17T18:11:00Z,8.743,9.389,101.233303
1634520060,2021-10-18T01:21:00Z,2021-10-17T18:21:00Z,8.715,9.387,101.14286
1634520660,2021-10-18T01:31:00Z,2021-10-17T18:31:00Z,8.659,9.387,101.005142
1634521260,2021-10-18T01:41:00Z,2021-10-17T18:41:00Z,8.612,9.369,100.696136
1634521860,2021-10-18T01:51:00Z,2021-10-17T18:51:00Z,8.528,9.374,100.543748
1634522460,2021-10-18T02:01:00Z,2021-10-17T19:01:00Z,8.5,9.346,100.174948
1634523060,2021-10-18T02:11:00Z,2021-10-17T19:11:00Z,8.415,9.336,99.860188
1634523660,2021-10-18T02:21:00Z,2021-10-17T19:21:00Z,8.387,9.364,100.091127
1634524260,2021-10-18T02:31:00Z,2021-10-17T19:31:00Z,8.378,9.344,99.855362
1634524860,2021-10-18T02:41:00Z,2021-10-17T19:41:00Z,8.378,9.389,100.336258
1634525460,2021-10-18T02:51:00Z,2021-10-17T19:51:00Z,8.368,9.394,100.365133
1634526060,2021-10-18T03:01:00Z,2021-10-17T20:01:00Z,8.35,9.411,100.50248
1634526660,2021-10-18T03:11:00Z,2021-10-17T20:11:00Z,8.387,9.429,100.785907
1634527260,2021-10-18T03:21:00Z,2021-10-17T20:21:00Z,8.415,9.433,100.897724
1634527860,2021-10-18T03:31:00Z,2021-10-17T20:31:00Z,8.453,9.405,100.691698
1634528460,2021-10-18T03:41:00Z,2021-10-17T20:41:00Z,8.397,9.371,100.19045
1634529060,2021-10-18T03:51:00Z,2021-10-17T20:51:00Z,8.124,9.327,99.054885
1634529660,2021-10-18T04:01:00Z,2021-10-17T21:01:00Z,8.18,9.352,99.457092
1634530260,2021-10-18T04:11:00Z,2021-10-17T21:11:00Z,8.011,9.368,99.214161
1634530860,2021-10-18T04:21:00Z,2021-10-17T21:21:00Z,8.209,9.374,99.762038
1634531460,2021-10-18T04:31:00Z,2021-10-17T21:31:00Z,8.02,9.271,98.208617
1634532060,2021-10-18T04:41:00Z,2021-10-17T21:41:00Z,7.897,9.18,96.95031
1634532660,2021-10-18T04:51:00Z,2021-10-17T21:51:00Z,7.945,9.225,97.540952
1634533260,2021-10-18T05:01:00Z,2021-10-17T22:01:00Z,8.011,9.227,97.720866
1634533860,2021-10-18T05:11:00Z,2021-10-17T22:11:00Z,8.03,9.223,97.724202
1634534460,2021-10-18T05:21:00Z,2021-10-17T22:21:00Z,8.048,9.246,98.01131
1634535060,2021-10-18T05:31:00Z,2021-10-17T22:31:00Z,8.067,9.265,98.258637
1634535660,2021-10-18T05:41:00Z,2021-10-17T22:41:00Z,8.105,9.314,98.870642
