lake,date_time,temp_c,light_intensity_lux,depth
gumboot,2020-07-17T18:00:00Z,26,24800.2,2.5m
gumboot,2020-07-17T19:00:00Z,25.61,1216.3,2.5m
gumboot,2020-07-17T20:00:00Z,25.61,452.1,2.5m
gumboot,2020-07-17T21:00:00Z,25.319,0,2.5m
gumboot,2020-07-17T22:00:00Z,25.222,0,2.5m
gumboot,2020-07-17T23:00:00Z,25.028,0,2.5m
gumboot,2020-07-18T00:00:00Z,24.835,0,2.5m
gumboot,2020-07-18T01:00:00Z,24.641,0,2.5m
gumboot,2020-07-18T02:00:00Z,24.448,0,2.5m
gumboot,2020-07-18T03:00:00Z,24.255,0,2.5m
gumboot,2020-07-18T04:00:00Z,24.158,0,2.5m
gumboot,2020-07-18T05:00:00Z,23.966,0,2.5m
gumboot,2020-07-18T06:00:00Z,23.869,75.3,2.5m
gumboot,2020-07-18T07:00:00Z,23.773,495.1,2.5m
gumboot,2020-07-18T08:00:00Z,23.869,775,2.5m
gumboot,2020-07-18T09:00:00Z,24.062,1097.9,2.5m
gumboot,2020-07-18T10:00:00Z,24.255,1550,2.5m
gumboot,2020-07-18T11:00:00Z,24.351,4305.6,2.5m
gumboot,2020-07-18T12:00:00Z,24.931,4822.3,2.5m
gumboot,2020-07-18T13:00:00Z,25.513,19977.9,2.5m
gumboot,2020-07-18T14:00:00Z,26.097,22044.6,2.5m
gumboot,2020-07-18T15:00:00Z,26.39,22044.6,2.5m
gumboot,2020-07-18T16:00:00Z,26.585,18600.1,2.5m
gumboot,2020-07-18T17:00:00Z,26.39,44089.2,2.5m
gumboot,2020-07-18T18:00:00Z,26.39,18600.1,2.5m
gumboot,2020-07-18T19:00:00Z,25.902,1980.6,2.5m
gumboot,2020-07-18T20:00:00Z,26,613.5,2.5m
gumboot,2020-07-18T21:00:00Z,25.708,0,2.5m
gumboot,2020-07-18T22:00:00Z,25.513,0,2.5m
gumboot,2020-07-18T23:00:00Z,25.319,0,2.5m
gumboot,2020-07-19T00:00:00Z,25.125,0,2.5m
gumboot,2020-07-19T01:00:00Z,24.931,0,2.5m
gumboot,2020-07-19T02:00:00Z,24.835,0,2.5m
gumboot,2020-07-19T03:00:00Z,24.641,0,2.5m
gumboot,2020-07-19T04:00:00Z,24.545,0,2.5m
gumboot,2020-07-19T05:00:00Z,24.351,0,2.5m
gumboot,2020-07-19T06:00:00Z,24.158,64.6,2.5m
gumboot,2020-07-19T07:00:00Z,24.158,559.7,2.5m
gumboot,2020-07-19T08:00:00Z,24.255,1011.8,2.5m
gumboot,2020-07-19T09:00:00Z,24.448,1377.8,2.5m
gumboot,2020-07-19T10:00:00Z,24.545,1980.6,2.5m
gumboot,2020-07-19T11:00:00Z,24.931,4477.8,2.5m
gumboot,2020-07-19T12:00:00Z,25.319,8266.7,2.5m
gumboot,2020-07-19T13:00:00Z,25.708,26178,2.5m
gumboot,2020-07-19T14:00:00Z,26.292,23422.4,2.5m
gumboot,2020-07-19T15:00:00Z,26.585,37200.2,2.5m
gumboot,2020-07-19T16:00:00Z,26.585,38578,2.5m
gumboot,2020-07-19T17:00:00Z,26.39,26178,2.5m
gumboot,2020-07-19T18:00:00Z,26.097,2755.6,2.5m
gumboot,2020-07-19T19:00:00Z,26.292,1054.9,2.5m
gumboot,2020-07-19T20:00:00Z,25.805,430.6,2.5m
gumboot,2020-07-19T21:00:00Z,26,0,2.5m
gumboot,2020-07-19T22:00:00Z,25.805,0,2.5m
gumboot,2020-07-19T23:00:00Z,25.61,0,2.5m
gumboot,2020-07-20T00:00:00Z,25.416,0,2.5m
