lake,date_time,temp_c,light_intensity_lux,depth
lake,2021-11-12T17:06:41Z,19.758,32.3,0.9m
lake,2021-11-12T17:07:24Z,NA,NA,0.9m
lake,2021-11-12T18:06:41Z,18.521,0,0.9m
lake,2021-11-12T19:06:41Z,15.473,0,0.9m
lake,2021-11-12T20:06:41Z,15.282,0,0.9m
lake,2021-11-12T21:06:41Z,14.804,0,0.9m
lake,2021-11-12T22:06:41Z,14.325,0,0.9m
lake,2021-11-12T23:06:41Z,14.038,0,0.9m
lake,2021-11-13T00:06:41Z,13.846,0,0.9m
lake,2021-11-13T01:06:41Z,13.461,0,0.9m
lake,2021-11-13T02:06:41Z,13.076,0,0.9m
lake,2021-11-13T03:06:41Z,12.787,0,0.9m
lake,2021-11-13T04:06:41Z,12.497,0,0.9m
lake,2021-11-13T05:06:41Z,4.831,0,0.9m
lake,2021-11-13T06:06:41Z,5.347,0,0.9m
lake,2021-11-13T07:06:41Z,11.334,0,0.9m
lake,2021-11-13T08:06:41Z,13.558,10.8,0.9m
lake,2021-11-13T09:06:41Z,15.187,10.8,0.9m
lake,2021-11-13T10:06:41Z,17.76,0,0.9m
lake,2021-11-13T11:06:41Z,20.615,150.7,0.9m
lake,2021-11-13T12:06:41Z,5.244,1334.7,0.9m
lake,2021-11-13T13:06:41Z,4.519,1011.8,0.9m
lake,2021-11-13T14:06:41Z,4.519,721.2,0.9m
lake,2021-11-13T15:06:41Z,4.519,355.2,0.9m
lake,2021-11-13T16:06:41Z,4.415,107.6,0.9m
lake,2021-11-13T17:06:41Z,4.415,0,0.9m
lake,2021-11-13T18:06:41Z,4.415,0,0.9m
lake,2021-11-13T19:06:41Z,4.415,0,0.9m
lake,2021-11-13T20:06:41Z,4.519,0,0.9m
lake,2021-11-13T21:06:41Z,4.519,0,0.9m
lake,2021-11-13T22:06:41Z,4.415,0,0.9m
lake,2021-11-13T23:06:41Z,4.415,0,0.9m
lake,2021-11-14T00:06:41Z,4.519,0,0.9m
lake,2021-11-14T01:06:41Z,4.623,0,0.9m
lake,2021-11-14T02:06:41Z,4.623,0,0.9m
lake,2021-11-14T03:06:41Z,4.415,0,0.9m
lake,2021-11-14T04:06:41Z,4.519,0,0.9m
lake,2021-11-14T05:06:41Z,4.519,0,0.9m
lake,2021-11-14T06:06:41Z,4.519,0,0.9m
lake,2021-11-14T07:06:41Z,4.519,10.8,0.9m
lake,2021-11-14T08:06:41Z,4.519,355.2,0.9m
lake,2021-11-14T09:06:41Z,4.623,807.3,0.9m
lake,2021-11-14T10:06:41Z,4.727,1054.9,0.9m
lake,2021-11-14T11:06:41Z,4.623,1324,0.9m
lake,2021-11-14T12:06:41Z,4.727,1463.9,0.9m
lake,2021-11-14T13:06:41Z,4.623,968.8,0.9m
lake,2021-11-14T14:06:41Z,4.623,721.2,0.9m
lake,2021-11-14T15:06:41Z,4.623,398.3,0.9m
lake,2021-11-14T16:06:41Z,4.623,129.2,0.9m
lake,2021-11-14T17:06:41Z,4.623,0,0.9m
lake,2021-11-14T18:06:41Z,4.623,0,0.9m
lake,2021-11-14T19:06:41Z,4.623,0,0.9m
lake,2021-11-14T20:06:41Z,4.623,0,0.9m
lake,2021-11-14T21:06:41Z,4.623,0,0.9m
lake,2021-11-14T22:06:41Z,4.623,0,0.9m
lake,2021-11-14T23:06:41Z,4.623,0,0.9m
lake,2021-11-15T00:06:41Z,4.727,0,0.9m
lake,2021-11-15T01:06:41Z,4.623,0,0.9m
lake,2021-11-15T02:06:41Z,4.623,0,0.9m
lake,2021-11-15T03:06:41Z,4.727,0,0.9m
lake,2021-11-15T04:06:41Z,4.831,0,0.9m
lake,2021-11-15T05:06:41Z,5.141,0,0.9m
lake,2021-11-15T06:06:41Z,5.037,0,0.9m
lake,2021-11-15T07:06:41Z,4.727,10.8,0.9m
lake,2021-11-15T08:06:41Z,4.831,301.4,0.9m
lake,2021-11-15T09:06:41Z,5.037,688.9,0.9m
lake,2021-11-15T10:06:41Z,5.141,893.4,0.9m
lake,2021-11-15T11:06:41Z,5.141,1162.5,0.9m
lake,2021-11-15T12:06:41Z,5.244,1356.3,0.9m
lake,2021-11-15T13:06:41Z,5.244,1054.9,0.9m
lake,2021-11-15T14:06:41Z,5.244,850.4,0.9m
lake,2021-11-15T15:06:41Z,5.141,441.3,0.9m
lake,2021-11-15T16:06:41Z,5.141,161.5,0.9m
lake,2021-11-15T17:06:41Z,5.141,0,0.9m
lake,2021-11-15T18:06:41Z,5.141,0,0.9m
lake,2021-11-15T19:06:41Z,5.244,0,0.9m
lake,2021-11-15T20:06:41Z,5.244,0,0.9m
lake,2021-11-15T21:06:41Z,5.244,0,0.9m
lake,2021-11-15T22:06:41Z,5.244,0,0.9m
lake,2021-11-15T23:06:41Z,5.244,0,0.9m
lake,2021-11-16T00:06:41Z,5.244,0,0.9m
lake,2021-11-16T01:06:41Z,5.244,0,0.9m
lake,2021-11-16T02:06:41Z,5.244,0,0.9m
lake,2021-11-16T03:06:41Z,5.347,0,0.9m
lake,2021-11-16T04:06:41Z,5.347,0,0.9m
lake,2021-11-16T05:06:41Z,5.244,0,0.9m
lake,2021-11-16T06:06:41Z,5.244,0,0.9m
lake,2021-11-16T07:06:41Z,5.037,21.5,0.9m
lake,2021-11-16T08:06:41Z,4.934,204.5,0.9m
lake,2021-11-16T09:06:41Z,4.934,516.7,0.9m
lake,2021-11-16T10:06:41Z,5.037,947.2,0.9m
lake,2021-11-16T11:06:41Z,4.934,1011.8,0.9m
lake,2021-11-16T12:06:41Z,5.244,1324,0.9m
lake,2021-11-16T13:06:41Z,5.45,818.1,0.9m
lake,2021-11-16T14:06:41Z,5.552,678.1,0.9m
lake,2021-11-16T15:06:41Z,5.45,344.4,0.9m
lake,2021-11-16T16:06:41Z,5.347,96.9,0.9m
lake,2021-11-16T17:06:41Z,5.244,0,0.9m
lake,2021-11-16T18:06:41Z,5.244,0,0.9m
lake,2021-11-16T19:06:41Z,5.141,0,0.9m
lake,2021-11-16T20:06:41Z,5.141,0,0.9m
lake,2021-11-16T21:06:41Z,5.141,0,0.9m
lake,2021-11-16T22:06:41Z,5.141,0,0.9m
lake,2021-11-16T23:06:41Z,4.934,0,0.9m
lake,2021-11-17T00:06:41Z,4.934,0,0.9m
lake,2021-11-17T01:06:41Z,4.831,0,0.9m
lake,2021-11-17T02:06:41Z,4.831,0,0.9m
lake,2021-11-17T03:06:41Z,4.831,0,0.9m
lake,2021-11-17T04:06:41Z,4.727,0,0.9m
lake,2021-11-17T05:06:41Z,4.727,0,0.9m
lake,2021-11-17T06:06:41Z,4.623,0,0.9m
lake,2021-11-17T07:06:41Z,4.623,21.5,0.9m
lake,2021-11-17T08:06:41Z,4.519,226,0.9m
lake,2021-11-17T09:06:41Z,4.415,495.1,0.9m
lake,2021-11-17T10:06:41Z,4.519,882.6,0.9m
lake,2021-11-17T11:06:41Z,4.727,1087.2,0.9m
lake,2021-11-17T12:06:41Z,4.519,990.3,0.9m
lake,2021-11-17T13:06:41Z,4.519,1194.8,0.9m
lake,2021-11-17T14:06:41Z,4.519,882.6,0.9m
lake,2021-11-17T15:06:41Z,4.519,678.1,0.9m
lake,2021-11-17T16:06:41Z,4.519,183,0.9m
lake,2021-11-17T17:06:41Z,4.519,0,0.9m
lake,2021-11-17T18:06:41Z,4.519,0,0.9m
lake,2021-11-17T19:06:41Z,4.519,0,0.9m
lake,2021-11-17T20:06:41Z,4.519,0,0.9m
lake,2021-11-17T21:06:41Z,4.519,0,0.9m
lake,2021-11-17T22:06:41Z,4.519,0,0.9m
lake,2021-11-17T23:06:41Z,4.519,0,0.9m
lake,2021-11-18T00:06:41Z,4.519,0,0.9m
lake,2021-11-18T01:06:41Z,4.623,0,0.9m
lake,2021-11-18T02:06:41Z,4.727,0,0.9m
lake,2021-11-18T03:06:41Z,4.623,0,0.9m
lake,2021-11-18T04:06:41Z,4.623,0,0.9m
lake,2021-11-18T05:06:41Z,4.623,0,0.9m
lake,2021-11-18T06:06:41Z,4.623,0,0.9m
lake,2021-11-18T07:06:41Z,4.623,0,0.9m
lake,2021-11-18T08:06:41Z,4.623,258.3,0.9m
lake,2021-11-18T09:06:41Z,4.519,355.2,0.9m
lake,2021-11-18T10:06:41Z,4.623,678.1,0.9m
lake,2021-11-18T11:06:41Z,4.623,495.1,0.9m
lake,2021-11-18T12:06:41Z,4.623,312.2,0.9m
lake,2021-11-18T13:06:41Z,4.519,764.2,0.9m
lake,2021-11-18T14:06:41Z,4.519,688.9,0.9m
lake,2021-11-18T15:06:41Z,4.519,129.2,0.9m
lake,2021-11-18T16:06:41Z,4.519,53.8,0.9m
lake,2021-11-18T17:06:41Z,4.519,0,0.9m
lake,2021-11-18T18:06:41Z,4.415,0,0.9m
lake,2021-11-18T19:06:41Z,4.415,0,0.9m
lake,2021-11-18T20:06:41Z,4.311,0,0.9m
lake,2021-11-18T21:06:41Z,4.311,0,0.9m
lake,2021-11-18T22:06:41Z,4.102,0,0.9m
lake,2021-11-18T23:06:41Z,3.998,0,0.9m
lake,2021-11-19T00:06:41Z,3.893,0,0.9m
lake,2021-11-19T01:06:41Z,3.893,0,0.9m
lake,2021-11-19T02:06:41Z,4.102,0,0.9m
lake,2021-11-19T03:06:41Z,3.998,0,0.9m
lake,2021-11-19T04:06:41Z,3.998,0,0.9m
lake,2021-11-19T05:06:41Z,3.893,0,0.9m
lake,2021-11-19T06:06:41Z,3.998,0,0.9m
lake,2021-11-19T07:06:41Z,3.998,0,0.9m
lake,2021-11-19T08:06:41Z,3.998,161.5,0.9m
lake,2021-11-19T09:06:41Z,3.998,721.2,0.9m
lake,2021-11-19T10:06:41Z,4.102,1377.8,0.9m
lake,2021-11-19T11:06:41Z,3.998,269.1,0.9m
lake,2021-11-19T12:06:41Z,4.102,1097.9,0.9m
lake,2021-11-19T13:06:41Z,4.207,1377.8,0.9m
lake,2021-11-19T14:06:41Z,4.207,1184,0.9m
lake,2021-11-19T15:06:41Z,4.311,775,0.9m
lake,2021-11-19T16:06:41Z,4.311,64.6,0.9m
lake,2021-11-19T17:06:41Z,4.415,0,0.9m
lake,2021-11-19T18:06:41Z,4.415,0,0.9m
lake,2021-11-19T19:06:41Z,4.415,0,0.9m
lake,2021-11-19T20:06:41Z,4.415,0,0.9m
lake,2021-11-19T21:06:41Z,4.415,0,0.9m
lake,2021-11-19T22:06:41Z,4.415,0,0.9m
lake,2021-11-19T23:06:41Z,4.311,0,0.9m
lake,2021-11-20T00:06:41Z,4.207,0,0.9m
lake,2021-11-20T01:06:41Z,4.311,0,0.9m
lake,2021-11-20T02:06:41Z,4.207,0,0.9m
lake,2021-11-20T03:06:41Z,4.311,0,0.9m
lake,2021-11-20T04:06:41Z,4.311,0,0.9m
lake,2021-11-20T05:06:41Z,4.207,0,0.9m
lake,2021-11-20T06:06:41Z,4.207,0,0.9m
lake,2021-11-20T07:06:41Z,4.207,10.8,0.9m
lake,2021-11-20T08:06:41Z,4.207,172.2,0.9m
