            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation
1602439620,           2020-10-11 18:07:00,           2020-10-11 11:07:00,NA,NA,NA
1602440220,           2020-10-11 18:17:00,           2020-10-11 11:17:00,NA,NA,NA
1602440820,           2020-10-11 18:27:00,           2020-10-11 11:27:00,NA,NA,NA
1602441420,           2020-10-11 18:37:00,           2020-10-11 11:37:00,NA,NA,NA
1602442020,           2020-10-11 18:47:00,           2020-10-11 11:47:00,NA,NA,NA
1602442620,           2020-10-11 18:57:00,           2020-10-11 11:57:00,NA,NA,NA
1602443220,           2020-10-11 19:07:00,           2020-10-11 12:07:00,NA,NA,NA
1602443820,           2020-10-11 19:17:00,           2020-10-11 12:17:00,8.048,6.608,69.245348
1602444420,           2020-10-11 19:27:00,           2020-10-11 12:27:00,8.274,6.416,67.607393
1602445020,           2020-10-11 19:37:00,           2020-10-11 12:37:00,8.946,6.43,68.872886
1602445620,           2020-10-11 19:47:00,           2020-10-11 12:47:00,9.428,6.517,70.620637
1602446220,           2020-10-11 19:57:00,           2020-10-11 12:57:00,8.695,6.452,68.688931
1602446820,           2020-10-11 20:07:00,           2020-10-11 13:07:00,9.095,6.509,69.970692
1602447420,           2020-10-11 20:17:00,           2020-10-11 13:17:00,9.557,6.503,70.687256
1602448020,           2020-10-11 20:27:00,           2020-10-11 13:27:00,9.841,6.567,71.868978
1602448620,           2020-10-11 20:37:00,           2020-10-11 13:37:00,10.388,6.485,71.898517
1602449220,           2020-10-11 20:47:00,           2020-10-11 13:47:00,10.769,6.5,72.713867
1602449820,           2020-10-11 20:57:00,           2020-10-11 13:57:00,10.886,6.483,72.722795
1602450420,           2020-10-11 21:07:00,           2020-10-11 14:07:00,11.452,6.515,74.051749
1602451020,           2020-10-11 21:17:00,           2020-10-11 14:17:00,10.958,6.526,73.328557
1602451620,           2020-10-11 21:27:00,           2020-10-11 14:27:00,10.796,6.545,73.263644
1602452220,           2020-10-11 21:37:00,           2020-10-11 14:37:00,10.967,6.594,74.108221
1602452820,           2020-10-11 21:47:00,           2020-10-11 14:47:00,11.488,6.618,75.28527
1602453420,           2020-10-11 21:57:00,           2020-10-11 14:57:00,11.711,6.63,75.811727
1602454020,           2020-10-11 22:07:00,           2020-10-11 15:07:00,11.925,6.622,76.094505
1602454620,           2020-10-11 22:17:00,           2020-10-11 15:17:00,12.005,6.622,76.234538
1602455220,           2020-10-11 22:27:00,           2020-10-11 15:27:00,12.183,6.683,77.251477
1602455820,           2020-10-11 22:37:00,           2020-10-11 15:37:00,12.262,6.707,77.669177
1602456420,           2020-10-11 22:47:00,           2020-10-11 15:47:00,12.245,6.685,77.384318
1602457020,           2020-10-11 22:57:00,           2020-10-11 15:57:00,12.209,6.66,77.031446
1602457620,           2020-10-11 23:07:00,           2020-10-11 16:07:00,12.103,6.649,76.717703
1602458220,           2020-10-11 23:17:00,           2020-10-11 16:17:00,12.183,6.709,77.552021
1602458820,           2020-10-11 23:27:00,           2020-10-11 16:27:00,12.307,6.705,77.725925
1602459420,           2020-10-11 23:37:00,           2020-10-11 16:37:00,12.342,6.745,78.252152
1602460020,           2020-10-11 23:47:00,           2020-10-11 16:47:00,12.289,6.802,78.817943
1602460620,           2020-10-11 23:57:00,           2020-10-11 16:57:00,12.183,6.856,79.251253
1602461220,           2020-10-12 00:07:00,           2020-10-11 17:07:00,12.103,6.879,79.371496
1602461820,           2020-10-12 00:17:00,           2020-10-11 17:17:00,12.076,6.882,79.356957
1602462420,           2020-10-12 00:27:00,           2020-10-11 17:27:00,11.979,6.902,79.410543
1602463020,           2020-10-12 00:37:00,           2020-10-11 17:37:00,11.907,6.896,79.210283
1602463620,           2020-10-12 00:47:00,           2020-10-11 17:47:00,11.801,6.902,79.085943
1602464220,           2020-10-12 00:57:00,           2020-10-11 17:57:00,11.729,6.933,79.309364
1602464820,           2020-10-12 01:07:00,           2020-10-11 18:07:00,11.658,6.914,78.96247
1602465420,           2020-10-12 01:17:00,           2020-10-11 18:17:00,11.578,6.914,78.816569
1602466020,           2020-10-12 01:27:00,           2020-10-11 18:27:00,11.533,6.871,78.244861
1602466620,           2020-10-12 01:37:00,           2020-10-11 18:37:00,11.452,6.85,77.859475
1602467220,           2020-10-12 01:47:00,           2020-10-11 18:47:00,11.408,6.871,78.018514
1602467820,           2020-10-12 01:57:00,           2020-10-11 18:57:00,11.327,6.842,77.543264
1602468420,           2020-10-12 02:07:00,           2020-10-11 19:07:00,11.264,6.834,77.339254
1602469020,           2020-10-12 02:17:00,           2020-10-11 19:17:00,11.237,6.82,77.132356
1602469620,           2020-10-12 02:27:00,           2020-10-11 19:27:00,11.183,6.797,76.775658
1602470220,           2020-10-12 02:37:00,           2020-10-11 19:37:00,11.147,6.768,76.383998
1602470820,           2020-10-12 02:47:00,           2020-10-11 19:47:00,11.085,6.726,75.800324
1602471420,           2020-10-12 02:57:00,           2020-10-11 19:57:00,11.022,6.698,75.37385
1602472020,           2020-10-12 03:07:00,           2020-10-11 20:07:00,10.976,6.702,75.337852
1602472620,           2020-10-12 03:17:00,           2020-10-11 20:17:00,10.922,6.703,75.254009
1602473220,           2020-10-12 03:27:00,           2020-10-11 20:27:00,10.85,6.702,75.116071
1602473820,           2020-10-12 03:37:00,           2020-10-11 20:37:00,10.814,6.684,74.851163
1602474420,           2020-10-12 03:47:00,           2020-10-11 20:47:00,10.796,6.688,74.864362
1602475020,           2020-10-12 03:57:00,           2020-10-11 20:57:00,10.751,6.669,74.57293
1602475620,           2020-10-12 04:07:00,           2020-10-11 21:07:00,10.679,6.596,73.632069
1602476220,           2020-10-12 04:17:00,           2020-10-11 21:17:00,10.606,6.613,73.695272
1602476820,           2020-10-12 04:27:00,           2020-10-11 21:27:00,10.579,6.554,72.991394
1602477420,           2020-10-12 04:37:00,           2020-10-11 21:37:00,10.525,6.514,72.453743
1602478020,           2020-10-12 04:47:00,           2020-10-11 21:47:00,10.461,6.499,72.177951
