unix,utc,pst,temp_c,do_mg_l,do_sat
1623621600,2021-06-13T22:00:00Z,2021-06-13T15:00:00Z,16.266,7.183,90.886419
1623622200,2021-06-13T22:10:00Z,2021-06-13T15:10:00Z,15.695,7.132,89.139495
1623622800,2021-06-13T22:20:00Z,2021-06-13T15:20:00Z,15.498,7.148,88.959363
1623623400,2021-06-13T22:30:00Z,2021-06-13T15:30:00Z,15.481,7.127,88.665325
1623624000,2021-06-13T22:40:00Z,2021-06-13T15:40:00Z,15.472,7.107,88.399256
1623624600,2021-06-13T22:50:00Z,2021-06-13T15:50:00Z,15.464,7.127,88.632643
1623625200,2021-06-13T23:00:00Z,2021-06-13T16:00:00Z,15.515,7.083,88.182902
1623625800,2021-06-13T23:10:00Z,2021-06-13T16:10:00Z,15.541,7.04,87.696945
1623626400,2021-06-13T23:20:00Z,2021-06-13T16:20:00Z,15.549,7.054,87.88657
1623627000,2021-06-13T23:30:00Z,2021-06-13T16:30:00Z,15.558,7.053,87.891242
1623627600,2021-06-13T23:40:00Z,2021-06-13T16:40:00Z,15.575,7.092,88.409781
1623628200,2021-06-13T23:50:00Z,2021-06-13T16:50:00Z,15.609,7.013,87.489318
1623628800,2021-06-14T00:00:00Z,2021-06-13T17:00:00Z,15.618,6.959,86.83256
1623629400,2021-06-14T00:10:00Z,2021-06-13T17:10:00Z,15.635,7.044,87.925497
1623630000,2021-06-14T00:20:00Z,2021-06-13T17:20:00Z,15.626,6.952,86.76023
1623630600,2021-06-14T00:30:00Z,2021-06-13T17:30:00Z,15.635,6.925,86.4401
1623631200,2021-06-14T00:40:00Z,2021-06-13T17:40:00Z,15.635,7.011,87.51358
1623631800,2021-06-14T00:50:00Z,2021-06-13T17:50:00Z,15.66,7.019,87.660819
1623632400,2021-06-14T01:00:00Z,2021-06-13T18:00:00Z,15.669,6.964,86.990844
1623633000,2021-06-14T01:10:00Z,2021-06-13T18:10:00Z,15.66,7.035,87.860644
1623633600,2021-06-14T01:20:00Z,2021-06-13T18:20:00Z,15.686,7.055,88.15996
1623634200,2021-06-14T01:30:00Z,2021-06-13T18:30:00Z,15.677,7.02,87.705535
1623634800,2021-06-14T01:40:00Z,2021-06-13T18:40:00Z,15.66,7.03,87.798198
1623635400,2021-06-14T01:50:00Z,2021-06-13T18:50:00Z,15.652,6.99,87.283536
1623636000,2021-06-14T02:00:00Z,2021-06-13T19:00:00Z,15.677,6.992,87.355712
1623636600,2021-06-14T02:10:00Z,2021-06-13T19:10:00Z,15.695,6.987,87.327209
1623637200,2021-06-14T02:20:00Z,2021-06-13T19:20:00Z,15.669,6.93,86.566133
1623637800,2021-06-14T02:30:00Z,2021-06-13T19:30:00Z,15.669,6.871,85.829134
1623638400,2021-06-14T02:40:00Z,2021-06-13T19:40:00Z,15.66,6.821,85.187982
1623639000,2021-06-14T02:50:00Z,2021-06-13T19:50:00Z,15.669,6.834,85.366949
1623639600,2021-06-14T03:00:00Z,2021-06-13T20:00:00Z,15.686,6.965,87.035312
1623640200,2021-06-14T03:10:00Z,2021-06-13T20:10:00Z,15.669,6.929,86.553642
1623640800,2021-06-14T03:20:00Z,2021-06-13T20:20:00Z,15.669,6.859,85.679236
1623641400,2021-06-14T03:30:00Z,2021-06-13T20:30:00Z,15.66,6.922,86.449378
1623642000,2021-06-14T03:40:00Z,2021-06-13T20:40:00Z,15.677,7.047,88.042864
1623642600,2021-06-14T03:50:00Z,2021-06-13T20:50:00Z,15.686,7.074,88.397386
1623643200,2021-06-14T04:00:00Z,2021-06-13T21:00:00Z,15.677,7.022,87.730522
1623643800,2021-06-14T04:10:00Z,2021-06-13T21:10:00Z,15.677,7.006,87.530623
1623644400,2021-06-14T04:20:00Z,2021-06-13T21:20:00Z,15.695,7.028,87.839649
1623645000,2021-06-14T04:30:00Z,2021-06-13T21:30:00Z,15.703,7.096,88.704881
1623645600,2021-06-14T04:40:00Z,2021-06-13T21:40:00Z,15.686,7.068,88.32241
1623646200,2021-06-14T04:50:00Z,2021-06-13T21:50:00Z,15.677,6.952,86.855965
1623646800,2021-06-14T05:00:00Z,2021-06-13T22:00:00Z,15.686,6.793,84.885983
1623647400,2021-06-14T05:10:00Z,2021-06-13T22:10:00Z,15.695,6.931,86.627291
1623648000,2021-06-14T05:20:00Z,2021-06-13T22:20:00Z,15.677,6.969,87.068358
1623648600,2021-06-14T05:30:00Z,2021-06-13T22:30:00Z,15.677,6.887,86.043877
1623649200,2021-06-14T05:40:00Z,2021-06-13T22:40:00Z,15.677,6.894,86.131333
1623649800,2021-06-14T05:50:00Z,2021-06-13T22:50:00Z,15.677,6.889,86.068864
1623650400,2021-06-14T06:00:00Z,2021-06-13T23:00:00Z,15.66,6.835,85.362829
1623651000,2021-06-14T06:10:00Z,2021-06-13T23:10:00Z,15.669,7.004,87.490505
1623651600,2021-06-14T06:20:00Z,2021-06-13T23:20:00Z,15.669,7.1,88.689689
1623652200,2021-06-14T06:30:00Z,2021-06-13T23:30:00Z,15.669,7.09,88.564774
1623652800,2021-06-14T06:40:00Z,2021-06-13T23:40:00Z,15.669,7.1,88.689689
1623653400,2021-06-14T06:50:00Z,2021-06-13T23:50:00Z,15.66,6.993,87.336103
1623654000,2021-06-14T07:00:00Z,2021-06-14T00:00:00Z,15.643,6.847,85.481268
1623654600,2021-06-14T07:10:00Z,2021-06-14T00:10:00Z,15.677,6.779,84.694561
1623655200,2021-06-14T07:20:00Z,2021-06-14T00:20:00Z,15.66,6.8,84.925711
1623655800,2021-06-14T07:30:00Z,2021-06-14T00:30:00Z,15.677,6.8,84.956928
1623656400,2021-06-14T07:40:00Z,2021-06-14T00:40:00Z,15.66,6.875,85.862392
1623657000,2021-06-14T07:50:00Z,2021-06-14T00:50:00Z,15.677,6.872,85.856472
1623657600,2021-06-14T08:00:00Z,2021-06-14T01:00:00Z,15.643,6.779,84.632323
1623658200,2021-06-14T08:10:00Z,2021-06-14T01:10:00Z,15.635,6.821,85.141938
1623658800,2021-06-14T08:20:00Z,2021-06-14T01:20:00Z,15.592,6.207,77.405738
1623659400,2021-06-14T08:30:00Z,2021-06-14T01:30:00Z,15.583,6.425,80.108746
1623660000,2021-06-14T08:40:00Z,2021-06-14T01:40:00Z,15.558,6.545,81.560779
1623660600,2021-06-14T08:50:00Z,2021-06-14T01:50:00Z,15.541,6.53,81.343899
1623661200,2021-06-14T09:00:00Z,2021-06-14T02:00:00Z,15.541,6.466,80.546654
1623661800,2021-06-14T09:10:00Z,2021-06-14T02:10:00Z,15.515,6.371,79.318547
1623662400,2021-06-14T09:20:00Z,2021-06-14T02:20:00Z,15.498,6.332,78.803957
1623663000,2021-06-14T09:30:00Z,2021-06-14T02:30:00Z,15.489,6.245,77.706049
1623663600,2021-06-14T09:40:00Z,2021-06-14T02:40:00Z,15.498,6.368,79.25199
1623664200,2021-06-14T09:50:00Z,2021-06-14T02:50:00Z,15.506,6.503,80.946148
1623664800,2021-06-14T10:00:00Z,2021-06-14T03:00:00Z,15.464,6.487,80.673489
1623665400,2021-06-14T10:10:00Z,2021-06-14T03:10:00Z,15.438,6.458,80.267553
1623666000,2021-06-14T10:20:00Z,2021-06-14T03:20:00Z,15.429,6.463,80.314012
1623666600,2021-06-14T10:30:00Z,2021-06-14T03:30:00Z,15.412,6.606,82.060751
1623667200,2021-06-14T10:40:00Z,2021-06-14T03:40:00Z,15.412,6.534,81.166356
1623667800,2021-06-14T10:50:00Z,2021-06-14T03:50:00Z,15.378,6.575,81.615388
