lake,date_time,temp_c,depth
soapstone,2020-07-17T18:00:00Z,23.424,sediment
soapstone,2020-07-17T19:00:00Z,23.448,sediment
soapstone,2020-07-17T20:00:00Z,23.376,sediment
soapstone,2020-07-17T21:00:00Z,23.304,sediment
soapstone,2020-07-17T22:00:00Z,23.28,sediment
soapstone,2020-07-17T23:00:00Z,23.256,sediment
soapstone,2020-07-18T00:00:00Z,23.184,sediment
soapstone,2020-07-18T01:00:00Z,23.136,sediment
soapstone,2020-07-18T02:00:00Z,23.16,sediment
soapstone,2020-07-18T03:00:00Z,22.992,sediment
soapstone,2020-07-18T04:00:00Z,22.824,sediment
soapstone,2020-07-18T05:00:00Z,22.633,sediment
soapstone,2020-07-18T06:00:00Z,22.465,sediment
soapstone,2020-07-18T07:00:00Z,22.298,sediment
soapstone,2020-07-18T08:00:00Z,22.106,sediment
soapstone,2020-07-18T09:00:00Z,22.082,sediment
soapstone,2020-07-18T10:00:00Z,22.585,sediment
soapstone,2020-07-18T11:00:00Z,22.824,sediment
soapstone,2020-07-18T12:00:00Z,23.016,sediment
soapstone,2020-07-18T13:00:00Z,23.088,sediment
soapstone,2020-07-18T14:00:00Z,23.16,sediment
soapstone,2020-07-18T15:00:00Z,23.448,sediment
soapstone,2020-07-18T16:00:00Z,23.713,sediment
soapstone,2020-07-18T17:00:00Z,23.737,sediment
soapstone,2020-07-18T18:00:00Z,23.737,sediment
soapstone,2020-07-18T19:00:00Z,23.785,sediment
soapstone,2020-07-18T20:00:00Z,23.713,sediment
soapstone,2020-07-18T21:00:00Z,23.665,sediment
soapstone,2020-07-18T22:00:00Z,23.593,sediment
soapstone,2020-07-18T23:00:00Z,23.593,sediment
soapstone,2020-07-19T00:00:00Z,23.521,sediment
soapstone,2020-07-19T01:00:00Z,23.472,sediment
soapstone,2020-07-19T02:00:00Z,23.352,sediment
soapstone,2020-07-19T03:00:00Z,23.232,sediment
soapstone,2020-07-19T04:00:00Z,23.064,sediment
soapstone,2020-07-19T05:00:00Z,22.872,sediment
soapstone,2020-07-19T06:00:00Z,22.681,sediment
soapstone,2020-07-19T07:00:00Z,22.537,sediment
soapstone,2020-07-19T08:00:00Z,22.417,sediment
soapstone,2020-07-19T09:00:00Z,22.345,sediment
soapstone,2020-07-19T10:00:00Z,22.824,sediment
soapstone,2020-07-19T11:00:00Z,23.04,sediment
soapstone,2020-07-19T12:00:00Z,23.28,sediment
soapstone,2020-07-19T13:00:00Z,23.328,sediment
soapstone,2020-07-19T14:00:00Z,23.424,sediment
soapstone,2020-07-19T15:00:00Z,23.713,sediment
soapstone,2020-07-19T16:00:00Z,23.978,sediment
soapstone,2020-07-19T17:00:00Z,24.05,sediment
soapstone,2020-07-19T18:00:00Z,24.05,sediment
soapstone,2020-07-19T19:00:00Z,23.978,sediment
soapstone,2020-07-19T20:00:00Z,23.954,sediment
soapstone,2020-07-19T21:00:00Z,23.857,sediment
soapstone,2020-07-19T22:00:00Z,23.857,sediment
soapstone,2020-07-19T23:00:00Z,23.809,sediment
soapstone,2020-07-20T00:00:00Z,23.761,sediment
soapstone,2020-07-20T01:00:00Z,23.713,sediment
soapstone,2020-07-20T02:00:00Z,23.569,sediment
soapstone,2020-07-20T03:00:00Z,23.497,sediment
soapstone,2020-07-20T04:00:00Z,23.328,sediment
soapstone,2020-07-20T05:00:00Z,23.112,sediment
soapstone,2020-07-20T06:00:00Z,22.896,sediment
soapstone,2020-07-20T07:00:00Z,22.753,sediment
soapstone,2020-07-20T08:00:00Z,22.561,sediment
soapstone,2020-07-20T09:00:00Z,22.489,sediment
soapstone,2020-07-20T10:00:00Z,23.016,sediment
soapstone,2020-07-20T11:00:00Z,23.208,sediment
soapstone,2020-07-20T12:00:00Z,23.4,sediment
soapstone,2020-07-20T13:00:00Z,23.521,sediment
soapstone,2020-07-20T14:00:00Z,23.641,sediment
soapstone,2020-07-20T15:00:00Z,23.93,sediment
soapstone,2020-07-20T16:00:00Z,24.243,sediment
soapstone,2020-07-20T17:00:00Z,24.315,sediment
soapstone,2020-07-20T18:00:00Z,24.388,sediment
soapstone,2020-07-20T19:00:00Z,24.243,sediment
soapstone,2020-07-20T20:00:00Z,24.195,sediment
soapstone,2020-07-20T21:00:00Z,24.146,sediment
soapstone,2020-07-20T22:00:00Z,24.122,sediment
soapstone,2020-07-20T23:00:00Z,24.098,sediment
soapstone,2020-07-21T00:00:00Z,24.05,sediment
soapstone,2020-07-21T01:00:00Z,23.978,sediment
soapstone,2020-07-21T02:00:00Z,23.809,sediment
soapstone,2020-07-21T03:00:00Z,23.665,sediment
soapstone,2020-07-21T04:00:00Z,23.472,sediment
soapstone,2020-07-21T05:00:00Z,23.232,sediment
soapstone,2020-07-21T06:00:00Z,23.04,sediment
