lake,date_time,temp_c,light_intensity_lux,depth
soapstone,2019-11-21T18:00:00Z,4.311,0,1m
soapstone,2019-11-21T19:00:00Z,4.207,0,1m
soapstone,2019-11-21T20:00:00Z,4.102,0,1m
soapstone,2019-11-21T21:00:00Z,4.102,0,1m
soapstone,2019-11-21T22:00:00Z,3.998,0,1m
soapstone,2019-11-21T23:00:00Z,4.102,0,1m
soapstone,2019-11-22T00:00:00Z,4.207,0,1m
soapstone,2019-11-22T01:00:00Z,4.102,0,1m
soapstone,2019-11-22T02:00:00Z,3.998,0,1m
soapstone,2019-11-22T03:00:00Z,3.893,0,1m
soapstone,2019-11-22T04:00:00Z,3.683,0,1m
soapstone,2019-11-22T05:00:00Z,3.683,0,1m
soapstone,2019-11-22T06:00:00Z,3.578,0,1m
soapstone,2019-11-22T07:00:00Z,3.472,139.9,1m
soapstone,2019-11-22T08:00:00Z,3.472,1248.6,1m
soapstone,2019-11-22T09:00:00Z,3.578,2238.9,1m
soapstone,2019-11-22T10:00:00Z,4.623,41333.6,1m
soapstone,2019-11-22T11:00:00Z,5.244,6200,1m
soapstone,2019-11-22T12:00:00Z,6.978,46844.8,1m
soapstone,2019-11-22T13:00:00Z,5.45,15844.5,1m
soapstone,2019-11-22T14:00:00Z,5.552,12400.1,1m
soapstone,2019-11-22T15:00:00Z,4.831,2583.4,1m
soapstone,2019-11-22T16:00:00Z,4.623,1194.8,1m
soapstone,2019-11-22T17:00:00Z,4.519,21.5,1m
soapstone,2019-11-22T18:00:00Z,4.519,0,1m
soapstone,2019-11-22T19:00:00Z,4.415,0,1m
soapstone,2019-11-22T20:00:00Z,4.415,0,1m
soapstone,2019-11-22T21:00:00Z,4.207,0,1m
soapstone,2019-11-22T22:00:00Z,4.102,0,1m
soapstone,2019-11-22T23:00:00Z,3.998,0,1m
soapstone,2019-11-23T00:00:00Z,4.207,0,1m
soapstone,2019-11-23T01:00:00Z,4.102,0,1m
soapstone,2019-11-23T02:00:00Z,3.998,0,1m
soapstone,2019-11-23T03:00:00Z,3.893,0,1m
soapstone,2019-11-23T04:00:00Z,3.893,0,1m
soapstone,2019-11-23T05:00:00Z,3.893,0,1m
soapstone,2019-11-23T06:00:00Z,3.578,0,1m
soapstone,2019-11-23T07:00:00Z,3.367,118.4,1m
soapstone,2019-11-23T08:00:00Z,3.367,1194.8,1m
soapstone,2019-11-23T09:00:00Z,3.367,2066.7,1m
soapstone,2019-11-23T10:00:00Z,4.311,21355.7,1m
soapstone,2019-11-23T11:00:00Z,5.037,7233.4,1m
soapstone,2019-11-23T12:00:00Z,6.573,37200.2,1m
soapstone,2019-11-23T13:00:00Z,5.347,14466.8,1m
soapstone,2019-11-23T14:00:00Z,5.347,11022.3,1m
soapstone,2019-11-23T15:00:00Z,4.934,2238.9,1m
soapstone,2019-11-23T16:00:00Z,4.727,1054.9,1m
soapstone,2019-11-23T17:00:00Z,4.519,43.1,1m
soapstone,2019-11-23T18:00:00Z,4.415,0,1m
soapstone,2019-11-23T19:00:00Z,4.311,0,1m
soapstone,2019-11-23T20:00:00Z,4.415,0,1m
soapstone,2019-11-23T21:00:00Z,4.102,0,1m
soapstone,2019-11-23T22:00:00Z,4.207,0,1m
soapstone,2019-11-23T23:00:00Z,4.207,0,1m
soapstone,2019-11-24T00:00:00Z,4.102,0,1m
soapstone,2019-11-24T01:00:00Z,3.788,0,1m
soapstone,2019-11-24T02:00:00Z,3.683,0,1m
soapstone,2019-11-24T03:00:00Z,3.578,0,1m
soapstone,2019-11-24T04:00:00Z,3.578,0,1m
soapstone,2019-11-24T05:00:00Z,3.472,0,1m
soapstone,2019-11-24T06:00:00Z,3.367,0,1m
soapstone,2019-11-24T07:00:00Z,3.261,86.1,1m
soapstone,2019-11-24T08:00:00Z,3.261,1550,1m
soapstone,2019-11-24T09:00:00Z,3.261,2497.2,1m
soapstone,2019-11-24T10:00:00Z,4.102,20666.8,1m
soapstone,2019-11-24T11:00:00Z,4.727,15155.7,1m
soapstone,2019-11-24T12:00:00Z,5.552,42711.4,1m
soapstone,2019-11-24T13:00:00Z,5.141,7233.4,1m
