"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733885, SEN S/N: 20733885)","Intensity, Lux (LGR S/N: 20733885, SEN S/N: 20733885)"
10/11/2020 18:00,7.582,1345.5
10/11/2020 22:00,4.415,0
10/12/2020 2:00,2.943,0
10/12/2020 6:00,2.088,0
10/12/2020 10:00,9.669,18600.1
10/12/2020 14:00,34.374,115734.1
10/12/2020 18:00,10.259,2325
10/12/2020 22:00,6.573,0
10/13/2020 2:00,5.757,0
10/13/2020 6:00,5.655,0
10/13/2020 10:00,15.378,28933.5
10/13/2020 14:00,33.848,132267.5
10/13/2020 18:00,11.819,1324
10/13/2020 22:00,10.259,0
10/14/2020 2:00,6.775,0
10/14/2020 6:00,5.552,0
10/14/2020 10:00,10.357,9300.1
10/14/2020 14:00,34.163,126756.4
10/14/2020 18:00,10.553,1227.1
10/14/2020 22:00,5.86,0
10/15/2020 2:00,5.244,0
10/15/2020 6:00,4.102,0
10/15/2020 10:00,10.161,5511.1
10/15/2020 14:00,38.268,132267.5
10/15/2020 18:00,8.68,1227.1
10/15/2020 22:00,5.86,0
10/16/2020 2:00,5.86,0
10/16/2020 6:00,4.727,0
10/16/2020 10:00,11.139,6200
10/16/2020 14:00,40.645,148801
10/16/2020 18:00,12.883,1194.8
10/16/2020 22:00,7.079,0
10/17/2020 2:00,5.347,0
10/17/2020 6:00,5.037,0
10/17/2020 10:00,11.431,7577.8
10/17/2020 14:00,39.163,126756.4
10/17/2020 18:00,10.357,1097.9
10/17/2020 22:00,6.268,0
10/18/2020 2:00,4.519,0
10/18/2020 6:00,4.102,0
10/18/2020 10:00,11.625,11022.3
10/18/2020 14:00,41.341,148801
10/18/2020 18:00,10.063,1205.6
10/18/2020 22:00,5.655,0
10/19/2020 2:00,5.141,0
10/19/2020 6:00,3.578,0
10/19/2020 10:00,9.472,14466.8
10/19/2020 14:00,37.384,154312.1
10/19/2020 18:00,9.373,2669.5
10/19/2020 22:00,5.141,0
10/20/2020 2:00,5.141,0
10/20/2020 6:00,8.581,0
10/20/2020 10:00,13.846,7577.8
10/20/2020 14:00,39.389,148801
10/20/2020 18:00,10.357,1550
10/20/2020 22:00,5.655,0
10/21/2020 2:00,4.102,0
10/21/2020 6:00,3.683,0
10/21/2020 10:00,8.382,5511.1
10/21/2020 14:00,38.714,154312.1
10/21/2020 18:00,6.064,1173.3
10/21/2020 22:00,2.195,0
10/22/2020 2:00,-1.456,0
10/22/2020 6:00,-2.494,0
10/22/2020 10:00,1.003,5511.1
10/22/2020 14:00,33.222,154312.1
10/22/2020 18:00,3.893,1722.2
10/22/2020 22:00,1.439,0
10/23/2020 2:00,-0.887,0
10/23/2020 6:00,-2.844,0
10/23/2020 10:00,2.088,15155.7
10/23/2020 14:00,36.728,137778.7
10/23/2020 18:00,4.831,968.8
10/23/2020 22:00,3.049,0
10/24/2020 2:00,2.837,0
10/24/2020 6:00,1.98,0
10/24/2020 10:00,6.268,13089
10/24/2020 14:00,31.472,137778.7
10/24/2020 18:00,5.347,925.7
10/24/2020 22:00,1.221,0
10/25/2020 2:00,-0.887,0
10/25/2020 6:00,-1.114,0
10/25/2020 10:00,-1.799,6200
10/25/2020 14:00,29.853,143289.8
10/25/2020 18:00,-1.799,1119.5
10/25/2020 22:00,-2.962,0
10/26/2020 2:00,-1.799,0
10/26/2020 6:00,-4.152,0
10/26/2020 10:00,1.221,6544.5
10/26/2020 14:00,32.086,143289.8
10/26/2020 18:00,4.415,1280.9
10/26/2020 22:00,1.656,0
10/27/2020 2:00,0.01,0
10/27/2020 6:00,-1.001,0
10/27/2020 10:00,2.943,6544.5
10/27/2020 14:00,39.502,170845.6
10/27/2020 18:00,3.998,839.6
10/27/2020 22:00,2.517,0
10/28/2020 2:00,1.33,0
10/28/2020 6:00,0.232,0
10/28/2020 10:00,4.623,4822.3
10/28/2020 14:00,40.645,170845.6
10/28/2020 18:00,5.757,807.3
10/28/2020 22:00,2.73,0
10/29/2020 2:00,1.548,0
10/29/2020 6:00,1.003,0
10/29/2020 10:00,5.552,5166.7
10/29/2020 14:00,39.05,126756.4
10/29/2020 18:00,6.573,731.9
10/29/2020 22:00,3.788,0
10/30/2020 2:00,2.303,0
10/30/2020 6:00,2.088,0
10/30/2020 10:00,7.179,4994.5
10/30/2020 14:00,30.457,41333.6
10/30/2020 18:00,7.079,968.8
10/30/2020 22:00,3.472,0
10/31/2020 2:00,1.656,0
10/31/2020 6:00,0.453,0
10/31/2020 10:00,4.415,5338.9
10/31/2020 14:00,36.403,71644.9
10/31/2020 18:00,5.86,699.7
10/31/2020 22:00,2.943,0
11/1/2020 2:00,2.41,0
11/1/2020 6:00,1.98,0
11/1/2020 10:00,6.877,4822.3
