unix,utc,pst,temp_c,do_mg_l,do_sat
1630177380,2021-08-28T19:03:00Z,2021-08-28T12:03:00Z,16.759,6.902,88.25411
1630177980,2021-08-28T19:13:00Z,2021-08-28T12:13:00Z,16.801,6.904,88.358471
1630178580,2021-08-28T19:23:00Z,2021-08-28T12:23:00Z,17.047,6.978,89.77232
1630179180,2021-08-28T19:33:00Z,2021-08-28T12:33:00Z,17.115,7.01,90.313735
1630179780,2021-08-28T19:43:00Z,2021-08-28T12:43:00Z,17.191,7.132,92.033108
1630180380,2021-08-28T19:53:00Z,2021-08-28T12:53:00Z,17.259,7.17,92.65627
1630180980,2021-08-28T20:03:00Z,2021-08-28T13:03:00Z,17.377,7.204,93.327303
1630181580,2021-08-28T20:13:00Z,2021-08-28T13:13:00Z,17.47,7.334,95.197425
1630182180,2021-08-28T20:23:00Z,2021-08-28T13:23:00Z,17.546,7.351,95.570498
1630182780,2021-08-28T20:33:00Z,2021-08-28T13:33:00Z,17.664,7.413,96.615317
1630183380,2021-08-28T20:43:00Z,2021-08-28T13:43:00Z,17.816,7.392,96.648527
1630183980,2021-08-28T20:53:00Z,2021-08-28T13:53:00Z,17.959,7.359,96.50474
1630184580,2021-08-28T21:03:00Z,2021-08-28T14:03:00Z,18.018,7.267,95.41554
1630185180,2021-08-28T21:13:00Z,2021-08-28T14:13:00Z,18.102,7.121,93.66224
1630185780,2021-08-28T21:23:00Z,2021-08-28T14:23:00Z,18.128,7.247,95.371087
1630186380,2021-08-28T21:33:00Z,2021-08-28T14:33:00Z,18.178,7.259,95.628374
1630186980,2021-08-28T21:43:00Z,2021-08-28T14:43:00Z,18.355,7.324,96.839793
1630187580,2021-08-28T21:53:00Z,2021-08-28T14:53:00Z,18.346,7.353,97.205102
1630188180,2021-08-28T22:03:00Z,2021-08-28T15:03:00Z,18.439,7.3,96.690561
1630188780,2021-08-28T22:13:00Z,2021-08-28T15:13:00Z,18.582,7.466,99.182143
1630189380,2021-08-28T22:23:00Z,2021-08-28T15:23:00Z,18.674,7.466,99.370681
1630189980,2021-08-28T22:33:00Z,2021-08-28T15:33:00Z,18.775,7.52,100.297999
1630190580,2021-08-28T22:43:00Z,2021-08-28T15:43:00Z,18.851,7.519,100.441676
1630191180,2021-08-28T22:53:00Z,2021-08-28T15:53:00Z,18.943,7.582,101.475007
1630191780,2021-08-28T23:03:00Z,2021-08-28T16:03:00Z,18.934,7.634,102.152066
1630192380,2021-08-28T23:13:00Z,2021-08-28T16:13:00Z,18.993,7.63,102.222337
1630192980,2021-08-28T23:23:00Z,2021-08-28T16:23:00Z,19.043,7.582,101.683544
1630193580,2021-08-28T23:33:00Z,2021-08-28T16:33:00Z,19.178,7.586,102.019045
1630194180,2021-08-28T23:43:00Z,2021-08-28T16:43:00Z,19.161,7.55,101.499568
1630194780,2021-08-28T23:53:00Z,2021-08-28T16:53:00Z,19.194,7.56,101.702692
1630195380,2021-08-29T00:03:00Z,2021-08-28T17:03:00Z,19.211,7.496,100.876807
1630195980,2021-08-29T00:13:00Z,2021-08-28T17:13:00Z,19.228,7.519,101.221528
1630196580,2021-08-29T00:23:00Z,2021-08-28T17:23:00Z,19.261,7.752,104.428656
1630197180,2021-08-29T00:33:00Z,2021-08-28T17:33:00Z,19.287,7.641,102.98808
1630197780,2021-08-29T00:43:00Z,2021-08-28T17:43:00Z,19.278,7.541,101.621548
1630198380,2021-08-29T00:53:00Z,2021-08-28T17:53:00Z,19.387,7.534,101.753508
1630198980,2021-08-29T01:03:00Z,2021-08-28T18:03:00Z,19.37,7.643,103.189839
