lakename,date,depth,volume_mL,C_ug_L,N_ug_L
CDR,2021.06.13,0m,100,1.69648774,2.727034687
CDR,2021.06.13,2m,100,5.919019218,1.18415378
CDR,2021.06.13,4m,100,4.485884692,1.033824164
GB,2021.06.13,0m,100,,1.070020331
GB,2021.06.13,2m,100,0.340159046,
GB,2021.06.13,4m,100,,0.415408786
SS,2021.06.13,0m,100,0.649569251,3.380259996
SS,2021.06.13,3m,100,2.046785951,0.462232764
CDR,2021.07.18,0m,100,1.375281643,1.949048118
CDR,2021.07.18,2m,100,2.81398277,1.784548087
CDR,2021.07.18,4m,100,1.98674619,1.856940423
GB,2021.07.18,0m,100,5.452021206,1.161357895
GB,2021.07.18,2m,100,5.356328694,0.854537613
GB,2021.07.18,4m,100,4.461497681,1.894830879
SS,2021.07.18,0m,100,2.849768058,0.69465837
SS,2021.07.18,sed,100,2.87342611,0.717916333
CDR,2021.09.23,0m,100,1.935586481,
CDR,2021.09.23,2m,100,7.268986083,2.115704516
CDR,2021.09.23,4m,100,3.231411531,2.546515926
GB,2021.09.23,0m,100,0.631080186,1.389470766
GB,2021.09.23,2m,100,5.373492379,1.226973076
GB,2021.09.23,4m,100,3.323525514,1.379305034
SS,2021.09.23,0m,100,4.505235255,1.999722753
SS,2021.09.23,sed,100,4.915705765,1.375300351
