MiniDOT Logger Concatenated Data File
Sensor:             7450-074290
Concatenation Date: 2021Aug28 13:38:36 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1737.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1623592860,           2021-06-13 14:01:00,           2021-06-13 07:01:00,      3.520000,     18.385000,          7.575000,                    99.992685,      0.932000
                1623593460,           2021-06-13 14:11:00,           2021-06-13 07:11:00,      3.520000,     17.634000,          7.696000,                   100.012737,      0.929000
                1623594060,           2021-06-13 14:21:00,           2021-06-13 07:21:00,      3.520000,     16.923000,          7.814000,                   100.036182,      0.929000
                1623594660,           2021-06-13 14:31:00,           2021-06-13 07:31:00,      3.520000,     16.337000,          7.907000,                    99.971913,      0.930000
                1623595260,           2021-06-13 14:41:00,           2021-06-13 07:41:00,      3.520000,     15.825000,          7.992000,                    99.941767,      0.930000
                1623595860,           2021-06-13 14:51:00,           2021-06-13 07:51:00,      3.520000,     15.371000,          8.072000,                    99.955344,      0.930000
                1623596460,           2021-06-13 15:01:00,           2021-06-13 08:01:00,      3.520000,     15.053000,          8.137000,                   100.064946,      0.931000
                1623597060,           2021-06-13 15:11:00,           2021-06-13 08:11:00,      3.520000,     14.890000,          8.155000,                    99.929602,      0.931000
                1623597660,           2021-06-13 15:21:00,           2021-06-13 08:21:00,      3.520000,     14.760000,          8.173000,                    99.865294,      0.930000
                1623598260,           2021-06-13 15:31:00,           2021-06-13 08:31:00,      3.520000,     14.648000,          8.195000,                    99.888185,      0.930000
                1623598860,           2021-06-13 15:41:00,           2021-06-13 08:41:00,      3.520000,     14.640000,          8.202000,                    99.955932,      0.931000
                1623599460,           2021-06-13 15:51:00,           2021-06-13 08:51:00,      3.520000,     14.579000,          8.213000,                    99.955822,      0.931000
                1623600060,           2021-06-13 16:01:00,           2021-06-13 09:01:00,      3.520000,     14.588000,          8.214000,                    99.987787,      0.931000
                1623600660,           2021-06-13 16:11:00,           2021-06-13 09:11:00,      3.520000,     14.691000,          8.193000,                    99.958183,      0.931000
                1623601260,           2021-06-13 16:21:00,           2021-06-13 09:21:00,      3.520000,     14.734000,          8.179000,                    99.881615,      0.931000
                1623601860,           2021-06-13 16:31:00,           2021-06-13 09:31:00,      3.520000,     14.778000,          8.175000,                    99.929173,      0.931000
                1623602460,           2021-06-13 16:41:00,           2021-06-13 09:41:00,      3.510000,     14.907000,          8.151000,                    99.917756,      0.931000
                1623603060,           2021-06-13 16:51:00,           2021-06-13 09:51:00,      3.510000,     15.620000,          8.030000,                    99.973377,      0.931000
                1623603660,           2021-06-13 17:01:00,           2021-06-13 10:01:00,      3.510000,     16.456000,          7.891000,                   100.023603,      0.931000
                1623604260,           2021-06-13 17:11:00,           2021-06-13 10:11:00,      3.500000,     16.745000,          7.845000,                   100.054441,      0.931000
                1623604860,           2021-06-13 17:21:00,           2021-06-13 10:21:00,      3.510000,     16.898000,          7.812000,                    99.957604,      0.931000
                1623605460,           2021-06-13 17:31:00,           2021-06-13 10:31:00,      3.510000,     16.957000,          7.804000,                    99.980143,      0.931000
                1623606060,           2021-06-13 17:41:00,           2021-06-13 10:41:00,      3.500000,     17.550000,          7.708000,                    99.992401,      0.930000
                1623606660,           2021-06-13 17:51:00,           2021-06-13 10:51:00,      3.510000,     18.258000,          7.598000,                   100.032523,      0.930000
                1623607260,           2021-06-13 18:01:00,           2021-06-13 11:01:00,      3.510000,     18.999000,          7.503000,                   100.304115,      0.931000
                1623607860,           2021-06-13 18:11:00,           2021-06-13 11:11:00,      3.500000,     20.147000,          7.329000,                   100.293811,      0.931000
                1623608460,           2021-06-13 18:21:00,           2021-06-13 11:21:00,      3.500000,     20.557000,          7.281000,                   100.462183,      0.931000
                1623609060,           2021-06-13 18:31:00,           2021-06-13 11:31:00,      3.500000,     20.741000,          7.244000,                   100.320741,      0.931000
                1623609660,           2021-06-13 18:41:00,           2021-06-13 11:41:00,      3.500000,     20.507000,          7.278000,                   100.320092,      0.931000
                1623610260,           2021-06-13 18:51:00,           2021-06-13 11:51:00,      3.500000,     20.331000,          7.300000,                   100.268038,      0.931000
                1623610860,           2021-06-13 19:01:00,           2021-06-13 12:01:00,      3.500000,     20.289000,          7.310000,                   100.320539,      0.931000
                1623611460,           2021-06-13 19:11:00,           2021-06-13 12:11:00,      3.490000,     20.691000,          7.269000,                   100.566284,      0.931000
                1623612060,           2021-06-13 19:21:00,           2021-06-13 12:21:00,      3.490000,     22.096000,          7.094000,                   100.916759,      0.931000
                1623612660,           2021-06-13 19:31:00,           2021-06-13 12:31:00,      3.490000,     23.920000,          6.871000,                   101.262529,      0.933000
                1623613260,           2021-06-13 19:41:00,           2021-06-13 12:41:00,      3.490000,     24.566000,          6.778000,                   101.130324,      0.933000
                1623613860,           2021-06-13 19:51:00,           2021-06-13 12:51:00,      3.490000,     24.802000,          6.744000,                   101.074431,      0.932000
                1623614460,           2021-06-13 20:01:00,           2021-06-13 13:01:00,      3.490000,     24.676000,          6.765000,                   101.147328,      0.932000
                1623615060,           2021-06-13 20:11:00,           2021-06-13 13:11:00,      3.490000,     24.701000,          6.753000,                   101.015792,      0.931000
                1623615660,           2021-06-13 20:21:00,           2021-06-13 13:21:00,      3.490000,     25.627000,          6.642000,                   101.105175,      0.931000
                1623616260,           2021-06-13 20:31:00,           2021-06-13 13:31:00,      3.490000,     26.996000,          6.498000,                   101.463494,      0.932000
                1623616860,           2021-06-13 20:41:00,           2021-06-13 13:41:00,      3.480000,     28.341000,          6.773000,                   108.394411,      0.933000
                1623617460,           2021-06-13 20:51:00,           2021-06-13 13:51:00,      3.480000,     29.060000,          6.675000,                   108.226112,      0.932000
                1623618060,           2021-06-13 21:01:00,           2021-06-13 14:01:00,      3.480000,     29.240000,          6.402000,                   104.137149,      0.932000
                1623618660,           2021-06-13 21:11:00,           2021-06-13 14:11:00,      3.480000,     29.240000,          6.280000,                   102.152655,      0.931000
                1623619260,           2021-06-13 21:21:00,           2021-06-13 14:21:00,      3.480000,     29.112000,          6.229000,                   101.089603,      0.932000
                1623619860,           2021-06-13 21:31:00,           2021-06-13 14:31:00,      3.490000,     28.889000,          6.252000,                   101.055189,      0.931000
                1623620460,           2021-06-13 21:41:00,           2021-06-13 14:41:00,      3.490000,     28.794000,          6.268000,                   101.139907,      0.931000
                1623621060,           2021-06-13 21:51:00,           2021-06-13 14:51:00,      3.490000,     28.751000,          6.274000,                   101.157977,      0.932000
                1623621660,           2021-06-13 22:01:00,           2021-06-13 15:01:00,      3.490000,     28.700000,          6.275000,                   101.080724,      0.931000
                1623622260,           2021-06-13 22:11:00,           2021-06-13 15:11:00,      3.480000,     28.640000,          6.274000,                   100.954826,      0.931000
                1623622860,           2021-06-13 22:21:00,           2021-06-13 15:21:00,      3.480000,     28.614000,          6.284000,                   101.068100,      0.931000
                1623623460,           2021-06-13 22:31:00,           2021-06-13 15:31:00,      3.480000,     28.563000,          6.406000,                   102.935051,      0.931000
                1623624060,           2021-06-13 22:41:00,           2021-06-13 15:41:00,      3.480000,     28.495000,          6.406000,                   102.808143,      0.931000
                1623624660,           2021-06-13 22:51:00,           2021-06-13 15:51:00,      3.480000,     28.290000,          6.187000,                    98.924350,      0.931000
                1623625260,           2021-06-13 23:01:00,           2021-06-13 16:01:00,      3.490000,     28.008000,          6.219000,                    98.926549,      0.931000
                1623625860,           2021-06-13 23:11:00,           2021-06-13 16:11:00,      3.490000,     27.855000,          6.239000,                    98.967851,      0.932000
                1623626460,           2021-06-13 23:21:00,           2021-06-13 16:21:00,      3.490000,     27.752000,          6.245000,                    98.876657,      0.931000
                1623627060,           2021-06-13 23:31:00,           2021-06-13 16:31:00,      3.490000,     27.625000,          6.266000,                    98.978773,      0.932000
                1623627660,           2021-06-13 23:41:00,           2021-06-13 16:41:00,      3.480000,     27.548000,          6.261000,                    98.760332,      0.931000
                1623628260,           2021-06-13 23:51:00,           2021-06-13 16:51:00,      3.480000,     27.480000,          6.267000,                    98.731763,      0.931000
                1623628860,           2021-06-14 00:01:00,           2021-06-13 17:01:00,      3.480000,     27.421000,          6.272000,                    98.703594,      0.931000
                1623629460,           2021-06-14 00:11:00,           2021-06-13 17:11:00,      3.480000,     27.353000,          6.287000,                    98.816160,      0.931000
                1623630060,           2021-06-14 00:21:00,           2021-06-13 17:21:00,      3.480000,     27.276000,          6.294000,                    98.786264,      0.931000
                1623630660,           2021-06-14 00:31:00,           2021-06-13 17:31:00,      3.480000,     27.132000,          6.308000,                    98.743959,      0.931000
                1623631260,           2021-06-14 00:41:00,           2021-06-13 17:41:00,      3.480000,     26.971000,          6.328000,                    98.763451,      0.931000
                1623631860,           2021-06-14 00:51:00,           2021-06-13 17:51:00,      3.490000,     26.776000,          6.343000,                    98.641585,      0.930000
                1623632460,           2021-06-14 01:01:00,           2021-06-13 18:01:00,      3.490000,     26.556000,          6.410000,                    99.278252,      0.931000
                1623633060,           2021-06-14 01:11:00,           2021-06-13 18:11:00,      3.480000,     26.327000,          6.802000,                   104.902612,      0.931000
                1623633660,           2021-06-14 01:21:00,           2021-06-13 18:21:00,      3.480000,     26.048000,          7.075000,                   108.547501,      0.931000
                1623634260,           2021-06-14 01:31:00,           2021-06-13 18:31:00,      3.490000,     25.804000,          6.826000,                   104.251015,      0.931000
                1623634860,           2021-06-14 01:41:00,           2021-06-13 18:41:00,      3.490000,     25.551000,          6.599000,                   100.307546,      0.931000
                1623635460,           2021-06-14 01:51:00,           2021-06-13 18:51:00,      3.480000,     25.348000,          6.627000,                   100.349720,      0.932000
                1623636060,           2021-06-14 02:01:00,           2021-06-13 19:01:00,      3.480000,     25.222000,          6.643000,                   100.353687,      0.931000
                1623636660,           2021-06-14 02:11:00,           2021-06-13 19:11:00,      3.480000,     25.130000,          6.647000,                   100.240126,      0.931000
                1623637260,           2021-06-14 02:21:00,           2021-06-13 19:21:00,      3.480000,     25.012000,          6.669000,                   100.348152,      0.931000
                1623637860,           2021-06-14 02:31:00,           2021-06-13 19:31:00,      3.480000,     24.911000,          6.686000,                   100.412088,      0.932000
                1623638460,           2021-06-14 02:41:00,           2021-06-13 19:41:00,      3.480000,     24.793000,          6.699000,                   100.382891,      0.932000
                1623639060,           2021-06-14 02:51:00,           2021-06-13 19:51:00,      3.490000,     24.676000,          6.717000,                   100.429653,      0.932000
                1623639660,           2021-06-14 03:01:00,           2021-06-13 20:01:00,      3.490000,     24.508000,          6.721000,                   100.169407,      0.931000
                1623640260,           2021-06-14 03:11:00,           2021-06-13 20:11:00,      3.480000,     24.323000,          6.753000,                   100.292611,      0.931000
                1623640860,           2021-06-14 03:21:00,           2021-06-13 20:21:00,      3.480000,     24.105000,          6.779000,                   100.260856,      0.931000
                1623641460,           2021-06-14 03:31:00,           2021-06-13 20:31:00,      3.480000,     23.862000,          6.808000,                   100.222621,      0.931000
                1623642060,           2021-06-14 03:41:00,           2021-06-13 20:41:00,      3.490000,     23.577000,          6.847000,                   100.246624,      0.931000
                1623642660,           2021-06-14 03:51:00,           2021-06-13 20:51:00,      3.490000,     23.284000,          6.882000,                   100.191598,      0.931000
                1623643260,           2021-06-14 04:01:00,           2021-06-13 21:01:00,      3.480000,     22.974000,          6.921000,                   100.156689,      0.931000
                1623643860,           2021-06-14 04:11:00,           2021-06-13 21:11:00,      3.480000,     22.656000,          6.959000,                   100.086130,      0.931000
                1623644460,           2021-06-14 04:21:00,           2021-06-13 21:21:00,      3.490000,     22.322000,          7.000000,                   100.021532,      0.931000
                1623645060,           2021-06-14 04:31:00,           2021-06-13 21:31:00,      3.480000,     21.987000,          7.049000,                   100.062153,      0.931000
                1623645660,           2021-06-14 04:41:00,           2021-06-13 21:41:00,      3.480000,     21.669000,          7.094000,                   100.072071,      0.931000
                1623646260,           2021-06-14 04:51:00,           2021-06-13 21:51:00,      3.490000,     21.368000,          7.133000,                   100.024773,      0.931000
                1623646860,           2021-06-14 05:01:00,           2021-06-13 22:01:00,      3.480000,     21.059000,          7.178000,                   100.039669,      0.931000
                1623647460,           2021-06-14 05:11:00,           2021-06-13 22:11:00,      3.480000,     20.766000,          7.218000,                   100.010669,      0.930000
                1623648060,           2021-06-14 05:21:00,           2021-06-13 22:21:00,      3.480000,     20.474000,          7.257000,                    99.964374,      0.930000
                1623648660,           2021-06-14 05:31:00,           2021-06-13 22:31:00,      3.490000,     20.172000,          7.303000,                    99.988430,      0.930000
                1623649260,           2021-06-14 05:41:00,           2021-06-13 22:41:00,      3.480000,     19.904000,          7.337000,                    99.911324,      0.930000
                1623649860,           2021-06-14 05:51:00,           2021-06-13 22:51:00,      3.480000,     19.636000,          7.374000,                    99.870631,      0.930000
                1623650460,           2021-06-14 06:01:00,           2021-06-13 23:01:00,      3.480000,     19.351000,          7.422000,                    99.938768,      0.930000
                1623651060,           2021-06-14 06:11:00,           2021-06-13 23:11:00,      3.490000,     19.091000,          7.460000,                    99.917622,      0.930000
                1623651660,           2021-06-14 06:21:00,           2021-06-13 23:21:00,      3.480000,     18.788000,          7.503000,                    99.870000,      0.930000
                1623652260,           2021-06-14 06:31:00,           2021-06-13 23:31:00,      3.480000,     18.536000,          7.548000,                    99.948065,      0.931000
