Plot Title: cedar_2m,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732848, SEN S/N: 20732848)"
1,10/11/2020 18:00,12.751
2,10/11/2020 19:00,12.823
3,10/11/2020 20:00,12.847
4,10/11/2020 21:00,12.92
5,10/11/2020 22:00,12.847
6,10/11/2020 23:00,12.703
7,10/12/2020 0:00,12.606
8,10/12/2020 1:00,12.485
9,10/12/2020 2:00,12.413
10,10/12/2020 3:00,12.316
11,10/12/2020 4:00,12.195
12,10/12/2020 5:00,12.147
13,10/12/2020 6:00,12.074
14,10/12/2020 7:00,11.977
15,10/12/2020 8:00,11.904
16,10/12/2020 9:00,11.832
17,10/12/2020 10:00,11.904
18,10/12/2020 11:00,11.929
19,10/12/2020 12:00,12.025
20,10/12/2020 13:00,12.195
21,10/12/2020 14:00,12.268
22,10/12/2020 15:00,12.534
23,10/12/2020 16:00,12.751
24,10/12/2020 17:00,12.727
25,10/12/2020 18:00,12.775
26,10/12/2020 19:00,12.775
27,10/12/2020 20:00,12.799
28,10/12/2020 21:00,12.775
29,10/12/2020 22:00,12.799
30,10/12/2020 23:00,12.896
31,10/13/2020 0:00,12.92
32,10/13/2020 1:00,12.847
33,10/13/2020 2:00,12.751
34,10/13/2020 3:00,12.654
35,10/13/2020 4:00,12.582
36,10/13/2020 5:00,12.509
37,10/13/2020 6:00,12.413
38,10/13/2020 7:00,12.364
39,10/13/2020 8:00,12.316
40,10/13/2020 9:00,12.34
41,10/13/2020 10:00,12.316
42,10/13/2020 11:00,12.316
43,10/13/2020 12:00,12.461
44,10/13/2020 13:00,12.509
45,10/13/2020 14:00,12.703
46,10/13/2020 15:00,12.847
47,10/13/2020 16:00,12.968
48,10/13/2020 17:00,13.137
49,10/13/2020 18:00,13.353
50,10/13/2020 19:00,13.353
51,10/13/2020 20:00,13.305
52,10/13/2020 21:00,13.257
53,10/13/2020 22:00,13.137
54,10/13/2020 23:00,13.112
55,10/14/2020 0:00,13.04
56,10/14/2020 1:00,12.968
57,10/14/2020 2:00,12.92
58,10/14/2020 3:00,12.847
59,10/14/2020 4:00,12.775
60,10/14/2020 5:00,12.727
61,10/14/2020 6:00,12.654
62,10/14/2020 7:00,12.582
63,10/14/2020 8:00,12.509
64,10/14/2020 9:00,12.461
65,10/14/2020 10:00,12.582
66,10/14/2020 11:00,12.582
67,10/14/2020 12:00,12.606
68,10/14/2020 13:00,12.775
69,10/14/2020 14:00,12.992
70,10/14/2020 15:00,13.185
71,10/14/2020 16:00,13.305
72,10/14/2020 17:00,13.353
73,10/14/2020 18:00,13.305
74,10/14/2020 19:00,13.353
75,10/14/2020 20:00,13.353
76,10/14/2020 21:00,13.377
77,10/14/2020 22:00,13.329
78,10/14/2020 23:00,13.233
79,10/15/2020 0:00,13.137
80,10/15/2020 1:00,13.04
81,10/15/2020 2:00,12.944
82,10/15/2020 3:00,12.871
83,10/15/2020 4:00,12.799
84,10/15/2020 5:00,12.703
85,10/15/2020 6:00,12.582
86,10/15/2020 7:00,12.485
87,10/15/2020 8:00,12.389
88,10/15/2020 9:00,12.316
89,10/15/2020 10:00,12.413
90,10/15/2020 11:00,12.413
91,10/15/2020 12:00,12.461
92,10/15/2020 13:00,12.606
93,10/15/2020 14:00,12.799
94,10/15/2020 15:00,13.016
95,10/15/2020 16:00,13.137
96,10/15/2020 17:00,13.185
97,10/15/2020 18:00,13.112
98,10/15/2020 19:00,13.161
99,10/15/2020 20:00,13.161
100,10/15/2020 21:00,13.161
101,10/15/2020 22:00,13.185
102,10/15/2020 23:00,13.064
103,10/16/2020 0:00,12.968
104,10/16/2020 1:00,12.871
105,10/16/2020 2:00,12.775
106,10/16/2020 3:00,12.703
107,10/16/2020 4:00,12.63
108,10/16/2020 5:00,12.558
109,10/16/2020 6:00,12.485
110,10/16/2020 7:00,12.389
111,10/16/2020 8:00,12.292
112,10/16/2020 9:00,12.219
113,10/16/2020 10:00,12.292
114,10/16/2020 11:00,12.316
115,10/16/2020 12:00,12.413
116,10/16/2020 13:00,12.509
117,10/16/2020 14:00,12.775
118,10/16/2020 15:00,12.896
119,10/16/2020 16:00,12.968
120,10/16/2020 17:00,13.016
121,10/16/2020 18:00,13.016
122,10/16/2020 19:00,13.016
123,10/16/2020 20:00,13.04
124,10/16/2020 21:00,13.04
125,10/16/2020 22:00,13.064
126,10/16/2020 23:00,13.137
127,10/17/2020 0:00,13.088
128,10/17/2020 1:00,12.992
129,10/17/2020 2:00,12.896
130,10/17/2020 3:00,12.823
131,10/17/2020 4:00,12.751
132,10/17/2020 5:00,12.654
133,10/17/2020 6:00,12.606
134,10/17/2020 7:00,12.534
135,10/17/2020 8:00,12.485
136,10/17/2020 9:00,12.461
137,10/17/2020 10:00,12.509
138,10/17/2020 11:00,12.509
139,10/17/2020 12:00,12.606
140,10/17/2020 13:00,12.751
141,10/17/2020 14:00,12.944
142,10/17/2020 15:00,13.112
143,10/17/2020 16:00,13.209
144,10/17/2020 17:00,13.233
145,10/17/2020 18:00,13.185
146,10/17/2020 19:00,13.233
147,10/17/2020 20:00,13.257
148,10/17/2020 21:00,13.377
149,10/17/2020 22:00,13.473
150,10/17/2020 23:00,13.209
151,10/18/2020 0:00,13.329
152,10/18/2020 1:00,13.257
153,10/18/2020 2:00,13.137
154,10/18/2020 3:00,13.04
155,10/18/2020 4:00,12.944
156,10/18/2020 5:00,12.871
157,10/18/2020 6:00,12.799
158,10/18/2020 7:00,12.727
159,10/18/2020 8:00,12.678
160,10/18/2020 9:00,12.606
161,10/18/2020 10:00,12.727
162,10/18/2020 11:00,12.703
163,10/18/2020 12:00,12.775
164,10/18/2020 13:00,12.871
165,10/18/2020 14:00,13.064
166,10/18/2020 15:00,13.281
167,10/18/2020 16:00,13.329
168,10/18/2020 17:00,13.329
169,10/18/2020 18:00,13.329
170,10/18/2020 19:00,13.281
171,10/18/2020 20:00,13.353
172,10/18/2020 21:00,13.377
173,10/18/2020 22:00,13.401
174,10/18/2020 23:00,13.401
175,10/19/2020 0:00,13.305
176,10/19/2020 1:00,13.209
177,10/19/2020 2:00,13.137
178,10/19/2020 3:00,13.064
179,10/19/2020 4:00,12.992
180,10/19/2020 5:00,12.92
181,10/19/2020 6:00,12.847
182,10/19/2020 7:00,12.775
183,10/19/2020 8:00,12.703
184,10/19/2020 9:00,12.654
185,10/19/2020 10:00,12.703
186,10/19/2020 11:00,12.678
187,10/19/2020 12:00,12.751
188,10/19/2020 13:00,12.847
189,10/19/2020 14:00,13.016
190,10/19/2020 15:00,13.233
191,10/19/2020 16:00,13.257
192,10/19/2020 17:00,13.329
193,10/19/2020 18:00,13.305
194,10/19/2020 19:00,13.281
195,10/19/2020 20:00,13.305
196,10/19/2020 21:00,13.329
197,10/19/2020 22:00,13.353
198,10/19/2020 23:00,13.329
199,10/20/2020 0:00,13.209
200,10/20/2020 1:00,13.112
