"Plot Title: cedar_2m"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732848, SEN S/N: 20732848)","Coupler Detached (LGR S/N: 20732848)","Coupler Attached (LGR S/N: 20732848)","Host Connected (LGR S/N: 20732848)","Stopped (LGR S/N: 20732848)","End Of File (LGR S/N: 20732848)"
1,06/13/21 06:00:00 PM,26.622,Logged,,,,
2,06/13/21 07:00:00 PM,24.847,,,,,
3,06/13/21 08:00:00 PM,23.424,,,,,
4,06/13/21 09:00:00 PM,21.509,,,,,
5,06/13/21 10:00:00 PM,19.651,,,,,
6,06/13/21 11:00:00 PM,17.938,,,,,
7,06/14/21 12:00:00 AM,16.582,,,,,
8,06/14/21 01:00:00 AM,15.748,,,,,
9,06/14/21 02:00:00 AM,15.008,,,,,
10,06/14/21 03:00:00 AM,14.170,,,,,
11,06/14/21 04:00:00 AM,13.377,,,,,
12,06/14/21 05:00:00 AM,12.654,,,,,
13,06/14/21 06:00:00 AM,11.929,,,,,
14,06/14/21 07:00:00 AM,11.321,,,,,
15,06/14/21 08:00:00 AM,11.200,,,,,
16,06/14/21 09:00:00 AM,11.078,,,,,
17,06/14/21 10:00:00 AM,11.273,,,,,
18,06/14/21 11:00:00 AM,11.492,,,,,
19,06/14/21 12:00:00 PM,17.724,,,,,
20,06/14/21 01:00:00 PM,24.629,,,,,
21,06/14/21 02:00:00 PM,26.818,,,,,
22,06/14/21 03:00:00 PM,26.134,,,,,
23,06/14/21 04:00:00 PM,21.724,,,,,
24,06/14/21 05:00:00 PM,17.677,,,,,
25,06/14/21 06:00:00 PM,15.294,,,,,
26,06/14/21 07:00:00 PM,13.618,,,,,
27,06/14/21 08:00:00 PM,12.847,,,,,
28,06/14/21 09:00:00 PM,12.050,,,,,
29,06/14/21 10:00:00 PM,11.443,,,,,
30,06/14/21 11:00:00 PM,10.907,,,,,
31,06/15/21 12:00:00 AM,9.756,,,,,
32,06/15/21 01:00:00 AM,8.419,,,,,
33,06/15/21 02:00:00 AM,7.393,,,,,
34,06/15/21 03:00:00 AM,6.509,,,,,
35,06/15/21 04:00:00 AM,5.770,,,,,
36,06/15/21 05:00:00 AM,5.076,,,,,
37,06/15/21 06:00:00 AM,4.506,,,,,
38,06/15/21 07:00:00 AM,4.506,,,,,
39,06/15/21 08:00:00 AM,4.999,,,,,
40,06/15/21 09:00:00 AM,16.344,,,,,
41,06/15/21 10:00:00 AM,16.201,,,,,
42,06/15/21 11:00:00 AM,16.439,,,,,
43,06/15/21 12:00:00 PM,16.677,,,,,
44,06/15/21 01:00:00 PM,16.820,,,,,
45,06/15/21 02:00:00 PM,17.201,,,,,
46,06/15/21 03:00:00 PM,17.439,,,,,
47,06/15/21 04:00:00 PM,17.748,,,,,
48,06/15/21 05:00:00 PM,17.938,,,,,
49,06/15/21 06:00:00 PM,18.366,,,,,
50,06/15/21 07:00:00 PM,18.247,,,,,
51,06/15/21 08:00:00 PM,18.224,,,,,
52,06/15/21 09:00:00 PM,18.319,,,,,
53,06/15/21 10:00:00 PM,18.295,,,,,
54,06/15/21 11:00:00 PM,18.319,,,,,
55,06/16/21 12:00:00 AM,18.129,,,,,
56,06/16/21 01:00:00 AM,17.915,,,,,
57,06/16/21 02:00:00 AM,17.724,,,,,
58,06/16/21 03:00:00 AM,17.534,,,,,
59,06/16/21 04:00:00 AM,17.368,,,,,
