"Plot Title: 20733886"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)","GDD, DDc (LGR S/N: 20733886)","Bad Battery (LGR S/N: 20733886)","End Of File (LGR S/N: 20733886)"
1,11/21/19 06:00:00 PM,6.166,0.0,,,
2,11/21/19 07:00:00 PM,6.166,0.0,,,
3,11/21/19 08:00:00 PM,6.166,0.0,,,
4,11/21/19 09:00:00 PM,6.064,0.0,,,
5,11/21/19 10:00:00 PM,5.962,0.0,,,
6,11/21/19 11:00:00 PM,5.962,0.0,,,
7,11/22/19 12:00:00 AM,5.860,0.0,,,
8,11/22/19 01:00:00 AM,5.757,0.0,,,
9,11/22/19 02:00:00 AM,5.757,0.0,,,
10,11/22/19 03:00:00 AM,5.757,0.0,,,
11,11/22/19 04:00:00 AM,5.757,0.0,,,
12,11/22/19 05:00:00 AM,5.655,0.0,,,
13,11/22/19 06:00:00 AM,5.655,0.0,,,
14,11/22/19 07:00:00 AM,5.552,96.9,,,
15,11/22/19 08:00:00 AM,5.655,1270.1,,,
16,11/22/19 09:00:00 AM,6.268,9300.1,,,
17,11/22/19 10:00:00 AM,6.775,19289.0,,,
18,11/22/19 11:00:00 AM,6.978,18600.1,,,
19,11/22/19 12:00:00 PM,7.280,12400.1,0.000,,
20,11/22/19 01:00:00 PM,7.381,5511.1,,,
21,11/22/19 02:00:00 PM,7.079,6200.0,,,
22,11/22/19 03:00:00 PM,6.471,2152.8,,,
23,11/22/19 04:00:00 PM,5.860,1022.6,,,
24,11/22/19 05:00:00 PM,5.757,10.8,,,
25,11/22/19 06:00:00 PM,5.757,0.0,,,
26,11/22/19 07:00:00 PM,5.860,0.0,,,
27,11/22/19 08:00:00 PM,5.757,0.0,,,
28,11/22/19 09:00:00 PM,5.655,0.0,,,
29,11/22/19 10:00:00 PM,5.655,0.0,,,
30,11/22/19 11:00:00 PM,5.552,0.0,,,
31,11/23/19 12:00:00 AM,5.450,0.0,,,
32,11/23/19 01:00:00 AM,5.450,0.0,,,
33,11/23/19 02:00:00 AM,5.450,0.0,,,
34,11/23/19 03:00:00 AM,5.450,0.0,,,
35,11/23/19 04:00:00 AM,5.347,0.0,,,
36,11/23/19 05:00:00 AM,5.347,0.0,,,
37,11/23/19 06:00:00 AM,5.244,0.0,,,
38,11/23/19 07:00:00 AM,5.244,75.3,,,
39,11/23/19 08:00:00 AM,5.347,1205.6,,,
40,11/23/19 09:00:00 AM,6.064,8266.7,,,
41,11/23/19 10:00:00 AM,6.573,14466.8,,,
42,11/23/19 11:00:00 AM,6.978,17911.2,,,
43,11/23/19 12:00:00 PM,7.079,11711.2,0.000,,
44,11/23/19 01:00:00 PM,6.877,10677.8,,,
45,11/23/19 02:00:00 PM,6.775,6200.0,,,
46,11/23/19 03:00:00 PM,6.064,1463.9,,,
47,11/23/19 04:00:00 PM,5.450,958.0,,,
48,11/23/19 05:00:00 PM,5.450,10.8,,,
49,11/23/19 06:00:00 PM,5.450,0.0,,,
50,11/23/19 07:00:00 PM,5.552,0.0,,,
51,11/23/19 08:00:00 PM,5.450,0.0,,,
52,11/23/19 09:00:00 PM,5.450,0.0,,,
53,11/23/19 10:00:00 PM,5.347,0.0,,,
54,11/23/19 11:00:00 PM,5.244,0.0,,,
55,11/24/19 12:00:00 AM,5.244,0.0,,,
56,11/24/19 01:00:00 AM,5.141,0.0,,,
57,11/24/19 02:00:00 AM,5.141,0.0,,,
58,11/24/19 03:00:00 AM,5.037,0.0,,,
59,11/24/19 04:00:00 AM,5.037,0.0,,,
60,11/24/19 05:00:00 AM,5.037,0.0,,,
61,11/24/19 06:00:00 AM,4.934,0.0,,,
62,11/24/19 07:00:00 AM,4.934,64.6,,,
