"Plot Title: cedar_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)","GDD, DDc (LGR S/N: 20733886)"
1,06/18/20 06:00:00 PM,22.717,96.9,
2,06/18/20 07:00:00 PM,22.429,0.0,
3,06/18/20 08:00:00 PM,21.760,0.0,
4,06/18/20 09:00:00 PM,21.091,0.0,
5,06/18/20 10:00:00 PM,20.519,0.0,
6,06/18/20 11:00:00 PM,20.234,0.0,
7,06/19/20 12:00:00 AM,19.853,0.0,
8,06/19/20 01:00:00 AM,19.472,0.0,
9,06/19/20 02:00:00 AM,19.092,0.0,
10,06/19/20 03:00:00 AM,18.616,0.0,
11,06/19/20 04:00:00 AM,18.236,0.0,
12,06/19/20 05:00:00 AM,17.855,0.0,
13,06/19/20 06:00:00 AM,17.570,0.0,
14,06/19/20 07:00:00 AM,15.282,183.0,
15,06/19/20 08:00:00 AM,13.076,3788.9,
16,06/19/20 09:00:00 AM,15.760,0.0,
17,06/19/20 10:00:00 AM,20.043,0.0,
18,06/19/20 11:00:00 AM,22.812,0.0,
19,06/19/20 12:00:00 PM,27.665,2583.4,3.832
20,06/19/20 01:00:00 PM,19.948,41333.6,
21,06/19/20 02:00:00 PM,19.853,63378.2,
22,06/19/20 03:00:00 PM,19.662,60622.6,
23,06/19/20 04:00:00 PM,19.758,15844.5,
24,06/19/20 05:00:00 PM,19.758,27555.7,
25,06/19/20 06:00:00 PM,19.662,17222.3,
26,06/19/20 07:00:00 PM,19.092,4994.5,
27,06/19/20 08:00:00 PM,18.996,1550.0,
28,06/19/20 09:00:00 PM,18.806,10.8,
29,06/19/20 10:00:00 PM,18.901,0.0,
30,06/19/20 11:00:00 PM,18.711,0.0,
31,06/20/20 12:00:00 AM,18.711,0.0,
32,06/20/20 01:00:00 AM,18.711,0.0,
33,06/20/20 02:00:00 AM,18.711,0.0,
34,06/20/20 03:00:00 AM,18.616,0.0,
35,06/20/20 04:00:00 AM,18.616,0.0,
36,06/20/20 05:00:00 AM,18.616,0.0,
37,06/20/20 06:00:00 AM,18.616,387.5,
38,06/20/20 07:00:00 AM,18.806,2669.5,
39,06/20/20 08:00:00 AM,19.187,5511.1,
