Plot Title: cedar_light_pendant,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)",End Of File (LGR S/N: 20733886)
1,7/17/2020 18:00,26.097,15844.5,
2,7/17/2020 19:00,25.416,2152.8,
3,7/17/2020 20:00,25.416,1151.7,
4,7/17/2020 21:00,25.319,0,
5,7/17/2020 22:00,25.222,0,
6,7/17/2020 23:00,25.222,0,
7,7/18/2020 0:00,24.931,0,
8,7/18/2020 1:00,24.835,0,
9,7/18/2020 2:00,24.641,0,
10,7/18/2020 3:00,24.448,0,
11,7/18/2020 4:00,24.255,0,
12,7/18/2020 5:00,24.062,0,
13,7/18/2020 6:00,23.966,290.6,
14,7/18/2020 7:00,23.869,1722.2,
15,7/18/2020 8:00,24.255,10677.8,
16,7/18/2020 9:00,24.545,17222.3,
17,7/18/2020 10:00,25.028,37200.2,
18,7/18/2020 11:00,25.416,57867,
19,7/18/2020 12:00,26,57867,
20,7/18/2020 13:00,26.292,49600.3,
21,7/18/2020 14:00,26.683,44089.2,
22,7/18/2020 15:00,26.683,60622.6,
23,7/18/2020 16:00,27.075,49600.3,
24,7/18/2020 17:00,26.879,41333.6,
25,7/18/2020 18:00,26.488,11711.2,
26,7/18/2020 19:00,25.805,2755.6,
27,7/18/2020 20:00,25.708,1463.9,
28,7/18/2020 21:00,25.513,0,
29,7/18/2020 22:00,25.513,0,
30,7/18/2020 23:00,25.513,0,
31,7/19/2020 0:00,25.319,0,
32,7/19/2020 1:00,25.125,0,
33,7/19/2020 2:00,24.931,0,
34,7/19/2020 3:00,24.738,0,
35,7/19/2020 4:00,24.545,0,
36,7/19/2020 5:00,24.448,0,
37,7/19/2020 6:00,24.255,279.9,
38,7/19/2020 7:00,24.255,2583.4,
39,7/19/2020 8:00,24.448,10333.4,
40,7/19/2020 9:00,24.835,22044.6,
41,7/19/2020 10:00,25.222,37200.2,
42,7/19/2020 11:00,25.708,27555.7,
43,7/19/2020 12:00,26.097,49600.3,
44,7/19/2020 13:00,26.585,60622.6,
45,7/19/2020 14:00,26.195,11711.2,
46,7/19/2020 15:00,26.977,52355.9,
47,7/19/2020 16:00,27.272,28933.5,
48,7/19/2020 17:00,26.781,10333.4,
49,7/19/2020 18:00,26.097,5511.1,
50,7/19/2020 19:00,26,2583.4,
51,7/19/2020 20:00,25.902,1076.4,
52,7/19/2020 21:00,25.708,0,
53,7/19/2020 22:00,25.805,0,
54,7/19/2020 23:00,25.708,0,
55,7/20/2020 0:00,25.513,0,
56,7/20/2020 1:00,25.319,0,
57,7/20/2020 2:00,25.125,0,
58,7/20/2020 3:00,24.931,0,
59,7/20/2020 4:00,24.835,0,
60,7/20/2020 5:00,24.641,0,
61,7/20/2020 6:00,24.448,258.3,
62,7/20/2020 7:00,24.351,1808.3,
63,7/20/2020 8:00,24.641,10333.4,
64,7/20/2020 9:00,25.028,22044.6,
65,7/20/2020 10:00,25.416,34444.7,
66,7/20/2020 11:00,25.902,41333.6,
67,7/20/2020 12:00,26.488,52355.9,
68,7/20/2020 13:00,26.683,57867,
69,7/20/2020 14:00,27.173,66133.8,
70,7/20/2020 15:00,27.272,52355.9,
71,7/20/2020 16:00,27.468,41333.6,
72,7/20/2020 17:00,27.173,27555.7,
73,7/20/2020 18:00,27.173,18600.1,
74,7/20/2020 19:00,26.39,2411.1,
75,7/20/2020 20:00,26.195,1205.6,
76,7/20/2020 21:00,26.097,0,
77,7/20/2020 22:00,26.195,0,
78,7/20/2020 23:00,25.902,0,
79,7/21/2020 0:00,25.708,0,
80,7/21/2020 1:00,25.513,0,
81,7/21/2020 2:00,25.319,0,
82,7/21/2020 3:00,25.125,0,
83,7/21/2020 4:00,24.931,0,
84,7/21/2020 5:00,24.738,0,
85,7/21/2020 6:00,24.545,279.9,
86,7/21/2020 7:00,24.545,2497.2,
87,7/21/2020 8:00,24.545,6200,
88,7/21/2020 9:00,25.222,22044.6,
89,7/21/2020 10:00,25.416,31689.1,
90,7/21/2020 11:00,25.902,44089.2,
91,7/21/2020 12:00,26.39,37200.2,
92,7/21/2020 13:00,26.781,26178,
93,7/21/2020 14:00,27.173,63378.2,
94,7/21/2020 15:00,26.879,63378.2,
95,7/21/2020 16:00,27.37,33066.9,
96,7/21/2020 17:00,27.075,26178,
97,7/21/2020 18:00,26.879,14466.8,
98,7/21/2020 19:00,26.292,3272.2,
99,7/21/2020 20:00,26.097,1205.6,
100,7/21/2020 21:00,26.195,0,
101,7/21/2020 22:00,26.097,0,
102,7/21/2020 23:00,25.902,0,
103,7/22/2020 0:00,25.708,0,
104,7/22/2020 1:00,25.61,0,
105,7/22/2020 2:00,25.416,0,
106,7/22/2020 3:00,25.222,0,
107,7/22/2020 4:00,25.125,0,
108,7/22/2020 5:00,24.931,0,
109,7/22/2020 6:00,24.738,215.3,
110,7/22/2020 7:00,24.738,2927.8,
111,7/22/2020 8:00,24.835,8266.7,
112,7/22/2020 9:00,25.222,16533.4,
113,7/22/2020 10:00,25.416,15155.7,
114,7/22/2020 11:00,26,42711.4,
115,7/22/2020 12:00,26.488,49600.3,
116,7/22/2020 13:00,26.585,17911.2,
117,7/22/2020 14:00,27.468,85422.8,
118,7/22/2020 15:00,26.781,35822.5,
119,7/22/2020 16:00,26.292,13777.9,
120,7/22/2020 17:00,26.39,11022.3,
121,7/22/2020 18:00,26.097,3100,
122,7/22/2020 19:00,26,516.7,
123,7/22/2020 20:00,25.61,183,
124,7/22/2020 21:00,25.416,0,
125,7/22/2020 22:00,25.222,0,
126,7/22/2020 23:00,24.931,0,
127,7/23/2020 0:00,24.835,0,
128,7/23/2020 1:00,24.641,0,
129,7/23/2020 2:00,24.448,0,
130,7/23/2020 3:00,24.255,0,
131,7/23/2020 4:00,24.062,0,
132,7/23/2020 5:00,23.869,0,
133,7/23/2020 6:00,23.773,172.2,
134,7/23/2020 7:00,23.677,1377.8,
135,7/23/2020 8:00,23.869,9644.5,
136,7/23/2020 9:00,24.255,19289,
137,7/23/2020 10:00,24.545,33066.9,
138,7/23/2020 11:00,24.738,28933.5,
