"Plot Title: cedar_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)","Coupler Attached (LGR S/N: 20733886)","Host Connected (LGR S/N: 20733886)","Stopped (LGR S/N: 20733886)","End Of File (LGR S/N: 20733886)"
1,10/17/21 03:00:00 PM,10.357,15155.7,,,,
2,10/17/21 04:00:00 PM,9.965,1980.6,,,,
3,10/17/21 05:00:00 PM,9.768,2066.7,,,,
4,10/17/21 06:00:00 PM,9.669,322.9,,,,
5,10/17/21 07:00:00 PM,9.571,0.0,,,,
6,10/17/21 08:00:00 PM,9.472,0.0,,,,
7,10/17/21 09:00:00 PM,9.373,0.0,,,,
8,10/17/21 10:00:00 PM,9.373,0.0,,,,
9,10/17/21 11:00:00 PM,9.275,0.0,,,,
10,10/18/21 12:00:00 AM,9.077,0.0,,,,
11,10/18/21 01:00:00 AM,8.978,0.0,,,,
12,10/18/21 02:00:00 AM,8.879,0.0,,,,
13,10/18/21 03:00:00 AM,8.680,0.0,,,,
14,10/18/21 04:00:00 AM,8.680,0.0,,,,
15,10/18/21 05:00:00 AM,8.581,0.0,,,,
16,10/18/21 06:00:00 AM,8.382,0.0,,,,
17,10/18/21 07:00:00 AM,8.282,0.0,,,,
18,10/18/21 08:00:00 AM,8.282,2583.4,,,,
19,10/18/21 09:00:00 AM,8.680,5511.1,,,,
20,10/18/21 10:00:00 AM,9.472,24800.2,,,,
21,10/18/21 11:00:00 AM,10.455,176356.7,,,,
22,10/18/21 12:00:00 PM,10.161,34444.7,,,,
23,10/18/21 01:00:00 PM,9.965,38578.0,,,,
24,10/18/21 02:00:00 PM,9.768,23422.4,,,,
25,10/18/21 03:00:00 PM,10.259,22044.6,,,,
26,10/18/21 04:00:00 PM,9.669,11022.3,,,,
27,10/18/21 05:00:00 PM,9.373,4822.3,,,,
28,10/18/21 06:00:00 PM,8.978,1108.7,,,,
29,10/18/21 07:00:00 PM,8.879,0.0,,,,
30,10/18/21 08:00:00 PM,8.779,0.0,,,,
31,10/18/21 09:00:00 PM,8.680,0.0,,,,
32,10/18/21 10:00:00 PM,8.581,0.0,,,,
33,10/18/21 11:00:00 PM,8.581,0.0,,,,
34,10/19/21 12:00:00 AM,8.481,0.0,,,,
35,10/19/21 01:00:00 AM,8.382,0.0,,,,
36,10/19/21 02:00:00 AM,8.282,0.0,,,,
37,10/19/21 03:00:00 AM,8.282,0.0,,,,
38,10/19/21 04:00:00 AM,8.182,0.0,,,,
39,10/19/21 05:00:00 AM,8.082,0.0,,,,
40,10/19/21 06:00:00 AM,8.182,0.0,,,,
41,10/19/21 07:00:00 AM,8.082,0.0,,,,
42,10/19/21 08:00:00 AM,8.082,1550.0,,,,
43,10/19/21 09:00:00 AM,8.382,7233.4,,,,
44,10/19/21 10:00:00 AM,8.879,27555.7,,,,
45,10/19/21 11:00:00 AM,8.779,18600.1,,,,
46,10/19/21 12:00:00 PM,8.879,33066.9,,,,
47,10/19/21 01:00:00 PM,8.680,20666.8,,,,
48,10/19/21 02:00:00 PM,8.581,12400.1,,,,
49,10/19/21 03:00:00 PM,8.581,12400.1,,,,
50,10/19/21 04:00:00 PM,8.779,8611.2,,,,
51,10/19/21 05:00:00 PM,8.481,8266.7,,,,
52,10/19/21 06:00:00 PM,8.082,1076.4,,,,
53,10/19/21 07:00:00 PM,7.983,0.0,,,,
54,10/19/21 08:00:00 PM,7.882,0.0,,,,
55,10/19/21 09:00:00 PM,7.882,0.0,,,,
56,10/19/21 10:00:00 PM,7.782,0.0,,,,
57,10/19/21 11:00:00 PM,7.481,0.0,,,,
58,10/20/21 12:00:00 AM,7.179,0.0,,,,
59,10/20/21 01:00:00 AM,7.079,0.0,,,,
60,10/20/21 02:00:00 AM,6.877,0.0,,,,
61,10/20/21 03:00:00 AM,6.471,0.0,,,,
62,10/20/21 04:00:00 AM,6.370,0.0,,,,
63,10/20/21 05:00:00 AM,6.268,0.0,,,,
64,10/20/21 06:00:00 AM,6.166,0.0,,,,
65,10/20/21 07:00:00 AM,5.962,0.0,,,,
66,10/20/21 08:00:00 AM,5.860,699.7,,,,
67,10/20/21 09:00:00 AM,5.962,2927.8,,,,
68,10/20/21 10:00:00 AM,6.064,7233.4,,,,
69,10/20/21 11:00:00 AM,6.166,11711.2,,,,
70,10/20/21 12:00:00 PM,6.268,18600.1,,,,
71,10/20/21 01:00:00 PM,6.370,16533.4,,,,
72,10/20/21 02:00:00 PM,6.471,15155.7,,,,
73,10/20/21 03:00:00 PM,6.370,11711.2,,,,
74,10/20/21 04:00:00 PM,6.166,10677.8,,,,
75,10/20/21 05:00:00 PM,6.064,5511.1,,,,
76,10/20/21 06:00:00 PM,5.860,1463.9,,,,
77,10/20/21 07:00:00 PM,5.757,0.0,,,,
78,10/20/21 08:00:00 PM,5.757,0.0,,,,
79,10/20/21 09:00:00 PM,5.757,0.0,,,,
80,10/20/21 10:00:00 PM,5.757,0.0,,,,
81,10/20/21 11:00:00 PM,5.757,0.0,,,,
82,10/21/21 12:00:00 AM,5.757,0.0,,,,
83,10/21/21 01:00:00 AM,5.757,0.0,,,,
84,10/21/21 02:00:00 AM,5.757,0.0,,,,
85,10/21/21 03:00:00 AM,5.757,0.0,,,,
86,10/21/21 04:00:00 AM,5.757,0.0,,,,
87,10/21/21 05:00:00 AM,5.757,0.0,,,,
88,10/21/21 06:00:00 AM,5.757,0.0,,,,
89,10/21/21 07:00:00 AM,5.757,0.0,,,,
90,10/21/21 08:00:00 AM,5.860,1980.6,,,,
91,10/21/21 09:00:00 AM,5.962,7577.8,,,,
92,10/21/21 10:00:00 AM,5.962,5511.1,,,,
93,10/21/21 11:00:00 AM,6.573,14466.8,,,,
94,10/21/21 12:00:00 PM,6.166,8611.2,,,,
95,10/21/21 01:00:00 PM,6.166,6200.0,,,,
96,10/21/21 02:00:00 PM,6.268,8266.7,,,,
97,10/21/21 03:00:00 PM,6.268,3444.5,,,,
98,10/21/21 04:00:00 PM,6.166,2497.2,,,,
99,10/21/21 05:00:00 PM,6.166,850.4,,,,
100,10/21/21 06:00:00 PM,6.166,107.6,,,,
101,10/21/21 07:00:00 PM,6.268,0.0,,,,
102,10/21/21 08:00:00 PM,6.370,0.0,,,,
103,10/21/21 09:00:00 PM,6.370,0.0,,,,
104,10/21/21 10:00:00 PM,6.370,0.0,,,,
105,10/21/21 11:00:00 PM,6.471,0.0,,,,
106,10/22/21 12:00:00 AM,6.471,0.0,,,,
107,10/22/21 01:00:00 AM,6.573,0.0,,,,
108,10/22/21 02:00:00 AM,6.573,0.0,,,,
109,10/22/21 03:00:00 AM,6.573,0.0,,,,
110,10/22/21 04:00:00 AM,6.471,0.0,,,,
111,10/22/21 05:00:00 AM,6.471,0.0,,,,
112,10/22/21 06:00:00 AM,6.471,0.0,,,,
113,10/22/21 07:00:00 AM,6.573,0.0,,,,
114,10/22/21 08:00:00 AM,6.573,1463.9,,,,
115,10/22/21 09:00:00 AM,6.877,16533.4,,,,
116,10/22/21 10:00:00 AM,7.682,24800.2,,,,
117,10/22/21 11:00:00 AM,7.582,17911.2,,,,
118,10/22/21 12:00:00 PM,7.582,16533.4,,,,
119,10/22/21 01:00:00 PM,8.481,28933.5,,,,
120,10/22/21 02:00:00 PM,8.481,26178.0,,,,
121,10/22/21 03:00:00 PM,7.782,8266.7,,,,
122,10/22/21 04:00:00 PM,7.582,6200.0,,,,
123,10/22/21 05:00:00 PM,7.280,2927.8,,,,
124,10/22/21 06:00:00 PM,7.179,613.5,,,,
125,10/22/21 07:00:00 PM,7.179,0.0,,,,
126,10/22/21 08:00:00 PM,7.179,0.0,,,,
127,10/22/21 09:00:00 PM,7.079,0.0,,,,
128,10/22/21 10:00:00 PM,7.079,0.0,,,,
129,10/22/21 11:00:00 PM,7.079,0.0,,,,
130,10/23/21 12:00:00 AM,7.079,0.0,,,,
131,10/23/21 01:00:00 AM,6.978,0.0,,,,
132,10/23/21 02:00:00 AM,6.978,0.0,,,,
133,10/23/21 03:00:00 AM,6.978,0.0,,,,
134,10/23/21 04:00:00 AM,6.978,0.0,,,,
135,10/23/21 05:00:00 AM,6.877,0.0,,,,
136,10/23/21 06:00:00 AM,6.877,0.0,,,,
137,10/23/21 07:00:00 AM,6.775,0.0,,,,
138,10/23/21 08:00:00 AM,6.877,1313.2,,,,
139,10/23/21 09:00:00 AM,6.978,2066.7,,,,
140,10/23/21 10:00:00 AM,6.978,2669.5,,,,
141,10/23/21 11:00:00 AM,7.682,19977.9,,,,
142,10/23/21 12:00:00 PM,7.079,5511.1,,,,
143,10/23/21 01:00:00 PM,7.481,24800.2,,,,
144,10/23/21 02:00:00 PM,7.582,23422.4,,,,
145,10/23/21 03:00:00 PM,7.882,19289.0,,,,
146,10/23/21 04:00:00 PM,7.079,6200.0,,,,
147,10/23/21 05:00:00 PM,6.775,2927.8,,,,
148,10/23/21 06:00:00 PM,6.674,731.9,,,,
149,10/23/21 07:00:00 PM,6.573,0.0,,,,
150,10/23/21 08:00:00 PM,6.573,0.0,,,,
151,10/23/21 09:00:00 PM,6.573,0.0,,,,
152,10/23/21 10:00:00 PM,6.471,0.0,,,,
153,10/23/21 11:00:00 PM,6.471,0.0,,,,
154,10/24/21 12:00:00 AM,6.370,0.0,,,,
155,10/24/21 01:00:00 AM,6.268,0.0,,,,
156,10/24/21 02:00:00 AM,6.268,0.0,,,,
157,10/24/21 03:00:00 AM,6.064,0.0,,,,
158,10/24/21 04:00:00 AM,5.962,0.0,,,,
159,10/24/21 05:00:00 AM,5.962,0.0,,,,
160,10/24/21 06:00:00 AM,5.860,0.0,,,,
161,10/24/21 07:00:00 AM,5.860,0.0,,,,
162,10/24/21 08:00:00 AM,5.757,107.6,,,,
163,10/24/21 09:00:00 AM,5.757,645.8,,,,
164,10/24/21 10:00:00 AM,5.655,1324.0,,,,
165,10/24/21 11:00:00 AM,5.757,7233.4,,,,
166,10/24/21 12:00:00 PM,5.552,3788.9,,,,
167,10/24/21 01:00:00 PM,5.655,6544.5,,,,
168,10/24/21 02:00:00 PM,5.655,5166.7,,,,
169,10/24/21 03:00:00 PM,5.450,3100.0,,,,
170,10/24/21 04:00:00 PM,5.552,4477.8,,,,
171,10/24/21 05:00:00 PM,5.450,1980.6,,,,
172,10/24/21 06:00:00 PM,5.450,366.0,,,,
173,10/24/21 07:00:00 PM,5.347,0.0,,,,
174,10/24/21 08:00:00 PM,5.347,0.0,,,,
175,10/24/21 09:00:00 PM,5.244,0.0,,,,
176,10/24/21 10:00:00 PM,5.141,0.0,,,,
177,10/24/21 11:00:00 PM,5.037,0.0,,,,
178,10/25/21 12:00:00 AM,5.037,0.0,,,,
179,10/25/21 01:00:00 AM,4.934,0.0,,,,
180,10/25/21 02:00:00 AM,4.831,0.0,,,,
181,10/25/21 03:00:00 AM,4.831,0.0,,,,
182,10/25/21 04:00:00 AM,4.831,0.0,,,,
183,10/25/21 05:00:00 AM,4.727,0.0,,,,
184,10/25/21 06:00:00 AM,4.623,0.0,,,,
185,10/25/21 07:00:00 AM,4.831,0.0,,,,
186,10/25/21 08:00:00 AM,4.727,1033.3,,,,
187,10/25/21 09:00:00 AM,5.037,4994.5,,,,
188,10/25/21 10:00:00 AM,5.757,33066.9,,,,
189,10/25/21 11:00:00 AM,6.064,46844.8,,,,
190,10/25/21 12:00:00 PM,7.582,77156.1,,,,
191,10/25/21 01:00:00 PM,7.079,34444.7,,,,
192,10/25/21 02:00:00 PM,5.757,6544.5,,,,
193,10/25/21 03:00:00 PM,6.064,10333.4,,,,
194,10/25/21 04:00:00 PM,5.860,9644.5,,,,
195,10/25/21 05:00:00 PM,5.552,3444.5,,,,
196,10/25/21 06:00:00 PM,5.244,355.2,,,,
197,10/25/21 07:00:00 PM,5.244,0.0,,,,
198,10/25/21 08:00:00 PM,5.141,0.0,,,,
199,10/25/21 09:00:00 PM,5.141,0.0,,,,
200,10/25/21 10:00:00 PM,5.037,0.0,,,,
201,10/25/21 11:00:00 PM,5.037,0.0,,,,
202,10/26/21 12:00:00 AM,5.037,0.0,,,,
203,10/26/21 01:00:00 AM,5.037,0.0,,,,
204,10/26/21 02:00:00 AM,5.037,0.0,,,,
205,10/26/21 03:00:00 AM,4.934,0.0,,,,
206,10/26/21 04:00:00 AM,4.934,0.0,,,,
207,10/26/21 05:00:00 AM,4.831,0.0,,,,
208,10/26/21 06:00:00 AM,4.831,0.0,,,,
209,10/26/21 07:00:00 AM,4.727,0.0,,,,
210,10/26/21 08:00:00 AM,4.831,807.3,,,,
211,10/26/21 09:00:00 AM,4.831,1808.3,,,,
212,10/26/21 10:00:00 AM,5.037,7577.8,,,,
213,10/26/21 11:00:00 AM,5.141,13089.0,,,,
214,10/26/21 12:00:00 PM,5.244,11022.3,,,,
215,10/26/21 01:00:00 PM,5.141,7233.4,,,,
216,10/26/21 02:00:00 PM,5.141,12400.1,,,,
217,10/26/21 03:00:00 PM,5.244,11711.2,,,,
218,10/26/21 04:00:00 PM,4.934,3444.5,,,,
219,10/26/21 05:00:00 PM,5.037,3616.7,,,,
220,10/26/21 06:00:00 PM,4.831,839.6,,,,
221,10/26/21 07:00:00 PM,4.831,0.0,,,,
222,10/26/21 08:00:00 PM,4.934,0.0,,,,
223,10/26/21 09:00:00 PM,4.831,0.0,,,,
224,10/26/21 10:00:00 PM,4.831,0.0,,,,
225,10/26/21 11:00:00 PM,4.831,0.0,,,,
226,10/27/21 12:00:00 AM,4.831,0.0,,,,
227,10/27/21 01:00:00 AM,4.934,0.0,,,,
228,10/27/21 02:00:00 AM,4.831,0.0,,,,
229,10/27/21 03:00:00 AM,4.831,0.0,,,,
230,10/27/21 04:00:00 AM,4.831,0.0,,,,
231,10/27/21 05:00:00 AM,4.934,0.0,,,,
232,10/27/21 06:00:00 AM,4.831,0.0,,,,
233,10/27/21 07:00:00 AM,4.831,0.0,,,,
