"Plot Title: cedar_light_pendant_1"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21207366, SEN S/N: 21207366)","Intensity, Lux (LGR S/N: 21207366, SEN S/N: 21207366)","Coupler Detached (LGR S/N: 21207366)","Host Connected (LGR S/N: 21207366)","Coupler Attached (LGR S/N: 21207366)","Stopped (LGR S/N: 21207366)","End Of File (LGR S/N: 21207366)"
1,11/12/21 04:45:20 PM,18.521,0.0,,,,,
2,11/12/21 04:48:38 PM,,,Logged,,,,
3,11/12/21 05:45:20 PM,17.284,64.6,,,,,
4,11/12/21 06:45:20 PM,15.378,0.0,,,,,
5,11/12/21 07:45:20 PM,14.613,0.0,,,,,
6,11/12/21 08:45:20 PM,13.942,0.0,,,,,
7,11/12/21 09:45:20 PM,13.461,0.0,,,,,
8,11/12/21 10:45:20 PM,12.980,0.0,,,,,
9,11/12/21 11:45:20 PM,12.497,0.0,,,,,
10,11/13/21 12:45:20 AM,12.110,0.0,,,,,
11,11/13/21 01:45:20 AM,11.722,0.0,,,,,
12,11/13/21 02:45:20 AM,11.431,0.0,,,,,
13,11/13/21 03:45:20 AM,11.041,0.0,,,,,
14,11/13/21 04:45:20 AM,5.141,0.0,,,,,
15,11/13/21 05:45:20 AM,2.943,0.0,,,,,
16,11/13/21 06:45:20 AM,11.139,0.0,,,,,
17,11/13/21 07:45:20 AM,14.900,10.8,,,,,
18,11/13/21 08:45:20 AM,15.664,0.0,,,,,
19,11/13/21 09:45:20 AM,17.665,43.1,,,,,
20,11/13/21 10:45:20 AM,6.064,7233.4,,,,,
21,11/13/21 11:45:20 AM,5.347,15844.5,,,,,
22,11/13/21 12:45:20 PM,5.450,17911.2,,,,,
23,11/13/21 01:45:20 PM,5.655,10333.4,,,,,
24,11/13/21 02:45:20 PM,5.244,5166.7,,,,,
25,11/13/21 03:45:20 PM,5.037,764.2,,,,,
26,11/13/21 04:45:20 PM,4.934,150.7,,,,,
27,11/13/21 05:45:20 PM,5.141,0.0,,,,,
28,11/13/21 06:45:20 PM,5.037,0.0,,,,,
29,11/13/21 07:45:20 PM,5.141,0.0,,,,,
30,11/13/21 08:45:20 PM,5.141,0.0,,,,,
31,11/13/21 09:45:20 PM,5.141,0.0,,,,,
32,11/13/21 10:45:20 PM,5.141,0.0,,,,,
33,11/13/21 11:45:20 PM,5.141,0.0,,,,,
34,11/14/21 12:45:20 AM,5.141,0.0,,,,,
35,11/14/21 01:45:20 AM,5.037,0.0,,,,,
36,11/14/21 02:45:20 AM,5.141,0.0,,,,,
37,11/14/21 03:45:20 AM,5.037,0.0,,,,,
38,11/14/21 04:45:20 AM,5.037,0.0,,,,,
39,11/14/21 05:45:20 AM,5.037,0.0,,,,,
40,11/14/21 06:45:20 AM,5.037,0.0,,,,,
41,11/14/21 07:45:20 AM,5.141,462.9,,,,,
42,11/14/21 08:45:20 AM,5.347,2411.1,,,,,
43,11/14/21 09:45:20 AM,5.450,4994.5,,,,,
44,11/14/21 10:45:20 AM,5.655,5166.7,,,,,
45,11/14/21 11:45:20 AM,5.860,11022.3,,,,,
46,11/14/21 12:45:20 PM,6.064,9300.1,,,,,
47,11/14/21 01:45:20 PM,6.166,9644.5,,,,,
48,11/14/21 02:45:20 PM,5.962,8266.7,,,,,
49,11/14/21 03:45:20 PM,5.450,796.5,,,,,
50,11/14/21 04:45:20 PM,5.552,86.1,,,,,
51,11/14/21 05:45:20 PM,5.450,0.0,,,,,
52,11/14/21 06:45:20 PM,5.450,0.0,,,,,
53,11/14/21 07:45:20 PM,5.450,0.0,,,,,
54,11/14/21 08:45:20 PM,5.450,0.0,,,,,
55,11/14/21 09:45:20 PM,5.450,0.0,,,,,
56,11/14/21 10:45:20 PM,5.450,0.0,,,,,
57,11/14/21 11:45:20 PM,5.450,0.0,,,,,
58,11/15/21 12:45:20 AM,5.655,0.0,,,,,
59,11/15/21 01:45:20 AM,5.655,0.0,,,,,
60,11/15/21 02:45:20 AM,5.655,0.0,,,,,
61,11/15/21 03:45:20 AM,5.655,0.0,,,,,
62,11/15/21 04:45:20 AM,5.552,0.0,,,,,
63,11/15/21 05:45:20 AM,5.450,0.0,,,,,
64,11/15/21 06:45:20 AM,5.450,0.0,,,,,
65,11/15/21 07:45:20 AM,5.552,753.5,,,,,
66,11/15/21 08:45:20 AM,5.655,2497.2,,,,,
67,11/15/21 09:45:20 AM,5.860,3616.7,,,,,
68,11/15/21 10:45:20 AM,5.962,5166.7,,,,,
69,11/15/21 11:45:20 AM,6.268,14466.8,,,,,
70,11/15/21 12:45:20 PM,6.268,8266.7,,,,,
71,11/15/21 01:45:20 PM,6.268,4477.8,,,,,
72,11/15/21 02:45:20 PM,6.268,2497.2,,,,,
73,11/15/21 03:45:20 PM,6.268,1162.5,,,,,
74,11/15/21 04:45:20 PM,6.166,10.8,,,,,
75,11/15/21 05:45:20 PM,5.962,0.0,,,,,
76,11/15/21 06:45:20 PM,5.757,0.0,,,,,
77,11/15/21 07:45:20 PM,6.064,0.0,,,,,
78,11/15/21 08:45:20 PM,6.064,0.0,,,,,
79,11/15/21 09:45:20 PM,6.064,0.0,,,,,
80,11/15/21 10:45:20 PM,6.064,0.0,,,,,
81,11/15/21 11:45:20 PM,6.064,0.0,,,,,
82,11/16/21 12:45:20 AM,6.064,0.0,,,,,
83,11/16/21 01:45:20 AM,5.962,0.0,,,,,
84,11/16/21 02:45:20 AM,5.962,0.0,,,,,
85,11/16/21 03:45:20 AM,5.860,0.0,,,,,
86,11/16/21 04:45:20 AM,5.757,0.0,,,,,
87,11/16/21 05:45:20 AM,5.757,0.0,,,,,
88,11/16/21 06:45:20 AM,5.655,0.0,,,,,
89,11/16/21 07:45:20 AM,5.655,366.0,,,,,
90,11/16/21 08:45:20 AM,5.757,1463.9,,,,,
91,11/16/21 09:45:20 AM,5.962,2927.8,,,,,
92,11/16/21 10:45:20 AM,6.166,7233.4,,,,,
93,11/16/21 11:45:20 AM,6.370,9300.1,,,,,
94,11/16/21 12:45:20 PM,6.573,22044.6,,,,,
95,11/16/21 01:45:20 PM,6.370,9300.1,,,,,
96,11/16/21 02:45:20 PM,6.370,6200.0,,,,,
97,11/16/21 03:45:20 PM,6.166,893.4,,,,,
98,11/16/21 04:45:20 PM,6.064,86.1,,,,,
99,11/16/21 05:45:20 PM,5.962,0.0,,,,,
100,11/16/21 06:45:20 PM,5.860,0.0,,,,,
101,11/16/21 07:45:20 PM,5.757,0.0,,,,,
102,11/16/21 08:45:20 PM,5.655,0.0,,,,,
103,11/16/21 09:45:20 PM,5.655,0.0,,,,,
104,11/16/21 10:45:20 PM,5.552,0.0,,,,,
105,11/16/21 11:45:20 PM,5.450,0.0,,,,,
106,11/17/21 12:45:20 AM,5.450,0.0,,,,,
107,11/17/21 01:45:20 AM,5.450,0.0,,,,,
108,11/17/21 02:45:20 AM,5.347,0.0,,,,,
109,11/17/21 03:45:20 AM,5.347,0.0,,,,,
110,11/17/21 04:45:20 AM,5.244,0.0,,,,,
111,11/17/21 05:45:20 AM,5.244,0.0,,,,,
112,11/17/21 06:45:20 AM,5.244,0.0,,,,,
113,11/17/21 07:45:20 AM,5.141,452.1,,,,,
114,11/17/21 08:45:20 AM,5.347,1550.0,,,,,
115,11/17/21 09:45:20 AM,5.655,3444.5,,,,,
116,11/17/21 10:45:20 AM,5.962,7577.8,,,,,
117,11/17/21 11:45:20 AM,5.962,10677.8,,,,,
118,11/17/21 12:45:20 PM,5.860,19977.9,,,,,
119,11/17/21 01:45:20 PM,5.655,12400.1,,,,,
120,11/17/21 02:45:20 PM,5.655,6544.5,,,,,
121,11/17/21 03:45:20 PM,5.347,947.2,,,,,
122,11/17/21 04:45:20 PM,5.141,118.4,,,,,
123,11/17/21 05:45:20 PM,5.141,0.0,,,,,
124,11/17/21 06:45:20 PM,5.450,0.0,,,,,
125,11/17/21 07:45:20 PM,5.347,0.0,,,,,
126,11/17/21 08:45:20 PM,5.347,0.0,,,,,
127,11/17/21 09:45:20 PM,5.244,0.0,,,,,
128,11/17/21 10:45:20 PM,5.141,0.0,,,,,
129,11/17/21 11:45:20 PM,5.141,0.0,,,,,
130,11/18/21 12:45:20 AM,5.037,0.0,,,,,
131,11/18/21 01:45:20 AM,5.037,0.0,,,,,
132,11/18/21 02:45:20 AM,4.934,0.0,,,,,
133,11/18/21 03:45:20 AM,4.934,0.0,,,,,
134,11/18/21 04:45:20 AM,4.934,0.0,,,,,
135,11/18/21 05:45:20 AM,4.934,0.0,,,,,
136,11/18/21 06:45:20 AM,4.831,0.0,,,,,
137,11/18/21 07:45:20 AM,4.934,645.8,,,,,
138,11/18/21 08:45:20 AM,5.037,2066.7,,,,,
139,11/18/21 09:45:20 AM,5.141,3961.1,,,,,
140,11/18/21 10:45:20 AM,5.347,4477.8,,,,,
141,11/18/21 11:45:20 AM,5.037,1076.4,,,,,
142,11/18/21 12:45:20 PM,5.244,3444.5,,,,,
143,11/18/21 01:45:20 PM,5.244,3961.1,,,,,
144,11/18/21 02:45:20 PM,5.037,1216.3,,,,,
145,11/18/21 03:45:20 PM,5.037,430.6,,,,,
146,11/18/21 04:45:20 PM,4.934,32.3,,,,,
147,11/18/21 05:45:20 PM,4.934,0.0,,,,,
148,11/18/21 06:45:20 PM,4.934,0.0,,,,,
149,11/18/21 07:45:20 PM,4.934,0.0,,,,,
150,11/18/21 08:45:20 PM,4.934,0.0,,,,,
151,11/18/21 09:45:20 PM,4.831,0.0,,,,,
152,11/18/21 10:45:20 PM,4.831,0.0,,,,,
153,11/18/21 11:45:20 PM,4.831,0.0,,,,,
154,11/19/21 12:45:20 AM,4.831,0.0,,,,,
155,11/19/21 01:45:20 AM,4.831,0.0,,,,,
156,11/19/21 02:45:20 AM,4.831,0.0,,,,,
157,11/19/21 03:45:20 AM,4.727,0.0,,,,,
158,11/19/21 04:45:20 AM,4.727,0.0,,,,,
159,11/19/21 05:45:20 AM,4.727,0.0,,,,,
160,11/19/21 06:45:20 AM,4.623,0.0,,,,,
161,11/19/21 07:45:20 AM,4.623,570.5,,,,,
162,11/19/21 08:45:20 AM,4.727,1808.3,,,,,
163,11/19/21 09:45:20 AM,5.141,3100.0,,,,,
164,11/19/21 10:45:20 AM,5.244,5166.7,,,,,
165,11/19/21 11:45:20 AM,5.450,7577.8,,,,,
166,11/19/21 12:45:20 PM,5.244,17911.2,,,,,
167,11/19/21 01:45:20 PM,5.450,8611.2,,,,,
168,11/19/21 02:45:20 PM,5.244,7577.8,,,,,
169,11/19/21 03:45:20 PM,5.141,721.2,,,,,
170,11/19/21 04:45:20 PM,5.244,107.6,,,,,
171,11/19/21 05:45:20 PM,5.037,0.0,,,,,
172,11/19/21 06:45:20 PM,5.141,0.0,,,,,
173,11/19/21 07:45:20 PM,5.141,0.0,,,,,
174,11/19/21 08:45:20 PM,5.037,0.0,,,,,
175,11/19/21 09:45:20 PM,4.934,0.0,,,,,
176,11/19/21 10:45:20 PM,4.831,0.0,,,,,
177,11/19/21 11:45:20 PM,4.727,0.0,,,,,
178,11/20/21 12:45:20 AM,4.727,0.0,,,,,
179,11/20/21 01:45:20 AM,4.727,0.0,,,,,
180,11/20/21 02:45:20 AM,4.623,0.0,,,,,
181,11/20/21 03:45:20 AM,4.519,0.0,,,,,
182,11/20/21 04:45:20 AM,4.519,0.0,,,,,
183,11/20/21 05:45:20 AM,4.415,0.0,,,,,
184,11/20/21 06:45:20 AM,4.311,0.0,,,,,
185,11/20/21 07:45:20 AM,4.415,398.3,,,,,
186,11/20/21 08:45:20 AM,4.415,1550.0,,,,,
187,11/20/21 09:45:20 AM,4.623,3100.0,,,,,
188,11/20/21 10:45:20 AM,4.934,5511.1,,,,,
189,11/20/21 11:45:20 AM,5.141,9300.1,,,,,
190,11/20/21 12:45:20 PM,5.141,21355.7,,,,,
191,11/20/21 01:45:20 PM,5.347,16533.4,,,,,
192,11/20/21 02:45:20 PM,5.141,6200.0,,,,,
193,11/20/21 03:45:20 PM,4.727,538.2,,,,,
194,11/20/21 04:45:20 PM,4.831,96.9,,,,,
195,11/20/21 05:45:20 PM,4.727,0.0,,,,,
196,11/20/21 06:45:20 PM,4.727,0.0,,,,,
197,11/20/21 07:45:20 PM,4.623,0.0,,,,,
198,11/20/21 08:45:20 PM,4.519,0.0,,,,,
