"Plot Title: gumboot_2m"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732847, SEN S/N: 20732847)","GDD, DDc (LGR S/N: 20732847)"
1,06/19/20 06:00:00 PM,17.558,
2,06/19/20 07:00:00 PM,17.677,
3,06/19/20 08:00:00 PM,17.653,
4,06/19/20 09:00:00 PM,17.724,
5,06/19/20 10:00:00 PM,17.653,
6,06/19/20 11:00:00 PM,17.701,
7,06/20/20 12:00:00 AM,17.510,
8,06/20/20 01:00:00 AM,17.629,
9,06/20/20 02:00:00 AM,17.653,
10,06/20/20 03:00:00 AM,17.629,
11,06/20/20 04:00:00 AM,17.629,
12,06/20/20 05:00:00 AM,17.558,
13,06/20/20 06:00:00 AM,17.534,
14,06/20/20 07:00:00 AM,17.510,
15,06/20/20 08:00:00 AM,17.582,
16,06/20/20 09:00:00 AM,17.558,
17,06/20/20 10:00:00 AM,17.677,
18,06/20/20 11:00:00 AM,17.891,
19,06/20/20 12:00:00 PM,17.938,0.000
20,06/20/20 01:00:00 PM,18.105,
21,06/20/20 02:00:00 PM,18.247,
22,06/20/20 03:00:00 PM,18.509,
23,06/20/20 04:00:00 PM,18.533,
24,06/20/20 05:00:00 PM,18.747,
25,06/20/20 06:00:00 PM,18.652,
26,06/20/20 07:00:00 PM,19.865,
27,06/20/20 08:00:00 PM,18.557,
28,06/20/20 09:00:00 PM,18.604,
29,06/20/20 10:00:00 PM,18.343,
30,06/20/20 11:00:00 PM,18.343,
31,06/21/20 12:00:00 AM,18.414,
32,06/21/20 01:00:00 AM,18.390,
33,06/21/20 02:00:00 AM,18.343,
34,06/21/20 03:00:00 AM,18.319,
35,06/21/20 04:00:00 AM,18.390,
36,06/21/20 05:00:00 AM,18.271,
37,06/21/20 06:00:00 AM,18.271,
38,06/21/20 07:00:00 AM,18.271,
39,06/21/20 08:00:00 AM,18.271,
40,06/21/20 09:00:00 AM,18.319,
41,06/21/20 10:00:00 AM,18.343,
42,06/21/20 11:00:00 AM,18.509,
43,06/21/20 12:00:00 PM,18.699,0.000
44,06/21/20 01:00:00 PM,18.723,
45,06/21/20 02:00:00 PM,18.842,
46,06/21/20 03:00:00 PM,18.937,
47,06/21/20 04:00:00 PM,19.151,
48,06/21/20 05:00:00 PM,19.341,
49,06/21/20 06:00:00 PM,19.365,
50,06/21/20 07:00:00 PM,19.270,
51,06/21/20 08:00:00 PM,19.270,
52,06/21/20 09:00:00 PM,19.222,
53,06/21/20 10:00:00 PM,19.579,
54,06/21/20 11:00:00 PM,19.318,
55,06/22/20 12:00:00 AM,19.246,
56,06/22/20 01:00:00 AM,19.341,
57,06/22/20 02:00:00 AM,19.246,
58,06/22/20 03:00:00 AM,19.222,
59,06/22/20 04:00:00 AM,19.270,
60,06/22/20 05:00:00 AM,19.270,
61,06/22/20 06:00:00 AM,19.199,
62,06/22/20 07:00:00 AM,19.199,
63,06/22/20 08:00:00 AM,19.222,
64,06/22/20 09:00:00 AM,19.270,
65,06/22/20 10:00:00 AM,19.341,
66,06/22/20 11:00:00 AM,19.365,
67,06/22/20 12:00:00 PM,19.627,0.218
68,06/22/20 01:00:00 PM,19.651,
69,06/22/20 02:00:00 PM,20.007,
70,06/22/20 03:00:00 PM,20.055,
71,06/22/20 04:00:00 PM,19.960,
72,06/22/20 05:00:00 PM,20.317,
73,06/22/20 06:00:00 PM,20.150,
74,06/22/20 07:00:00 PM,20.269,
75,06/22/20 08:00:00 PM,20.436,
76,06/22/20 09:00:00 PM,20.436,
77,06/22/20 10:00:00 PM,20.174,
78,06/22/20 11:00:00 PM,20.269,
79,06/23/20 12:00:00 AM,20.388,
80,06/23/20 01:00:00 AM,20.222,
81,06/23/20 02:00:00 AM,20.269,
82,06/23/20 03:00:00 AM,20.198,
83,06/23/20 04:00:00 AM,20.246,
84,06/23/20 05:00:00 AM,20.174,
85,06/23/20 06:00:00 AM,20.174,
86,06/23/20 07:00:00 AM,20.150,
87,06/23/20 08:00:00 AM,20.150,
88,06/23/20 09:00:00 AM,20.126,
89,06/23/20 10:00:00 AM,20.317,
90,06/23/20 11:00:00 AM,20.507,
91,06/23/20 12:00:00 PM,20.246,0.964
92,06/23/20 01:00:00 PM,20.507,
93,06/23/20 02:00:00 PM,20.722,
94,06/23/20 03:00:00 PM,21.151,
95,06/23/20 04:00:00 PM,21.032,
96,06/23/20 05:00:00 PM,20.960,
97,06/23/20 06:00:00 PM,21.151,
98,06/23/20 07:00:00 PM,21.366,
99,06/23/20 08:00:00 PM,20.913,
100,06/23/20 09:00:00 PM,21.366,
101,06/23/20 10:00:00 PM,20.865,
102,06/23/20 11:00:00 PM,21.318,
103,06/24/20 12:00:00 AM,21.199,
104,06/24/20 01:00:00 AM,20.984,
105,06/24/20 02:00:00 AM,21.175,
106,06/24/20 03:00:00 AM,20.960,
107,06/24/20 04:00:00 AM,21.079,
108,06/24/20 05:00:00 AM,21.056,
109,06/24/20 06:00:00 AM,21.056,
110,06/24/20 07:00:00 AM,21.103,
111,06/24/20 08:00:00 AM,21.056,
112,06/24/20 09:00:00 AM,21.079,
113,06/24/20 10:00:00 AM,21.103,
114,06/24/20 11:00:00 AM,21.390,
115,06/24/20 12:00:00 PM,21.652,2.509
116,06/24/20 01:00:00 PM,21.199,
117,06/24/20 02:00:00 PM,21.604,
118,06/24/20 03:00:00 PM,21.509,
119,06/24/20 04:00:00 PM,22.058,
120,06/24/20 05:00:00 PM,21.127,
121,06/24/20 06:00:00 PM,21.915,
122,06/24/20 07:00:00 PM,22.106,
123,06/24/20 08:00:00 PM,21.390,
124,06/24/20 09:00:00 PM,21.748,
125,06/24/20 10:00:00 PM,22.130,
126,06/24/20 11:00:00 PM,21.867,
127,06/25/20 12:00:00 AM,21.581,
128,06/25/20 01:00:00 AM,21.915,
129,06/25/20 02:00:00 AM,21.772,
130,06/25/20 03:00:00 AM,21.724,
131,06/25/20 04:00:00 AM,21.724,
132,06/25/20 05:00:00 AM,21.557,
133,06/25/20 06:00:00 AM,21.413,
134,06/25/20 07:00:00 AM,21.413,
135,06/25/20 08:00:00 AM,21.223,
136,06/25/20 09:00:00 AM,21.151,
137,06/25/20 10:00:00 AM,21.294,
138,06/25/20 11:00:00 AM,21.366,
139,06/25/20 12:00:00 PM,21.581,4.293
140,06/25/20 01:00:00 PM,21.581,
141,06/25/20 02:00:00 PM,21.891,
