"Plot Title: gumboot_2m"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732847, SEN S/N: 20732847)","Coupler Detached (LGR S/N: 20732847)","Coupler Attached (LGR S/N: 20732847)","Host Connected (LGR S/N: 20732847)","Stopped (LGR S/N: 20732847)","End Of File (LGR S/N: 20732847)"
1,07/17/20 06:00:00 PM,24.508,Logged,,,,
2,07/17/20 07:00:00 PM,24.750,,,,,
3,07/17/20 08:00:00 PM,24.726,,,,,
4,07/17/20 09:00:00 PM,24.484,,,,,
5,07/17/20 10:00:00 PM,24.605,,,,,
6,07/17/20 11:00:00 PM,24.750,,,,,
7,07/18/20 12:00:00 AM,24.629,,,,,
8,07/18/20 01:00:00 AM,24.460,,,,,
9,07/18/20 02:00:00 AM,24.315,,,,,
10,07/18/20 03:00:00 AM,24.146,,,,,
11,07/18/20 04:00:00 AM,23.954,,,,,
12,07/18/20 05:00:00 AM,23.833,,,,,
13,07/18/20 06:00:00 AM,23.665,,,,,
14,07/18/20 07:00:00 AM,23.569,,,,,
15,07/18/20 08:00:00 AM,23.521,,,,,
16,07/18/20 09:00:00 AM,23.521,,,,,
17,07/18/20 10:00:00 AM,23.569,,,,,
18,07/18/20 11:00:00 AM,23.545,,,,,
19,07/18/20 12:00:00 PM,23.785,,,,,
20,07/18/20 01:00:00 PM,23.978,,,,,
21,07/18/20 02:00:00 PM,24.315,,,,,
22,07/18/20 03:00:00 PM,24.363,,,,,
23,07/18/20 04:00:00 PM,24.653,,,,,
24,07/18/20 05:00:00 PM,24.605,,,,,
25,07/18/20 06:00:00 PM,24.895,,,,,
26,07/18/20 07:00:00 PM,24.823,,,,,
27,07/18/20 08:00:00 PM,24.944,,,,,
28,07/18/20 09:00:00 PM,24.774,,,,,
29,07/18/20 10:00:00 PM,24.968,,,,,
30,07/18/20 11:00:00 PM,25.065,,,,,
31,07/19/20 12:00:00 AM,24.919,,,,,
32,07/19/20 01:00:00 AM,24.798,,,,,
33,07/19/20 02:00:00 AM,24.629,,,,,
34,07/19/20 03:00:00 AM,24.484,,,,,
35,07/19/20 04:00:00 AM,24.339,,,,,
36,07/19/20 05:00:00 AM,24.171,,,,,
37,07/19/20 06:00:00 AM,24.026,,,,,
38,07/19/20 07:00:00 AM,23.905,,,,,
39,07/19/20 08:00:00 AM,23.857,,,,,
40,07/19/20 09:00:00 AM,23.809,,,,,
41,07/19/20 10:00:00 AM,23.905,,,,,
42,07/19/20 11:00:00 AM,23.930,,,,,
43,07/19/20 12:00:00 PM,24.098,,,,,
44,07/19/20 01:00:00 PM,24.291,,,,,
45,07/19/20 02:00:00 PM,24.557,,,,,
46,07/19/20 03:00:00 PM,24.653,,,,,
47,07/19/20 04:00:00 PM,24.702,,,,,
48,07/19/20 05:00:00 PM,24.968,,,,,
49,07/19/20 06:00:00 PM,25.089,,,,,
50,07/19/20 07:00:00 PM,24.992,,,,,
51,07/19/20 08:00:00 PM,24.992,,,,,
52,07/19/20 09:00:00 PM,25.089,,,,,
53,07/19/20 10:00:00 PM,25.186,,,,,
54,07/19/20 11:00:00 PM,25.040,,,,,
55,07/20/20 12:00:00 AM,25.089,,,,,
56,07/20/20 01:00:00 AM,24.992,,,,,
57,07/20/20 02:00:00 AM,24.847,,,,,
58,07/20/20 03:00:00 AM,24.677,,,,,
59,07/20/20 04:00:00 AM,24.508,,,,,
60,07/20/20 05:00:00 AM,24.339,,,,,
61,07/20/20 06:00:00 AM,24.195,,,,,
62,07/20/20 07:00:00 AM,24.074,,,,,
63,07/20/20 08:00:00 AM,24.002,,,,,
64,07/20/20 09:00:00 AM,23.978,,,,,
65,07/20/20 10:00:00 AM,24.002,,,,,
66,07/20/20 11:00:00 AM,24.074,,,,,
67,07/20/20 12:00:00 PM,24.219,,,,,
68,07/20/20 01:00:00 PM,24.412,,,,,
69,07/20/20 02:00:00 PM,24.702,,,,,
70,07/20/20 03:00:00 PM,24.847,,,,,
71,07/20/20 04:00:00 PM,24.944,,,,,
72,07/20/20 05:00:00 PM,25.331,,,,,
73,07/20/20 06:00:00 PM,25.331,,,,,
74,07/20/20 07:00:00 PM,25.234,,,,,
75,07/20/20 08:00:00 PM,25.428,,,,,
76,07/20/20 09:00:00 PM,25.234,,,,,
77,07/20/20 10:00:00 PM,25.355,,,,,
78,07/20/20 11:00:00 PM,25.477,,,,,
79,07/21/20 12:00:00 AM,25.162,,,,,
80,07/21/20 01:00:00 AM,25.210,,,,,
81,07/21/20 02:00:00 AM,25.016,,,,,
82,07/21/20 03:00:00 AM,24.847,,,,,
83,07/21/20 04:00:00 AM,24.702,,,,,
84,07/21/20 05:00:00 AM,24.532,,,,,
85,07/21/20 06:00:00 AM,24.363,,,,,
86,07/21/20 07:00:00 AM,24.267,,,,,
87,07/21/20 08:00:00 AM,24.171,,,,,
88,07/21/20 09:00:00 AM,24.122,,,,,
89,07/21/20 10:00:00 AM,24.171,,,,,
90,07/21/20 11:00:00 AM,24.243,,,,,
91,07/21/20 12:00:00 PM,24.339,,,,,
92,07/21/20 01:00:00 PM,24.508,,,,,
93,07/21/20 02:00:00 PM,24.823,,,,,
