"Plot Title: gumboot_sediment"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732846, SEN S/N: 20732846)","Coupler Detached (LGR S/N: 20732846)","Coupler Attached (LGR S/N: 20732846)","Host Connected (LGR S/N: 20732846)","Stopped (LGR S/N: 20732846)","End Of File (LGR S/N: 20732846)"
1,10/17/21 03:00:00 PM,9.879,Logged,,,,
2,10/17/21 04:00:00 PM,9.879,,,,,
3,10/17/21 05:00:00 PM,9.854,,,,,
4,10/17/21 06:00:00 PM,9.805,,,,,
5,10/17/21 07:00:00 PM,9.558,,,,,
6,10/17/21 08:00:00 PM,9.238,,,,,
7,10/17/21 09:00:00 PM,9.089,,,,,
8,10/17/21 10:00:00 PM,8.941,,,,,
9,10/17/21 11:00:00 PM,8.792,,,,,
10,10/18/21 12:00:00 AM,8.668,,,,,
11,10/18/21 01:00:00 AM,8.643,,,,,
12,10/18/21 02:00:00 AM,8.593,,,,,
13,10/18/21 03:00:00 AM,8.469,,,,,
14,10/18/21 04:00:00 AM,8.295,,,,,
15,10/18/21 05:00:00 AM,8.170,,,,,
16,10/18/21 06:00:00 AM,8.095,,,,,
17,10/18/21 07:00:00 AM,8.020,,,,,
18,10/18/21 08:00:00 AM,7.970,,,,,
19,10/18/21 09:00:00 AM,7.895,,,,,
20,10/18/21 10:00:00 AM,7.895,,,,,
21,10/18/21 11:00:00 AM,7.970,,,,,
22,10/18/21 12:00:00 PM,7.995,,,,,
23,10/18/21 01:00:00 PM,8.020,,,,,
24,10/18/21 02:00:00 PM,8.070,,,,,
25,10/18/21 03:00:00 PM,8.120,,,,,
26,10/18/21 04:00:00 PM,8.120,,,,,
27,10/18/21 05:00:00 PM,8.145,,,,,
28,10/18/21 06:00:00 PM,8.145,,,,,
29,10/18/21 07:00:00 PM,8.145,,,,,
30,10/18/21 08:00:00 PM,8.145,,,,,
31,10/18/21 09:00:00 PM,8.145,,,,,
32,10/18/21 10:00:00 PM,8.145,,,,,
33,10/18/21 11:00:00 PM,8.170,,,,,
34,10/19/21 12:00:00 AM,8.170,,,,,
35,10/19/21 01:00:00 AM,8.170,,,,,
36,10/19/21 02:00:00 AM,8.170,,,,,
37,10/19/21 03:00:00 AM,8.170,,,,,
38,10/19/21 04:00:00 AM,8.145,,,,,
39,10/19/21 05:00:00 AM,8.095,,,,,
40,10/19/21 06:00:00 AM,7.995,,,,,
41,10/19/21 07:00:00 AM,7.945,,,,,
42,10/19/21 08:00:00 AM,7.870,,,,,
43,10/19/21 09:00:00 AM,7.845,,,,,
44,10/19/21 10:00:00 AM,7.845,,,,,
45,10/19/21 11:00:00 AM,7.845,,,,,
46,10/19/21 12:00:00 PM,7.870,,,,,
47,10/19/21 01:00:00 PM,7.895,,,,,
48,10/19/21 02:00:00 PM,7.945,,,,,
49,10/19/21 03:00:00 PM,7.970,,,,,
50,10/19/21 04:00:00 PM,7.970,,,,,
51,10/19/21 05:00:00 PM,7.995,,,,,
52,10/19/21 06:00:00 PM,7.970,,,,,
53,10/19/21 07:00:00 PM,7.920,,,,,
54,10/19/21 08:00:00 PM,7.870,,,,,
55,10/19/21 09:00:00 PM,7.795,,,,,
56,10/19/21 10:00:00 PM,7.720,,,,,
57,10/19/21 11:00:00 PM,7.569,,,,,
58,10/20/21 12:00:00 AM,7.091,,,,,
59,10/20/21 01:00:00 AM,6.788,,,,,
60,10/20/21 02:00:00 AM,6.864,,,,,
61,10/20/21 03:00:00 AM,6.585,,,,,
62,10/20/21 04:00:00 AM,6.560,,,,,
63,10/20/21 05:00:00 AM,6.382,,,,,
64,10/20/21 06:00:00 AM,6.230,,,,,
65,10/20/21 07:00:00 AM,6.102,,,,,
66,10/20/21 08:00:00 AM,6.077,,,,,
67,10/20/21 09:00:00 AM,6.051,,,,,
68,10/20/21 10:00:00 AM,5.924,,,,,
69,10/20/21 11:00:00 AM,5.872,,,,,
70,10/20/21 12:00:00 PM,5.821,,,,,
71,10/20/21 01:00:00 PM,5.821,,,,,
72,10/20/21 02:00:00 PM,5.821,,,,,
73,10/20/21 03:00:00 PM,5.796,,,,,
74,10/20/21 04:00:00 PM,5.821,,,,,
75,10/20/21 05:00:00 PM,5.821,,,,,
76,10/20/21 06:00:00 PM,5.821,,,,,
77,10/20/21 07:00:00 PM,5.796,,,,,
78,10/20/21 08:00:00 PM,5.847,,,,,
79,10/20/21 09:00:00 PM,5.872,,,,,
