"Plot Title: 20733884"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20733884, SEN S/N: 20733884)","Intensity, Lux (LGR S/N: 20733884, SEN S/N: 20733884)"
1,11/21/19 06:00:00 PM,6.064,0.0
2,11/21/19 07:00:00 PM,5.962,0.0
3,11/21/19 08:00:00 PM,5.962,0.0
4,11/21/19 09:00:00 PM,5.860,0.0
5,11/21/19 10:00:00 PM,5.860,0.0
6,11/21/19 11:00:00 PM,5.757,0.0
7,11/22/19 12:00:00 AM,5.757,0.0
8,11/22/19 01:00:00 AM,5.655,0.0
9,11/22/19 02:00:00 AM,5.655,0.0
10,11/22/19 03:00:00 AM,5.552,0.0
11,11/22/19 04:00:00 AM,5.552,0.0
12,11/22/19 05:00:00 AM,5.450,0.0
13,11/22/19 06:00:00 AM,5.347,0.0
14,11/22/19 07:00:00 AM,5.244,32.3
15,11/22/19 08:00:00 AM,5.347,753.5
16,11/22/19 09:00:00 AM,5.552,1334.7
17,11/22/19 10:00:00 AM,5.655,1636.1
18,11/22/19 11:00:00 AM,5.757,1377.8
19,11/22/19 12:00:00 PM,6.166,1280.9
20,11/22/19 01:00:00 PM,6.268,1377.8
21,11/22/19 02:00:00 PM,6.268,1334.7
22,11/22/19 03:00:00 PM,6.064,904.2
23,11/22/19 04:00:00 PM,5.757,527.4
24,11/22/19 05:00:00 PM,5.655,0.0
25,11/22/19 06:00:00 PM,5.655,0.0
26,11/22/19 07:00:00 PM,5.655,0.0
27,11/22/19 08:00:00 PM,5.552,0.0
28,11/22/19 09:00:00 PM,5.450,0.0
29,11/22/19 10:00:00 PM,5.450,0.0
30,11/22/19 11:00:00 PM,5.450,0.0
31,11/23/19 12:00:00 AM,5.347,0.0
32,11/23/19 01:00:00 AM,5.347,0.0
33,11/23/19 02:00:00 AM,5.347,0.0
34,11/23/19 03:00:00 AM,5.244,0.0
35,11/23/19 04:00:00 AM,5.244,0.0
36,11/23/19 05:00:00 AM,5.141,0.0
37,11/23/19 06:00:00 AM,5.037,0.0
38,11/23/19 07:00:00 AM,4.831,21.5
39,11/23/19 08:00:00 AM,5.037,699.7
40,11/23/19 09:00:00 AM,5.141,1377.8
41,11/23/19 10:00:00 AM,5.347,1463.9
42,11/23/19 11:00:00 AM,5.450,1550.0
43,11/23/19 12:00:00 PM,5.757,1130.2
44,11/23/19 01:00:00 PM,5.860,1248.6
45,11/23/19 02:00:00 PM,5.962,1022.6
46,11/23/19 03:00:00 PM,5.655,807.3
47,11/23/19 04:00:00 PM,5.552,495.1
48,11/23/19 05:00:00 PM,5.450,0.0
49,11/23/19 06:00:00 PM,5.450,0.0
50,11/23/19 07:00:00 PM,5.347,0.0
51,11/23/19 08:00:00 PM,5.347,0.0
