"Plot Title: gumboot_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733884, SEN S/N: 20733884)","Intensity, Lux (LGR S/N: 20733884, SEN S/N: 20733884)","GDD, DDc (LGR S/N: 20733884)"
1,06/19/20 06:00:00 PM,18.616,3444.5,
2,06/19/20 07:00:00 PM,18.521,1636.1,
3,06/19/20 08:00:00 PM,18.521,516.7,
4,06/19/20 09:00:00 PM,18.426,0.0,
5,06/19/20 10:00:00 PM,18.426,0.0,
6,06/19/20 11:00:00 PM,18.521,0.0,
7,06/20/20 12:00:00 AM,18.331,0.0,
8,06/20/20 01:00:00 AM,18.236,0.0,
9,06/20/20 02:00:00 AM,18.331,0.0,
10,06/20/20 03:00:00 AM,18.331,0.0,
11,06/20/20 04:00:00 AM,18.331,0.0,
12,06/20/20 05:00:00 AM,18.331,0.0,
13,06/20/20 06:00:00 AM,18.331,161.5,
14,06/20/20 07:00:00 AM,18.521,1550.0,
15,06/20/20 08:00:00 AM,18.711,2066.7,
16,06/20/20 09:00:00 AM,18.901,2755.6,
17,06/20/20 10:00:00 AM,19.092,3272.2,
18,06/20/20 11:00:00 AM,19.282,5511.1,
19,06/20/20 12:00:00 PM,19.567,5338.9,0.212
20,06/20/20 01:00:00 PM,19.853,6544.5,
21,06/20/20 02:00:00 PM,20.043,5166.7,
22,06/20/20 03:00:00 PM,20.329,5511.1,
23,06/20/20 04:00:00 PM,20.234,4650.0,
24,06/20/20 05:00:00 PM,19.853,3616.7,
25,06/20/20 06:00:00 PM,20.043,1463.9,
26,06/20/20 07:00:00 PM,20.424,7577.8,
27,06/20/20 08:00:00 PM,19.377,376.7,
28,06/20/20 09:00:00 PM,19.758,0.0,
29,06/20/20 10:00:00 PM,19.662,0.0,
30,06/20/20 11:00:00 PM,19.567,0.0,
31,06/21/20 12:00:00 AM,19.662,0.0,
32,06/21/20 01:00:00 AM,19.567,0.0,
33,06/21/20 02:00:00 AM,19.567,0.0,
34,06/21/20 03:00:00 AM,19.472,0.0,
35,06/21/20 04:00:00 AM,19.567,0.0,
36,06/21/20 05:00:00 AM,19.567,0.0,
37,06/21/20 06:00:00 AM,19.567,398.3,
38,06/21/20 07:00:00 AM,19.472,2927.8,
39,06/21/20 08:00:00 AM,19.662,7577.8,
40,06/21/20 09:00:00 AM,19.948,15844.5,
41,06/21/20 10:00:00 AM,20.234,23422.4,
42,06/21/20 11:00:00 AM,20.234,41333.6,
43,06/21/20 12:00:00 PM,20.615,11022.3,0.758
44,06/21/20 01:00:00 PM,20.805,13777.9,
45,06/21/20 02:00:00 PM,20.901,5166.7,
46,06/21/20 03:00:00 PM,20.996,13089.0,
47,06/21/20 04:00:00 PM,21.091,5166.7,
48,06/21/20 05:00:00 PM,20.901,4822.3,
