"Plot Title: gumboot_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733884, SEN S/N: 20733884)","Intensity, Lux (LGR S/N: 20733884, SEN S/N: 20733884)","End Of File (LGR S/N: 20733884)"
1,07/17/20 06:00:00 PM,26.000,24800.2,
2,07/17/20 07:00:00 PM,25.610,1216.3,
3,07/17/20 08:00:00 PM,25.610,452.1,
4,07/17/20 09:00:00 PM,25.319,0.0,
5,07/17/20 10:00:00 PM,25.222,0.0,
6,07/17/20 11:00:00 PM,25.028,0.0,
7,07/18/20 12:00:00 AM,24.835,0.0,
8,07/18/20 01:00:00 AM,24.641,0.0,
9,07/18/20 02:00:00 AM,24.448,0.0,
10,07/18/20 03:00:00 AM,24.255,0.0,
11,07/18/20 04:00:00 AM,24.158,0.0,
12,07/18/20 05:00:00 AM,23.966,0.0,
13,07/18/20 06:00:00 AM,23.869,75.3,
14,07/18/20 07:00:00 AM,23.773,495.1,
15,07/18/20 08:00:00 AM,23.869,775.0,
16,07/18/20 09:00:00 AM,24.062,1097.9,
17,07/18/20 10:00:00 AM,24.255,1550.0,
18,07/18/20 11:00:00 AM,24.351,4305.6,
19,07/18/20 12:00:00 PM,24.931,4822.3,
20,07/18/20 01:00:00 PM,25.513,19977.9,
21,07/18/20 02:00:00 PM,26.097,22044.6,
22,07/18/20 03:00:00 PM,26.390,22044.6,
23,07/18/20 04:00:00 PM,26.585,18600.1,
24,07/18/20 05:00:00 PM,26.390,44089.2,
25,07/18/20 06:00:00 PM,26.390,18600.1,
26,07/18/20 07:00:00 PM,25.902,1980.6,
27,07/18/20 08:00:00 PM,26.000,613.5,
28,07/18/20 09:00:00 PM,25.708,0.0,
29,07/18/20 10:00:00 PM,25.513,0.0,
30,07/18/20 11:00:00 PM,25.319,0.0,
31,07/19/20 12:00:00 AM,25.125,0.0,
32,07/19/20 01:00:00 AM,24.931,0.0,
33,07/19/20 02:00:00 AM,24.835,0.0,
34,07/19/20 03:00:00 AM,24.641,0.0,
35,07/19/20 04:00:00 AM,24.545,0.0,
36,07/19/20 05:00:00 AM,24.351,0.0,
37,07/19/20 06:00:00 AM,24.158,64.6,
38,07/19/20 07:00:00 AM,24.158,559.7,
39,07/19/20 08:00:00 AM,24.255,1011.8,
40,07/19/20 09:00:00 AM,24.448,1377.8,
41,07/19/20 10:00:00 AM,24.545,1980.6,
42,07/19/20 11:00:00 AM,24.931,4477.8,
43,07/19/20 12:00:00 PM,25.319,8266.7,
44,07/19/20 01:00:00 PM,25.708,26178.0,
45,07/19/20 02:00:00 PM,26.292,23422.4,
46,07/19/20 03:00:00 PM,26.585,37200.2,
47,07/19/20 04:00:00 PM,26.585,38578.0,
48,07/19/20 05:00:00 PM,26.390,26178.0,
49,07/19/20 06:00:00 PM,26.097,2755.6,
50,07/19/20 07:00:00 PM,26.292,1054.9,
51,07/19/20 08:00:00 PM,25.805,430.6,
52,07/19/20 09:00:00 PM,26.000,0.0,
53,07/19/20 10:00:00 PM,25.805,0.0,
54,07/19/20 11:00:00 PM,25.610,0.0,
55,07/20/20 12:00:00 AM,25.416,0.0,
56,07/20/20 01:00:00 AM,25.222,0.0,
57,07/20/20 02:00:00 AM,25.028,0.0,
58,07/20/20 03:00:00 AM,24.835,0.0,
59,07/20/20 04:00:00 AM,24.641,0.0,
60,07/20/20 05:00:00 AM,24.545,0.0,
61,07/20/20 06:00:00 AM,24.351,64.6,
62,07/20/20 07:00:00 AM,24.255,462.9,
63,07/20/20 08:00:00 AM,24.448,775.0,
64,07/20/20 09:00:00 AM,24.641,1173.3,
65,07/20/20 10:00:00 AM,24.738,1980.6,
66,07/20/20 11:00:00 AM,25.125,7577.8,
67,07/20/20 12:00:00 PM,25.416,7577.8,
68,07/20/20 01:00:00 PM,25.805,10677.8,
69,07/20/20 02:00:00 PM,26.488,16533.4,
70,07/20/20 03:00:00 PM,26.781,23422.4,
71,07/20/20 04:00:00 PM,26.879,46844.8,
72,07/20/20 05:00:00 PM,26.879,13089.0,
73,07/20/20 06:00:00 PM,26.781,15844.5,
74,07/20/20 07:00:00 PM,26.195,2927.8,
75,07/20/20 08:00:00 PM,26.390,473.6,
76,07/20/20 09:00:00 PM,26.097,0.0,
77,07/20/20 10:00:00 PM,26.000,0.0,
78,07/20/20 11:00:00 PM,25.805,0.0,
79,07/21/20 12:00:00 AM,25.610,0.0,
80,07/21/20 01:00:00 AM,25.416,0.0,
81,07/21/20 02:00:00 AM,25.222,0.0,
82,07/21/20 03:00:00 AM,25.028,0.0,
83,07/21/20 04:00:00 AM,24.931,0.0,
84,07/21/20 05:00:00 AM,24.738,0.0,
85,07/21/20 06:00:00 AM,24.545,64.6,
86,07/21/20 07:00:00 AM,24.545,581.3,
87,07/21/20 08:00:00 AM,24.448,882.6,
88,07/21/20 09:00:00 AM,24.738,1463.9,
