"Plot Title: gumboot_light_pendant_2"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21207363, SEN S/N: 21207363)","Intensity, Lux (LGR S/N: 21207363, SEN S/N: 21207363)","Coupler Detached (LGR S/N: 21207363)","Coupler Attached (LGR S/N: 21207363)","Host Connected (LGR S/N: 21207363)","Stopped (LGR S/N: 21207363)","End Of File (LGR S/N: 21207363)"
1,11/12/21 05:06:41 PM,19.758,32.3,,,,,
2,11/12/21 05:07:24 PM,,,Logged,,,,
3,11/12/21 06:06:41 PM,18.521,0.0,,,,,
4,11/12/21 07:06:41 PM,15.473,0.0,,,,,
5,11/12/21 08:06:41 PM,15.282,0.0,,,,,
6,11/12/21 09:06:41 PM,14.804,0.0,,,,,
7,11/12/21 10:06:41 PM,14.325,0.0,,,,,
8,11/12/21 11:06:41 PM,14.038,0.0,,,,,
9,11/13/21 12:06:41 AM,13.846,0.0,,,,,
10,11/13/21 01:06:41 AM,13.461,0.0,,,,,
11,11/13/21 02:06:41 AM,13.076,0.0,,,,,
12,11/13/21 03:06:41 AM,12.787,0.0,,,,,
13,11/13/21 04:06:41 AM,12.497,0.0,,,,,
14,11/13/21 05:06:41 AM,4.831,0.0,,,,,
15,11/13/21 06:06:41 AM,5.347,0.0,,,,,
16,11/13/21 07:06:41 AM,11.334,0.0,,,,,
17,11/13/21 08:06:41 AM,13.558,10.8,,,,,
18,11/13/21 09:06:41 AM,15.187,10.8,,,,,
19,11/13/21 10:06:41 AM,17.760,0.0,,,,,
20,11/13/21 11:06:41 AM,20.615,150.7,,,,,
21,11/13/21 12:06:41 PM,5.244,1334.7,,,,,
22,11/13/21 01:06:41 PM,4.519,1011.8,,,,,
23,11/13/21 02:06:41 PM,4.519,721.2,,,,,
24,11/13/21 03:06:41 PM,4.519,355.2,,,,,
25,11/13/21 04:06:41 PM,4.415,107.6,,,,,
26,11/13/21 05:06:41 PM,4.415,0.0,,,,,
27,11/13/21 06:06:41 PM,4.415,0.0,,,,,
28,11/13/21 07:06:41 PM,4.415,0.0,,,,,
29,11/13/21 08:06:41 PM,4.519,0.0,,,,,
30,11/13/21 09:06:41 PM,4.519,0.0,,,,,
31,11/13/21 10:06:41 PM,4.415,0.0,,,,,
32,11/13/21 11:06:41 PM,4.415,0.0,,,,,
33,11/14/21 12:06:41 AM,4.519,0.0,,,,,
34,11/14/21 01:06:41 AM,4.623,0.0,,,,,
35,11/14/21 02:06:41 AM,4.623,0.0,,,,,
36,11/14/21 03:06:41 AM,4.415,0.0,,,,,
37,11/14/21 04:06:41 AM,4.519,0.0,,,,,
38,11/14/21 05:06:41 AM,4.519,0.0,,,,,
39,11/14/21 06:06:41 AM,4.519,0.0,,,,,
40,11/14/21 07:06:41 AM,4.519,10.8,,,,,
41,11/14/21 08:06:41 AM,4.519,355.2,,,,,
42,11/14/21 09:06:41 AM,4.623,807.3,,,,,
43,11/14/21 10:06:41 AM,4.727,1054.9,,,,,
44,11/14/21 11:06:41 AM,4.623,1324.0,,,,,
45,11/14/21 12:06:41 PM,4.727,1463.9,,,,,
46,11/14/21 01:06:41 PM,4.623,968.8,,,,,
47,11/14/21 02:06:41 PM,4.623,721.2,,,,,
48,11/14/21 03:06:41 PM,4.623,398.3,,,,,
49,11/14/21 04:06:41 PM,4.623,129.2,,,,,
50,11/14/21 05:06:41 PM,4.623,0.0,,,,,
51,11/14/21 06:06:41 PM,4.623,0.0,,,,,
52,11/14/21 07:06:41 PM,4.623,0.0,,,,,
53,11/14/21 08:06:41 PM,4.623,0.0,,,,,
54,11/14/21 09:06:41 PM,4.623,0.0,,,,,
55,11/14/21 10:06:41 PM,4.623,0.0,,,,,
56,11/14/21 11:06:41 PM,4.623,0.0,,,,,
57,11/15/21 12:06:41 AM,4.727,0.0,,,,,
58,11/15/21 01:06:41 AM,4.623,0.0,,,,,
59,11/15/21 02:06:41 AM,4.623,0.0,,,,,
60,11/15/21 03:06:41 AM,4.727,0.0,,,,,
61,11/15/21 04:06:41 AM,4.831,0.0,,,,,
62,11/15/21 05:06:41 AM,5.141,0.0,,,,,
63,11/15/21 06:06:41 AM,5.037,0.0,,,,,
64,11/15/21 07:06:41 AM,4.727,10.8,,,,,
65,11/15/21 08:06:41 AM,4.831,301.4,,,,,
66,11/15/21 09:06:41 AM,5.037,688.9,,,,,
67,11/15/21 10:06:41 AM,5.141,893.4,,,,,
68,11/15/21 11:06:41 AM,5.141,1162.5,,,,,
69,11/15/21 12:06:41 PM,5.244,1356.3,,,,,
70,11/15/21 01:06:41 PM,5.244,1054.9,,,,,
71,11/15/21 02:06:41 PM,5.244,850.4,,,,,
72,11/15/21 03:06:41 PM,5.141,441.3,,,,,
73,11/15/21 04:06:41 PM,5.141,161.5,,,,,
74,11/15/21 05:06:41 PM,5.141,0.0,,,,,
75,11/15/21 06:06:41 PM,5.141,0.0,,,,,
76,11/15/21 07:06:41 PM,5.244,0.0,,,,,
77,11/15/21 08:06:41 PM,5.244,0.0,,,,,
78,11/15/21 09:06:41 PM,5.244,0.0,,,,,
79,11/15/21 10:06:41 PM,5.244,0.0,,,,,
80,11/15/21 11:06:41 PM,5.244,0.0,,,,,
81,11/16/21 12:06:41 AM,5.244,0.0,,,,,
82,11/16/21 01:06:41 AM,5.244,0.0,,,,,
83,11/16/21 02:06:41 AM,5.244,0.0,,,,,
84,11/16/21 03:06:41 AM,5.347,0.0,,,,,
85,11/16/21 04:06:41 AM,5.347,0.0,,,,,
86,11/16/21 05:06:41 AM,5.244,0.0,,,,,
87,11/16/21 06:06:41 AM,5.244,0.0,,,,,
88,11/16/21 07:06:41 AM,5.037,21.5,,,,,
89,11/16/21 08:06:41 AM,4.934,204.5,,,,,
90,11/16/21 09:06:41 AM,4.934,516.7,,,,,
91,11/16/21 10:06:41 AM,5.037,947.2,,,,,
92,11/16/21 11:06:41 AM,4.934,1011.8,,,,,
93,11/16/21 12:06:41 PM,5.244,1324.0,,,,,
94,11/16/21 01:06:41 PM,5.450,818.1,,,,,
95,11/16/21 02:06:41 PM,5.552,678.1,,,,,
96,11/16/21 03:06:41 PM,5.450,344.4,,,,,
97,11/16/21 04:06:41 PM,5.347,96.9,,,,,
98,11/16/21 05:06:41 PM,5.244,0.0,,,,,
99,11/16/21 06:06:41 PM,5.244,0.0,,,,,
100,11/16/21 07:06:41 PM,5.141,0.0,,,,,
101,11/16/21 08:06:41 PM,5.141,0.0,,,,,
102,11/16/21 09:06:41 PM,5.141,0.0,,,,,
103,11/16/21 10:06:41 PM,5.141,0.0,,,,,
104,11/16/21 11:06:41 PM,4.934,0.0,,,,,
105,11/17/21 12:06:41 AM,4.934,0.0,,,,,
106,11/17/21 01:06:41 AM,4.831,0.0,,,,,
107,11/17/21 02:06:41 AM,4.831,0.0,,,,,
108,11/17/21 03:06:41 AM,4.831,0.0,,,,,
109,11/17/21 04:06:41 AM,4.727,0.0,,,,,
110,11/17/21 05:06:41 AM,4.727,0.0,,,,,
111,11/17/21 06:06:41 AM,4.623,0.0,,,,,
112,11/17/21 07:06:41 AM,4.623,21.5,,,,,
113,11/17/21 08:06:41 AM,4.519,226.0,,,,,
114,11/17/21 09:06:41 AM,4.415,495.1,,,,,
115,11/17/21 10:06:41 AM,4.519,882.6,,,,,
116,11/17/21 11:06:41 AM,4.727,1087.2,,,,,
117,11/17/21 12:06:41 PM,4.519,990.3,,,,,
118,11/17/21 01:06:41 PM,4.519,1194.8,,,,,
119,11/17/21 02:06:41 PM,4.519,882.6,,,,,
120,11/17/21 03:06:41 PM,4.519,678.1,,,,,
121,11/17/21 04:06:41 PM,4.519,183.0,,,,,
122,11/17/21 05:06:41 PM,4.519,0.0,,,,,
123,11/17/21 06:06:41 PM,4.519,0.0,,,,,
124,11/17/21 07:06:41 PM,4.519,0.0,,,,,
125,11/17/21 08:06:41 PM,4.519,0.0,,,,,
126,11/17/21 09:06:41 PM,4.519,0.0,,,,,
127,11/17/21 10:06:41 PM,4.519,0.0,,,,,
128,11/17/21 11:06:41 PM,4.519,0.0,,,,,
129,11/18/21 12:06:41 AM,4.519,0.0,,,,,
130,11/18/21 01:06:41 AM,4.623,0.0,,,,,
131,11/18/21 02:06:41 AM,4.727,0.0,,,,,
132,11/18/21 03:06:41 AM,4.623,0.0,,,,,
133,11/18/21 04:06:41 AM,4.623,0.0,,,,,
