MiniDOT Logger Concatenated Data File
Sensor:             7450-095417
Concatenation Date: 2021Oct15 09:31:01 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1844.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1623592860,           2021-06-13 14:01:00,           2021-06-13 07:01:00,      3.520000,     17.802000,          7.599000,                   100.452241,      0.942000
                1623593460,           2021-06-13 14:11:00,           2021-06-13 07:11:00,      3.520000,     16.989000,          7.701000,                   100.072858,      0.942000
                1623594060,           2021-06-13 14:21:00,           2021-06-13 07:21:00,      3.520000,     16.309000,          7.802000,                    99.927382,      0.941000
                1623594660,           2021-06-13 14:31:00,           2021-06-13 07:31:00,      3.520000,     15.857000,          7.867000,                    99.785812,      0.941000
                1623595260,           2021-06-13 14:41:00,           2021-06-13 07:41:00,      3.520000,     15.498000,          7.901000,                    99.441836,      0.940000
                1623595860,           2021-06-13 14:51:00,           2021-06-13 07:51:00,      3.520000,     15.145000,          7.960000,                    99.417983,      0.941000
                1623596460,           2021-06-13 15:01:00,           2021-06-13 08:01:00,      3.520000,     15.025000,          7.971000,                    99.294818,      0.941000
                1623597060,           2021-06-13 15:11:00,           2021-06-13 08:11:00,      3.520000,     14.991000,          7.971000,                    99.221028,      0.941000
                1623597660,           2021-06-13 15:21:00,           2021-06-13 08:21:00,      3.520000,     14.991000,          7.954000,                    99.009416,      0.941000
                1623598260,           2021-06-13 15:31:00,           2021-06-13 08:31:00,      3.520000,     14.991000,          7.944000,                    98.884938,      0.941000
                1623598860,           2021-06-13 15:41:00,           2021-06-13 08:41:00,      3.520000,     15.085000,          7.920000,                    98.788931,      0.941000
                1623599460,           2021-06-13 15:51:00,           2021-06-13 08:51:00,      3.520000,     15.102000,          7.918000,                    98.800652,      0.941000
                1623600060,           2021-06-13 16:01:00,           2021-06-13 09:01:00,      3.510000,     15.206000,          7.890000,                    98.674873,      0.941000
                1623600660,           2021-06-13 16:11:00,           2021-06-13 09:11:00,      3.510000,     15.335000,          7.858000,                    98.551084,      0.941000
                1623601260,           2021-06-13 16:21:00,           2021-06-13 09:21:00,      3.510000,     15.463000,          7.832000,                    98.498567,      0.941000
                1623601860,           2021-06-13 16:31:00,           2021-06-13 09:31:00,      3.510000,     15.600000,          7.788000,                    98.236575,      0.941000
                1623602460,           2021-06-13 16:41:00,           2021-06-13 09:41:00,      3.510000,     15.814000,          7.745000,                    98.147249,      0.941000
                1623603060,           2021-06-13 16:51:00,           2021-06-13 09:51:00,      3.510000,     16.318000,          7.664000,                    98.178808,      0.941000
                1623603660,           2021-06-13 17:01:00,           2021-06-13 10:01:00,      3.510000,     16.913000,          7.572000,                    98.238119,      0.942000
                1623604260,           2021-06-13 17:11:00,           2021-06-13 10:11:00,      3.510000,     17.108000,          7.520000,                    97.967270,      0.941000
                1623604860,           2021-06-13 17:21:00,           2021-06-13 10:21:00,      3.500000,     17.337000,          7.476000,                    97.866039,      0.942000
                1623605460,           2021-06-13 17:31:00,           2021-06-13 10:31:00,      3.500000,     17.320000,          7.469000,                    97.739378,      0.941000
                1623606060,           2021-06-13 17:41:00,           2021-06-13 10:41:00,      3.500000,     17.447000,          7.444000,                    97.673095,      0.942000
                1623606660,           2021-06-13 17:51:00,           2021-06-13 10:51:00,      3.500000,     18.173000,          7.336000,                    97.729150,      0.942000
                1623607260,           2021-06-13 18:01:00,           2021-06-13 11:01:00,      3.500000,     18.762000,          7.240000,                    97.634094,      0.942000
                1623607860,           2021-06-13 18:11:00,           2021-06-13 11:11:00,      3.500000,     19.543000,          7.131000,                    97.716254,      0.943000
                1623608460,           2021-06-13 18:21:00,           2021-06-13 11:21:00,      3.490000,     19.936000,          7.066000,                    97.602005,      0.942000
                1623609060,           2021-06-13 18:31:00,           2021-06-13 11:31:00,      3.500000,     20.154000,          7.023000,                    97.436872,      0.942000
                1623609660,           2021-06-13 18:41:00,           2021-06-13 11:41:00,      3.490000,     20.029000,          7.033000,                    97.329312,      0.943000
                1623610260,           2021-06-13 18:51:00,           2021-06-13 11:51:00,      3.500000,     20.087000,          7.008000,                    97.097194,      0.942000
