Plot Title: soapstone_sediment,,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732845, SEN S/N: 20732845)",Coupler Detached (LGR S/N: 20732845),Coupler Attached (LGR S/N: 20732845),Host Connected (LGR S/N: 20732845),Stopped (LGR S/N: 20732845),End Of File (LGR S/N: 20732845)
1,7/17/2020 18:00,23.424,Logged,,,,
2,7/17/2020 19:00,23.448,,,,,
3,7/17/2020 20:00,23.376,,,,,
4,7/17/2020 21:00,23.304,,,,,
5,7/17/2020 22:00,23.28,,,,,
6,7/17/2020 23:00,23.256,,,,,
7,7/18/2020 0:00,23.184,,,,,
8,7/18/2020 1:00,23.136,,,,,
9,7/18/2020 2:00,23.16,,,,,
10,7/18/2020 3:00,22.992,,,,,
11,7/18/2020 4:00,22.824,,,,,
12,7/18/2020 5:00,22.633,,,,,
13,7/18/2020 6:00,22.465,,,,,
14,7/18/2020 7:00,22.298,,,,,
15,7/18/2020 8:00,22.106,,,,,
16,7/18/2020 9:00,22.082,,,,,
17,7/18/2020 10:00,22.585,,,,,
18,7/18/2020 11:00,22.824,,,,,
19,7/18/2020 12:00,23.016,,,,,
20,7/18/2020 13:00,23.088,,,,,
21,7/18/2020 14:00,23.16,,,,,
22,7/18/2020 15:00,23.448,,,,,
23,7/18/2020 16:00,23.713,,,,,
24,7/18/2020 17:00,23.737,,,,,
25,7/18/2020 18:00,23.737,,,,,
26,7/18/2020 19:00,23.785,,,,,
27,7/18/2020 20:00,23.713,,,,,
28,7/18/2020 21:00,23.665,,,,,
29,7/18/2020 22:00,23.593,,,,,
30,7/18/2020 23:00,23.593,,,,,
31,7/19/2020 0:00,23.521,,,,,
32,7/19/2020 1:00,23.472,,,,,
33,7/19/2020 2:00,23.352,,,,,
34,7/19/2020 3:00,23.232,,,,,
35,7/19/2020 4:00,23.064,,,,,
36,7/19/2020 5:00,22.872,,,,,
37,7/19/2020 6:00,22.681,,,,,
38,7/19/2020 7:00,22.537,,,,,
39,7/19/2020 8:00,22.417,,,,,
40,7/19/2020 9:00,22.345,,,,,
41,7/19/2020 10:00,22.824,,,,,
42,7/19/2020 11:00,23.04,,,,,
43,7/19/2020 12:00,23.28,,,,,
44,7/19/2020 13:00,23.328,,,,,
45,7/19/2020 14:00,23.424,,,,,
46,7/19/2020 15:00,23.713,,,,,
47,7/19/2020 16:00,23.978,,,,,
48,7/19/2020 17:00,24.05,,,,,
49,7/19/2020 18:00,24.05,,,,,
50,7/19/2020 19:00,23.978,,,,,
51,7/19/2020 20:00,23.954,,,,,
52,7/19/2020 21:00,23.857,,,,,
53,7/19/2020 22:00,23.857,,,,,
54,7/19/2020 23:00,23.809,,,,,
55,7/20/2020 0:00,23.761,,,,,
56,7/20/2020 1:00,23.713,,,,,
57,7/20/2020 2:00,23.569,,,,,
58,7/20/2020 3:00,23.497,,,,,
59,7/20/2020 4:00,23.328,,,,,
60,7/20/2020 5:00,23.112,,,,,
61,7/20/2020 6:00,22.896,,,,,
62,7/20/2020 7:00,22.753,,,,,
63,7/20/2020 8:00,22.561,,,,,
64,7/20/2020 9:00,22.489,,,,,
65,7/20/2020 10:00,23.016,,,,,
66,7/20/2020 11:00,23.208,,,,,
67,7/20/2020 12:00,23.4,,,,,
68,7/20/2020 13:00,23.521,,,,,
69,7/20/2020 14:00,23.641,,,,,
70,7/20/2020 15:00,23.93,,,,,
71,7/20/2020 16:00,24.243,,,,,
72,7/20/2020 17:00,24.315,,,,,
73,7/20/2020 18:00,24.388,,,,,
74,7/20/2020 19:00,24.243,,,,,
75,7/20/2020 20:00,24.195,,,,,
76,7/20/2020 21:00,24.146,,,,,
77,7/20/2020 22:00,24.122,,,,,
78,7/20/2020 23:00,24.098,,,,,
79,7/21/2020 0:00,24.05,,,,,
80,7/21/2020 1:00,23.978,,,,,
81,7/21/2020 2:00,23.809,,,,,
