"Plot Title: soapstone_sediment"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20732845, SEN S/N: 20732845)","Coupler Detached (LGR S/N: 20732845)","Coupler Attached (LGR S/N: 20732845)","Host Connected (LGR S/N: 20732845)","Stopped (LGR S/N: 20732845)","End Of File (LGR S/N: 20732845)"
1,06/13/21 06:00:00 PM,15.700,Logged,,,,
2,06/13/21 07:00:00 PM,15.700,,,,,
3,06/13/21 08:00:00 PM,15.676,,,,,
4,06/13/21 09:00:00 PM,15.676,,,,,
5,06/13/21 10:00:00 PM,15.605,,,,,
6,06/13/21 11:00:00 PM,15.581,,,,,
7,06/14/21 12:00:00 AM,15.557,,,,,
8,06/14/21 01:00:00 AM,15.581,,,,,
9,06/14/21 02:00:00 AM,15.557,,,,,
10,06/14/21 03:00:00 AM,15.485,,,,,
11,06/14/21 04:00:00 AM,15.414,,,,,
12,06/14/21 05:00:00 AM,15.390,,,,,
13,06/14/21 06:00:00 AM,15.318,,,,,
14,06/14/21 07:00:00 AM,15.247,,,,,
15,06/14/21 08:00:00 AM,15.175,,,,,
16,06/14/21 09:00:00 AM,15.079,,,,,
17,06/14/21 10:00:00 AM,15.031,,,,,
18,06/14/21 11:00:00 AM,15.031,,,,,
19,06/14/21 12:00:00 PM,15.103,,,,,
20,06/14/21 01:00:00 PM,15.223,,,,,
21,06/14/21 02:00:00 PM,15.390,,,,,
22,06/14/21 03:00:00 PM,15.390,,,,,
23,06/14/21 04:00:00 PM,15.414,,,,,
24,06/14/21 05:00:00 PM,15.461,,,,,
25,06/14/21 06:00:00 PM,15.366,,,,,
26,06/14/21 07:00:00 PM,15.366,,,,,
27,06/14/21 08:00:00 PM,15.390,,,,,
28,06/14/21 09:00:00 PM,15.342,,,,,
29,06/14/21 10:00:00 PM,15.247,,,,,
30,06/14/21 11:00:00 PM,15.103,,,,,
31,06/15/21 12:00:00 AM,15.008,,,,,
32,06/15/21 01:00:00 AM,14.936,,,,,
33,06/15/21 02:00:00 AM,14.816,,,,,
34,06/15/21 03:00:00 AM,14.625,,,,,
35,06/15/21 04:00:00 AM,14.505,,,,,
36,06/15/21 05:00:00 AM,14.385,,,,,
37,06/15/21 06:00:00 AM,14.218,,,,,
38,06/15/21 07:00:00 AM,14.050,,,,,
39,06/15/21 08:00:00 AM,13.954,,,,,
40,06/15/21 09:00:00 AM,13.810,,,,,
41,06/15/21 10:00:00 AM,13.882,,,,,
42,06/15/21 11:00:00 AM,14.050,,,,,
43,06/15/21 12:00:00 PM,14.290,,,,,
44,06/15/21 01:00:00 PM,14.721,,,,,
45,06/15/21 02:00:00 PM,15.031,,,,,
46,06/15/21 03:00:00 PM,15.342,,,,,
47,06/15/21 04:00:00 PM,15.652,,,,,
48,06/15/21 05:00:00 PM,15.676,,,,,
49,06/15/21 06:00:00 PM,15.700,,,,,
50,06/15/21 07:00:00 PM,15.700,,,,,
51,06/15/21 08:00:00 PM,15.724,,,,,
52,06/15/21 09:00:00 PM,15.629,,,,,
53,06/15/21 10:00:00 PM,15.581,,,,,
