"Plot Title: 20733885"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20733885, SEN S/N: 20733885)","Intensity, Lux (LGR S/N: 20733885, SEN S/N: 20733885)"
1,11/21/19 06:00:00 PM,4.311,0.0
2,11/21/19 07:00:00 PM,4.207,0.0
3,11/21/19 08:00:00 PM,4.102,0.0
4,11/21/19 09:00:00 PM,4.102,0.0
5,11/21/19 10:00:00 PM,3.998,0.0
6,11/21/19 11:00:00 PM,4.102,0.0
7,11/22/19 12:00:00 AM,4.207,0.0
8,11/22/19 01:00:00 AM,4.102,0.0
9,11/22/19 02:00:00 AM,3.998,0.0
10,11/22/19 03:00:00 AM,3.893,0.0
11,11/22/19 04:00:00 AM,3.683,0.0
12,11/22/19 05:00:00 AM,3.683,0.0
13,11/22/19 06:00:00 AM,3.578,0.0
14,11/22/19 07:00:00 AM,3.472,139.9
15,11/22/19 08:00:00 AM,3.472,1248.6
16,11/22/19 09:00:00 AM,3.578,2238.9
17,11/22/19 10:00:00 AM,4.623,41333.6
18,11/22/19 11:00:00 AM,5.244,6200.0
19,11/22/19 12:00:00 PM,6.978,46844.8
20,11/22/19 01:00:00 PM,5.450,15844.5
21,11/22/19 02:00:00 PM,5.552,12400.1
22,11/22/19 03:00:00 PM,4.831,2583.4
23,11/22/19 04:00:00 PM,4.623,1194.8
24,11/22/19 05:00:00 PM,4.519,21.5
25,11/22/19 06:00:00 PM,4.519,0.0
26,11/22/19 07:00:00 PM,4.415,0.0
27,11/22/19 08:00:00 PM,4.415,0.0
28,11/22/19 09:00:00 PM,4.207,0.0
29,11/22/19 10:00:00 PM,4.102,0.0
30,11/22/19 11:00:00 PM,3.998,0.0
31,11/23/19 12:00:00 AM,4.207,0.0
32,11/23/19 01:00:00 AM,4.102,0.0
33,11/23/19 02:00:00 AM,3.998,0.0
34,11/23/19 03:00:00 AM,3.893,0.0
35,11/23/19 04:00:00 AM,3.893,0.0
36,11/23/19 05:00:00 AM,3.893,0.0
37,11/23/19 06:00:00 AM,3.578,0.0
38,11/23/19 07:00:00 AM,3.367,118.4
39,11/23/19 08:00:00 AM,3.367,1194.8
40,11/23/19 09:00:00 AM,3.367,2066.7
41,11/23/19 10:00:00 AM,4.311,21355.7
42,11/23/19 11:00:00 AM,5.037,7233.4
43,11/23/19 12:00:00 PM,6.573,37200.2
44,11/23/19 01:00:00 PM,5.347,14466.8
45,11/23/19 02:00:00 PM,5.347,11022.3
46,11/23/19 03:00:00 PM,4.934,2238.9
47,11/23/19 04:00:00 PM,4.727,1054.9
48,11/23/19 05:00:00 PM,4.519,43.1
49,11/23/19 06:00:00 PM,4.415,0.0
50,11/23/19 07:00:00 PM,4.311,0.0
51,11/23/19 08:00:00 PM,4.415,0.0
52,11/23/19 09:00:00 PM,4.102,0.0
53,11/23/19 10:00:00 PM,4.207,0.0
54,11/23/19 11:00:00 PM,4.207,0.0
55,11/24/19 12:00:00 AM,4.102,0.0
56,11/24/19 01:00:00 AM,3.788,0.0
57,11/24/19 02:00:00 AM,3.683,0.0
58,11/24/19 03:00:00 AM,3.578,0.0
59,11/24/19 04:00:00 AM,3.578,0.0
60,11/24/19 05:00:00 AM,3.472,0.0
61,11/24/19 06:00:00 AM,3.367,0.0
62,11/24/19 07:00:00 AM,3.261,86.1
63,11/24/19 08:00:00 AM,3.261,1550.0
64,11/24/19 09:00:00 AM,3.261,2497.2
65,11/24/19 10:00:00 AM,4.102,20666.8
66,11/24/19 11:00:00 AM,4.727,15155.7
67,11/24/19 12:00:00 PM,5.552,42711.4
68,11/24/19 01:00:00 PM,5.141,7233.4
69,11/24/19 02:00:00 PM,5.552,10677.8
70,11/24/19 03:00:00 PM,4.934,3961.1
71,11/24/19 04:00:00 PM,4.831,3272.2
72,11/24/19 05:00:00 PM,4.519,21.5
73,11/24/19 06:00:00 PM,4.519,0.0
74,11/24/19 07:00:00 PM,4.415,0.0
75,11/24/19 08:00:00 PM,4.311,0.0
76,11/24/19 09:00:00 PM,4.311,0.0
77,11/24/19 10:00:00 PM,4.311,0.0
78,11/24/19 11:00:00 PM,4.102,0.0
79,11/25/19 12:00:00 AM,3.683,0.0
80,11/25/19 01:00:00 AM,3.261,0.0
81,11/25/19 02:00:00 AM,3.049,0.0
82,11/25/19 03:00:00 AM,2.943,0.0
83,11/25/19 04:00:00 AM,2.943,0.0
84,11/25/19 05:00:00 AM,2.943,0.0
85,11/25/19 06:00:00 AM,2.837,0.0
86,11/25/19 07:00:00 AM,2.943,64.6
87,11/25/19 08:00:00 AM,3.049,2583.4
88,11/25/19 09:00:00 AM,3.261,4650.0
89,11/25/19 10:00:00 AM,3.472,8611.2
90,11/25/19 11:00:00 AM,4.207,20666.8
91,11/25/19 12:00:00 PM,4.727,16533.4
92,11/25/19 01:00:00 PM,5.450,17222.3
93,11/25/19 02:00:00 PM,5.141,4650.0
94,11/25/19 03:00:00 PM,4.519,419.8
95,11/25/19 04:00:00 PM,4.415,549.0
96,11/25/19 05:00:00 PM,4.207,0.0
97,11/25/19 06:00:00 PM,4.311,0.0
98,11/25/19 07:00:00 PM,4.207,0.0
99,11/25/19 08:00:00 PM,3.998,0.0
100,11/25/19 09:00:00 PM,3.893,0.0
101,11/25/19 10:00:00 PM,3.893,0.0
102,11/25/19 11:00:00 PM,3.788,0.0
103,11/26/19 12:00:00 AM,3.683,0.0
104,11/26/19 01:00:00 AM,3.578,0.0
105,11/26/19 02:00:00 AM,3.472,0.0
106,11/26/19 03:00:00 AM,3.472,0.0
107,11/26/19 04:00:00 AM,3.367,0.0
108,11/26/19 05:00:00 AM,3.261,0.0
109,11/26/19 06:00:00 AM,3.155,0.0
110,11/26/19 07:00:00 AM,3.049,0.0
111,11/26/19 08:00:00 AM,3.049,710.4
112,11/26/19 09:00:00 AM,2.943,602.8
113,11/26/19 10:00:00 AM,3.049,516.7
114,11/26/19 11:00:00 AM,3.049,183.0
115,11/26/19 12:00:00 PM,3.049,279.9
116,11/26/19 01:00:00 PM,3.049,0.0
117,11/26/19 02:00:00 PM,2.943,0.0
118,11/26/19 03:00:00 PM,2.837,0.0
119,11/26/19 04:00:00 PM,2.837,0.0
120,11/26/19 05:00:00 PM,1.656,0.0
121,11/26/19 06:00:00 PM,1.330,0.0
122,11/26/19 07:00:00 PM,0.893,0.0
123,11/26/19 08:00:00 PM,1.330,0.0
124,11/26/19 09:00:00 PM,0.893,0.0
125,11/26/19 10:00:00 PM,1.003,0.0
126,11/26/19 11:00:00 PM,0.893,0.0
127,11/27/19 12:00:00 AM,0.893,0.0
128,11/27/19 01:00:00 AM,0.674,0.0
129,11/27/19 02:00:00 AM,0.563,0.0
130,11/27/19 03:00:00 AM,0.563,0.0
131,11/27/19 04:00:00 AM,0.563,0.0
132,11/27/19 05:00:00 AM,0.453,0.0
133,11/27/19 06:00:00 AM,0.453,0.0
134,11/27/19 07:00:00 AM,0.453,0.0
135,11/27/19 08:00:00 AM,0.453,75.3
136,11/27/19 09:00:00 AM,0.563,430.6
137,11/27/19 10:00:00 AM,0.563,775.0
138,11/27/19 11:00:00 AM,0.563,1356.3
139,11/27/19 12:00:00 PM,0.563,796.5
140,11/27/19 01:00:00 PM,0.563,1087.2
141,11/27/19 02:00:00 PM,0.453,570.5
142,11/27/19 03:00:00 PM,0.453,322.9
143,11/27/19 04:00:00 PM,0.453,107.6
144,11/27/19 05:00:00 PM,0.453,0.0
145,11/27/19 06:00:00 PM,0.453,0.0
146,11/27/19 07:00:00 PM,0.453,0.0
147,11/27/19 08:00:00 PM,0.453,0.0
148,11/27/19 09:00:00 PM,0.453,0.0
149,11/27/19 10:00:00 PM,0.453,0.0
150,11/27/19 11:00:00 PM,0.453,0.0
151,11/28/19 12:00:00 AM,0.453,0.0
152,11/28/19 01:00:00 AM,0.453,0.0
153,11/28/19 02:00:00 AM,0.453,0.0
154,11/28/19 03:00:00 AM,0.453,0.0
155,11/28/19 04:00:00 AM,0.453,0.0
156,11/28/19 05:00:00 AM,0.453,0.0
157,11/28/19 06:00:00 AM,0.453,0.0
158,11/28/19 07:00:00 AM,0.453,0.0
159,11/28/19 08:00:00 AM,0.453,10.8
160,11/28/19 09:00:00 AM,0.453,43.1
161,11/28/19 10:00:00 AM,0.453,150.7
162,11/28/19 11:00:00 AM,0.453,419.8
163,11/28/19 12:00:00 PM,0.453,226.0
164,11/28/19 01:00:00 PM,0.453,419.8
165,11/28/19 02:00:00 PM,0.453,150.7
166,11/28/19 03:00:00 PM,0.453,139.9
167,11/28/19 04:00:00 PM,0.453,53.8
168,11/28/19 05:00:00 PM,0.343,0.0
169,11/28/19 06:00:00 PM,0.453,0.0
170,11/28/19 07:00:00 PM,0.453,0.0
171,11/28/19 08:00:00 PM,0.453,0.0
