"Plot Title: soapstone_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733885, SEN S/N: 20733885)","Intensity, Lux (LGR S/N: 20733885, SEN S/N: 20733885)"
1,10/11/20 06:00:00 PM,7.582,1345.5
2,10/11/20 10:00:00 PM,4.415,0.0
3,10/12/20 02:00:00 AM,2.943,0.0
4,10/12/20 06:00:00 AM,2.088,0.0
5,10/12/20 10:00:00 AM,9.669,18600.1
6,10/12/20 02:00:00 PM,34.374,115734.1
7,10/12/20 06:00:00 PM,10.259,2325.0
8,10/12/20 10:00:00 PM,6.573,0.0
9,10/13/20 02:00:00 AM,5.757,0.0
10,10/13/20 06:00:00 AM,5.655,0.0
11,10/13/20 10:00:00 AM,15.378,28933.5
12,10/13/20 02:00:00 PM,33.848,132267.5
13,10/13/20 06:00:00 PM,11.819,1324.0
14,10/13/20 10:00:00 PM,10.259,0.0
15,10/14/20 02:00:00 AM,6.775,0.0
16,10/14/20 06:00:00 AM,5.552,0.0
17,10/14/20 10:00:00 AM,10.357,9300.1
18,10/14/20 02:00:00 PM,34.163,126756.4
19,10/14/20 06:00:00 PM,10.553,1227.1
20,10/14/20 10:00:00 PM,5.860,0.0
21,10/15/20 02:00:00 AM,5.244,0.0
22,10/15/20 06:00:00 AM,4.102,0.0
23,10/15/20 10:00:00 AM,10.161,5511.1
24,10/15/20 02:00:00 PM,38.268,132267.5
25,10/15/20 06:00:00 PM,8.680,1227.1
26,10/15/20 10:00:00 PM,5.860,0.0
27,10/16/20 02:00:00 AM,5.860,0.0
28,10/16/20 06:00:00 AM,4.727,0.0
29,10/16/20 10:00:00 AM,11.139,6200.0
30,10/16/20 02:00:00 PM,40.645,148801.0
31,10/16/20 06:00:00 PM,12.883,1194.8
32,10/16/20 10:00:00 PM,7.079,0.0
33,10/17/20 02:00:00 AM,5.347,0.0
34,10/17/20 06:00:00 AM,5.037,0.0
35,10/17/20 10:00:00 AM,11.431,7577.8
36,10/17/20 02:00:00 PM,39.163,126756.4
37,10/17/20 06:00:00 PM,10.357,1097.9
38,10/17/20 10:00:00 PM,6.268,0.0
39,10/18/20 02:00:00 AM,4.519,0.0
40,10/18/20 06:00:00 AM,4.102,0.0
41,10/18/20 10:00:00 AM,11.625,11022.3
42,10/18/20 02:00:00 PM,41.341,148801.0
43,10/18/20 06:00:00 PM,10.063,1205.6
44,10/18/20 10:00:00 PM,5.655,0.0
45,10/19/20 02:00:00 AM,5.141,0.0
46,10/19/20 06:00:00 AM,3.578,0.0
47,10/19/20 10:00:00 AM,9.472,14466.8
48,10/19/20 02:00:00 PM,37.384,154312.1
49,10/19/20 06:00:00 PM,9.373,2669.5
50,10/19/20 10:00:00 PM,5.141,0.0
51,10/20/20 02:00:00 AM,5.141,0.0
52,10/20/20 06:00:00 AM,8.581,0.0
53,10/20/20 10:00:00 AM,13.846,7577.8
54,10/20/20 02:00:00 PM,39.389,148801.0
55,10/20/20 06:00:00 PM,10.357,1550.0
56,10/20/20 10:00:00 PM,5.655,0.0
57,10/21/20 02:00:00 AM,4.102,0.0
58,10/21/20 06:00:00 AM,3.683,0.0
59,10/21/20 10:00:00 AM,8.382,5511.1
60,10/21/20 02:00:00 PM,38.714,154312.1
61,10/21/20 06:00:00 PM,6.064,1173.3
62,10/21/20 10:00:00 PM,2.195,0.0
63,10/22/20 02:00:00 AM,-1.456,0.0
64,10/22/20 06:00:00 AM,-2.494,0.0
65,10/22/20 10:00:00 AM,1.003,5511.1
66,10/22/20 02:00:00 PM,33.222,154312.1
67,10/22/20 06:00:00 PM,3.893,1722.2
68,10/22/20 10:00:00 PM,1.439,0.0
69,10/23/20 02:00:00 AM,-0.887,0.0
70,10/23/20 06:00:00 AM,-2.844,0.0
71,10/23/20 10:00:00 AM,2.088,15155.7
72,10/23/20 02:00:00 PM,36.728,137778.7
73,10/23/20 06:00:00 PM,4.831,968.8
74,10/23/20 10:00:00 PM,3.049,0.0
75,10/24/20 02:00:00 AM,2.837,0.0
76,10/24/20 06:00:00 AM,1.980,0.0
77,10/24/20 10:00:00 AM,6.268,13089.0
78,10/24/20 02:00:00 PM,31.472,137778.7
79,10/24/20 06:00:00 PM,5.347,925.7
80,10/24/20 10:00:00 PM,1.221,0.0
81,10/25/20 02:00:00 AM,-0.887,0.0
82,10/25/20 06:00:00 AM,-1.114,0.0
83,10/25/20 10:00:00 AM,-1.799,6200.0
84,10/25/20 02:00:00 PM,29.853,143289.8
85,10/25/20 06:00:00 PM,-1.799,1119.5
86,10/25/20 10:00:00 PM,-2.962,0.0
87,10/26/20 02:00:00 AM,-1.799,0.0
88,10/26/20 06:00:00 AM,-4.152,0.0
89,10/26/20 10:00:00 AM,1.221,6544.5
90,10/26/20 02:00:00 PM,32.086,143289.8
91,10/26/20 06:00:00 PM,4.415,1280.9
92,10/26/20 10:00:00 PM,1.656,0.0
93,10/27/20 02:00:00 AM,0.010,0.0
94,10/27/20 06:00:00 AM,-1.001,0.0
95,10/27/20 10:00:00 AM,2.943,6544.5
96,10/27/20 02:00:00 PM,39.502,170845.6
97,10/27/20 06:00:00 PM,3.998,839.6
98,10/27/20 10:00:00 PM,2.517,0.0
99,10/28/20 02:00:00 AM,1.330,0.0
100,10/28/20 06:00:00 AM,0.232,0.0
101,10/28/20 10:00:00 AM,4.623,4822.3
102,10/28/20 02:00:00 PM,40.645,170845.6
103,10/28/20 06:00:00 PM,5.757,807.3
104,10/28/20 10:00:00 PM,2.730,0.0
105,10/29/20 02:00:00 AM,1.548,0.0
106,10/29/20 06:00:00 AM,1.003,0.0
107,10/29/20 10:00:00 AM,5.552,5166.7
108,10/29/20 02:00:00 PM,39.050,126756.4
109,10/29/20 06:00:00 PM,6.573,731.9
110,10/29/20 10:00:00 PM,3.788,0.0
111,10/30/20 02:00:00 AM,2.303,0.0
112,10/30/20 06:00:00 AM,2.088,0.0
113,10/30/20 10:00:00 AM,7.179,4994.5
114,10/30/20 02:00:00 PM,30.457,41333.6
115,10/30/20 06:00:00 PM,7.079,968.8
116,10/30/20 10:00:00 PM,3.472,0.0
117,10/31/20 02:00:00 AM,1.656,0.0
118,10/31/20 06:00:00 AM,0.453,0.0
