"Plot Title: soapstone_light_pendant"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733885, SEN S/N: 20733885)","Intensity, Lux (LGR S/N: 20733885, SEN S/N: 20733885)","Coupler Attached (LGR S/N: 20733885)","Host Connected (LGR S/N: 20733885)","Stopped (LGR S/N: 20733885)","End Of File (LGR S/N: 20733885)"
1,10/17/21 03:00:00 PM,8.879,44089.2,,,,
2,10/17/21 04:00:00 PM,6.978,3616.7,,,,
3,10/17/21 05:00:00 PM,6.471,2152.8,,,,
4,10/17/21 06:00:00 PM,3.998,462.9,,,,
5,10/17/21 07:00:00 PM,3.893,0.0,,,,
6,10/17/21 08:00:00 PM,4.415,0.0,,,,
7,10/17/21 09:00:00 PM,4.519,0.0,,,,
8,10/17/21 10:00:00 PM,3.472,0.0,,,,
9,10/17/21 11:00:00 PM,3.893,0.0,,,,
10,10/18/21 12:00:00 AM,4.311,0.0,,,,
11,10/18/21 01:00:00 AM,4.311,0.0,,,,
12,10/18/21 02:00:00 AM,3.578,0.0,,,,
13,10/18/21 03:00:00 AM,2.943,0.0,,,,
14,10/18/21 04:00:00 AM,3.049,0.0,,,,
15,10/18/21 05:00:00 AM,2.730,0.0,,,,
16,10/18/21 06:00:00 AM,3.049,0.0,,,,
17,10/18/21 07:00:00 AM,1.221,0.0,,,,
18,10/18/21 08:00:00 AM,1.003,3616.7,,,,
19,10/18/21 09:00:00 AM,1.221,1980.6,,,,
20,10/18/21 10:00:00 AM,1.548,7233.4,,,,
21,10/18/21 11:00:00 AM,3.683,13089.0,,,,
22,10/18/21 12:00:00 PM,7.882,68889.3,,,,
23,10/18/21 01:00:00 PM,8.382,71644.9,,,,
24,10/18/21 02:00:00 PM,9.571,52355.9,,,,
25,10/18/21 03:00:00 PM,7.882,24800.2,,,,
26,10/18/21 04:00:00 PM,7.983,31689.1,,,,
27,10/18/21 05:00:00 PM,7.179,2927.8,,,,
28,10/18/21 06:00:00 PM,6.877,968.8,,,,
29,10/18/21 07:00:00 PM,6.573,0.0,,,,
30,10/18/21 08:00:00 PM,6.573,0.0,,,,
31,10/18/21 09:00:00 PM,6.573,0.0,,,,
32,10/18/21 10:00:00 PM,6.370,0.0,,,,
33,10/18/21 11:00:00 PM,5.860,0.0,,,,
34,10/19/21 12:00:00 AM,5.552,0.0,,,,
35,10/19/21 01:00:00 AM,5.037,0.0,,,,
36,10/19/21 02:00:00 AM,5.244,0.0,,,,
37,10/19/21 03:00:00 AM,4.831,0.0,,,,
38,10/19/21 04:00:00 AM,4.831,0.0,,,,
39,10/19/21 05:00:00 AM,4.519,0.0,,,,
40,10/19/21 06:00:00 AM,4.102,0.0,,,,
41,10/19/21 07:00:00 AM,4.415,0.0,,,,
42,10/19/21 08:00:00 AM,4.102,1291.7,,,,
43,10/19/21 09:00:00 AM,4.415,3616.7,,,,
44,10/19/21 10:00:00 AM,5.347,23422.4,,,,
45,10/19/21 11:00:00 AM,5.141,20666.8,,,,
46,10/19/21 12:00:00 PM,5.450,22044.6,,,,
47,10/19/21 01:00:00 PM,5.552,13089.0,,,,
48,10/19/21 02:00:00 PM,5.860,17911.2,,,,
49,10/19/21 03:00:00 PM,5.450,10333.4,,,,
50,10/19/21 04:00:00 PM,6.674,33066.9,,,,
51,10/19/21 05:00:00 PM,5.552,7577.8,,,,
52,10/19/21 06:00:00 PM,5.450,1227.1,,,,
53,10/19/21 07:00:00 PM,5.141,0.0,,,,
54,10/19/21 08:00:00 PM,4.934,0.0,,,,
55,10/19/21 09:00:00 PM,4.519,0.0,,,,
56,10/19/21 10:00:00 PM,3.788,0.0,,,,
57,10/19/21 11:00:00 PM,2.088,0.0,,,,
58,10/20/21 12:00:00 AM,0.784,0.0,,,,
59,10/20/21 01:00:00 AM,0.674,0.0,,,,
60,10/20/21 02:00:00 AM,0.674,0.0,,,,
61,10/20/21 03:00:00 AM,0.674,0.0,,,,
62,10/20/21 04:00:00 AM,0.563,0.0,,,,
63,10/20/21 05:00:00 AM,0.453,0.0,,,,
64,10/20/21 06:00:00 AM,0.453,0.0,,,,
65,10/20/21 07:00:00 AM,0.453,0.0,,,,
66,10/20/21 08:00:00 AM,0.453,290.6,,,,
67,10/20/21 09:00:00 AM,0.563,2066.7,,,,
68,10/20/21 10:00:00 AM,0.674,3788.9,,,,
69,10/20/21 11:00:00 AM,1.003,8611.2,,,,
70,10/20/21 12:00:00 PM,1.112,8611.2,,,,
71,10/20/21 01:00:00 PM,1.221,10333.4,,,,
72,10/20/21 02:00:00 PM,1.656,10677.8,,,,
73,10/20/21 03:00:00 PM,1.764,11022.3,,,,
74,10/20/21 04:00:00 PM,1.439,6200.0,,,,
75,10/20/21 05:00:00 PM,1.439,4650.0,,,,
76,10/20/21 06:00:00 PM,1.003,914.9,,,,
77,10/20/21 07:00:00 PM,1.003,0.0,,,,
78,10/20/21 08:00:00 PM,1.003,0.0,,,,
79,10/20/21 09:00:00 PM,1.003,0.0,,,,
80,10/20/21 10:00:00 PM,1.221,0.0,,,,
81,10/20/21 11:00:00 PM,1.112,0.0,,,,
82,10/21/21 12:00:00 AM,1.003,0.0,,,,
83,10/21/21 01:00:00 AM,1.112,0.0,,,,
84,10/21/21 02:00:00 AM,1.112,0.0,,,,
85,10/21/21 03:00:00 AM,1.221,0.0,,,,
86,10/21/21 04:00:00 AM,1.221,0.0,,,,
87,10/21/21 05:00:00 AM,1.112,0.0,,,,
88,10/21/21 06:00:00 AM,1.656,0.0,,,,
89,10/21/21 07:00:00 AM,1.872,0.0,,,,
90,10/21/21 08:00:00 AM,2.410,1001.0,,,,
91,10/21/21 09:00:00 AM,3.155,4305.6,,,,
92,10/21/21 10:00:00 AM,3.367,3272.2,,,,
93,10/21/21 11:00:00 AM,3.367,9300.1,,,,
94,10/21/21 12:00:00 PM,3.578,3788.9,,,,
95,10/21/21 01:00:00 PM,3.998,4650.0,,,,
96,10/21/21 02:00:00 PM,3.578,3961.1,,,,
97,10/21/21 03:00:00 PM,4.415,1808.3,,,,
98,10/21/21 04:00:00 PM,4.623,1216.3,,,,
99,10/21/21 05:00:00 PM,4.934,355.2,,,,
100,10/21/21 06:00:00 PM,5.141,53.8,,,,
101,10/21/21 07:00:00 PM,5.450,0.0,,,,
102,10/21/21 08:00:00 PM,5.655,0.0,,,,
103,10/21/21 09:00:00 PM,5.962,0.0,,,,
104,10/21/21 10:00:00 PM,6.166,0.0,,,,
105,10/21/21 11:00:00 PM,6.370,0.0,,,,
106,10/22/21 12:00:00 AM,6.573,0.0,,,,
107,10/22/21 01:00:00 AM,6.775,0.0,,,,
108,10/22/21 02:00:00 AM,6.877,0.0,,,,
109,10/22/21 03:00:00 AM,6.877,0.0,,,,
110,10/22/21 04:00:00 AM,6.775,0.0,,,,
111,10/22/21 05:00:00 AM,6.674,0.0,,,,
112,10/22/21 06:00:00 AM,6.471,0.0,,,,
113,10/22/21 07:00:00 AM,6.370,0.0,,,,
114,10/22/21 08:00:00 AM,6.370,645.8,,,,
115,10/22/21 09:00:00 AM,6.268,764.2,,,,
116,10/22/21 10:00:00 AM,6.370,3444.5,,,,
117,10/22/21 11:00:00 AM,6.370,3616.7,,,,
118,10/22/21 12:00:00 PM,7.079,11022.3,,,,
119,10/22/21 01:00:00 PM,7.481,10333.4,,,,
120,10/22/21 02:00:00 PM,7.782,7233.4,,,,
121,10/22/21 03:00:00 PM,7.682,3444.5,,,,
122,10/22/21 04:00:00 PM,7.782,5166.7,,,,
123,10/22/21 05:00:00 PM,7.682,1980.6,,,,
124,10/22/21 06:00:00 PM,7.481,355.2,,,,
125,10/22/21 07:00:00 PM,7.381,0.0,,,,
126,10/22/21 08:00:00 PM,7.179,0.0,,,,
127,10/22/21 09:00:00 PM,7.079,0.0,,,,
128,10/22/21 10:00:00 PM,6.978,0.0,,,,
129,10/22/21 11:00:00 PM,6.877,0.0,,,,
130,10/23/21 12:00:00 AM,6.877,0.0,,,,
131,10/23/21 01:00:00 AM,6.877,0.0,,,,
132,10/23/21 02:00:00 AM,6.674,0.0,,,,
133,10/23/21 03:00:00 AM,6.573,0.0,,,,
134,10/23/21 04:00:00 AM,6.471,0.0,,,,
135,10/23/21 05:00:00 AM,6.370,0.0,,,,
136,10/23/21 06:00:00 AM,6.268,0.0,,,,
137,10/23/21 07:00:00 AM,6.166,0.0,,,,
138,10/23/21 08:00:00 AM,5.962,667.4,,,,
139,10/23/21 09:00:00 AM,6.064,1280.9,,,,
140,10/23/21 10:00:00 AM,5.860,1463.9,,,,
141,10/23/21 11:00:00 AM,5.860,6200.0,,,,
142,10/23/21 12:00:00 PM,5.552,2755.6,,,,
143,10/23/21 01:00:00 PM,5.552,9644.5,,,,
144,10/23/21 02:00:00 PM,5.450,4994.5,,,,
145,10/23/21 03:00:00 PM,5.450,3444.5,,,,
146,10/23/21 04:00:00 PM,5.347,1636.1,,,,
147,10/23/21 05:00:00 PM,5.347,882.6,,,,
148,10/23/21 06:00:00 PM,5.244,161.5,,,,
149,10/23/21 07:00:00 PM,5.141,0.0,,,,
150,10/23/21 08:00:00 PM,5.037,0.0,,,,
151,10/23/21 09:00:00 PM,4.934,0.0,,,,
152,10/23/21 10:00:00 PM,4.623,0.0,,,,
153,10/23/21 11:00:00 PM,4.415,0.0,,,,
154,10/24/21 12:00:00 AM,4.311,0.0,,,,
155,10/24/21 01:00:00 AM,4.207,0.0,,,,
156,10/24/21 02:00:00 AM,4.207,0.0,,,,
157,10/24/21 03:00:00 AM,3.998,0.0,,,,
158,10/24/21 04:00:00 AM,3.788,0.0,,,,
159,10/24/21 05:00:00 AM,3.683,0.0,,,,
160,10/24/21 06:00:00 AM,3.578,0.0,,,,
161,10/24/21 07:00:00 AM,3.578,0.0,,,,
162,10/24/21 08:00:00 AM,3.261,21.5,,,,
163,10/24/21 09:00:00 AM,3.049,150.7,,,,
164,10/24/21 10:00:00 AM,2.837,387.5,,,,
165,10/24/21 11:00:00 AM,2.837,1980.6,,,,
166,10/24/21 12:00:00 PM,2.943,1636.1,,,,
167,10/24/21 01:00:00 PM,3.049,1722.2,,,,
168,10/24/21 02:00:00 PM,3.049,1194.8,,,,
169,10/24/21 03:00:00 PM,3.261,1184.0,,,,
170,10/24/21 04:00:00 PM,3.367,1636.1,,,,
171,10/24/21 05:00:00 PM,3.472,1280.9,,,,
172,10/24/21 06:00:00 PM,3.367,118.4,,,,
173,10/24/21 07:00:00 PM,3.472,0.0,,,,
174,10/24/21 08:00:00 PM,3.367,0.0,,,,
175,10/24/21 09:00:00 PM,3.367,0.0,,,,
176,10/24/21 10:00:00 PM,3.261,0.0,,,,
177,10/24/21 11:00:00 PM,3.155,0.0,,,,
178,10/25/21 12:00:00 AM,3.049,0.0,,,,
179,10/25/21 01:00:00 AM,2.730,0.0,,,,
180,10/25/21 02:00:00 AM,2.730,0.0,,,,
181,10/25/21 03:00:00 AM,2.730,0.0,,,,
182,10/25/21 04:00:00 AM,2.624,0.0,,,,
183,10/25/21 05:00:00 AM,2.624,0.0,,,,
184,10/25/21 06:00:00 AM,2.517,0.0,,,,
185,10/25/21 07:00:00 AM,2.624,0.0,,,,
186,10/25/21 08:00:00 AM,2.730,409.0,,,,
187,10/25/21 09:00:00 AM,2.837,645.8,,,,
188,10/25/21 10:00:00 AM,2.943,1280.9,,,,
189,10/25/21 11:00:00 AM,3.367,4305.6,,,,
190,10/25/21 12:00:00 PM,3.683,4477.8,,,,
191,10/25/21 01:00:00 PM,4.102,2755.6,,,,
192,10/25/21 02:00:00 PM,4.311,7577.8,,,,
193,10/25/21 03:00:00 PM,4.934,4133.4,,,,
194,10/25/21 04:00:00 PM,4.727,3444.5,,,,
195,10/25/21 05:00:00 PM,4.519,1463.9,,,,
196,10/25/21 06:00:00 PM,4.207,96.9,,,,
197,10/25/21 07:00:00 PM,4.207,0.0,,,,
198,10/25/21 08:00:00 PM,4.207,0.0,,,,
