MiniDOT Logger Concatenated Data File
Sensor:             7450-935944
Concatenation Date: 2021Aug28 10:10:55 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1755.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1623592800,           2021-06-13 14:00:00,           2021-06-13 07:00:00,      3.510000,     18.111000,          7.549000,                    99.310304,      0.949000
                1623593400,           2021-06-13 14:10:00,           2021-06-13 07:10:00,      3.510000,     16.937000,          7.748000,                    99.446564,      0.949000
                1623594000,           2021-06-13 14:20:00,           2021-06-13 07:20:00,      3.510000,     15.754000,          7.949000,                    99.477479,      0.948000
                1623594600,           2021-06-13 14:30:00,           2021-06-13 07:30:00,      3.510000,     15.138000,          8.057000,                    99.490456,      0.948000
                1623595200,           2021-06-13 14:40:00,           2021-06-13 07:40:00,      3.510000,     14.690000,          8.126000,                    99.363564,      0.948000
                1623595800,           2021-06-13 14:50:00,           2021-06-13 07:50:00,      3.510000,     14.319000,          8.199000,                    99.440132,      0.948000
                1623596400,           2021-06-13 15:00:00,           2021-06-13 08:00:00,      3.510000,     14.093000,          8.230000,                    99.317959,      0.948000
                1623597000,           2021-06-13 15:10:00,           2021-06-13 08:10:00,      3.510000,     13.972000,          8.254000,                    99.340364,      0.948000
                1623597600,           2021-06-13 15:20:00,           2021-06-13 08:20:00,      3.510000,     13.894000,          8.271000,                    99.372452,      0.948000
                1623598200,           2021-06-13 15:30:00,           2021-06-13 08:30:00,      3.510000,     13.842000,          8.274000,                    99.293486,      0.947000
                1623598800,           2021-06-13 15:40:00,           2021-06-13 08:40:00,      3.510000,     13.833000,          8.276000,                    99.297581,      0.948000
                1623599400,           2021-06-13 15:50:00,           2021-06-13 08:50:00,      3.510000,     13.807000,          8.273000,                    99.204105,      0.948000
                1623600000,           2021-06-13 16:00:00,           2021-06-13 09:00:00,      3.510000,     13.850000,          8.261000,                    99.155141,      0.948000
                1623600600,           2021-06-13 16:10:00,           2021-06-13 09:10:00,      3.500000,     13.920000,          8.245000,                    99.117389,      0.948000
                1623601200,           2021-06-13 16:20:00,           2021-06-13 09:20:00,      3.500000,     13.937000,          8.244000,                    99.142843,      0.948000
                1623601800,           2021-06-13 16:30:00,           2021-06-13 09:30:00,      3.500000,     13.955000,          8.240000,                    99.134403,      0.948000
                1623602400,           2021-06-13 16:40:00,           2021-06-13 09:40:00,      3.500000,     14.041000,          8.217000,                    99.046731,      0.948000
                1623603000,           2021-06-13 16:50:00,           2021-06-13 09:50:00,      3.500000,     14.707000,          8.128000,                    99.425130,      0.948000
                1623603600,           2021-06-13 17:00:00,           2021-06-13 10:00:00,      3.500000,     15.968000,          7.909000,                    99.434443,      0.949000
                1623604200,           2021-06-13 17:10:00,           2021-06-13 10:10:00,      3.500000,     16.164000,          7.840000,                    98.982829,      0.948000
                1623604800,           2021-06-13 17:20:00,           2021-06-13 10:20:00,      3.500000,     16.104000,          7.843000,                    98.893300,      0.948000
                1623605400,           2021-06-13 17:30:00,           2021-06-13 10:30:00,      3.500000,     15.959000,          7.868000,                    98.899825,      0.948000
                1623606000,           2021-06-13 17:40:00,           2021-06-13 10:40:00,      3.500000,     16.979000,          7.733000,                    99.342372,      0.949000
                1623606600,           2021-06-13 17:50:00,           2021-06-13 10:50:00,      3.490000,     17.597000,          7.602000,                    98.939556,      0.948000
                1623607200,           2021-06-13 18:00:00,           2021-06-13 11:00:00,      3.490000,     18.153000,          7.537000,                    99.239092,      0.949000
