MiniDOT Logger Concatenated Data File
Sensor:             7450-935944
Concatenation Date: 2021Oct15 08:03:02 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1755.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1630174380,           2021-08-28 18:13:00,           2021-08-28 11:13:00,      3.340000,     16.691000,          6.773000,                    86.479518,      0.950000
                1630174980,           2021-08-28 18:23:00,           2021-08-28 11:23:00,      3.370000,     16.402000,          6.807000,                    86.379813,      0.950000
                1630175580,           2021-08-28 18:33:00,           2021-08-28 11:33:00,      3.380000,     16.394000,          6.844000,                    86.834492,      0.951000
                1630176180,           2021-08-28 18:43:00,           2021-08-28 11:43:00,      3.390000,     16.496000,          6.839000,                    86.960243,      0.950000
                1630176780,           2021-08-28 18:53:00,           2021-08-28 11:53:00,      3.400000,     16.547000,          6.912000,                    87.984107,      0.951000
                1630177380,           2021-08-28 19:03:00,           2021-08-28 12:03:00,      3.410000,     16.759000,          6.902000,                    88.254110,      0.950000
                1630177980,           2021-08-28 19:13:00,           2021-08-28 12:13:00,      3.420000,     16.801000,          6.904000,                    88.358471,      0.951000
                1630178580,           2021-08-28 19:23:00,           2021-08-28 12:23:00,      3.420000,     17.047000,          6.978000,                    89.772320,      0.951000
                1630179180,           2021-08-28 19:33:00,           2021-08-28 12:33:00,      3.430000,     17.115000,          7.010000,                    90.313735,      0.950000
                1630179780,           2021-08-28 19:43:00,           2021-08-28 12:43:00,      3.430000,     17.191000,          7.132000,                    92.033108,      0.950000
                1630180380,           2021-08-28 19:53:00,           2021-08-28 12:53:00,      3.430000,     17.259000,          7.170000,                    92.656270,      0.951000
                1630180980,           2021-08-28 20:03:00,           2021-08-28 13:03:00,      3.440000,     17.377000,          7.204000,                    93.327303,      0.950000
                1630181580,           2021-08-28 20:13:00,           2021-08-28 13:13:00,      3.440000,     17.470000,          7.334000,                    95.197425,      0.950000
                1630182180,           2021-08-28 20:23:00,           2021-08-28 13:23:00,      3.440000,     17.546000,          7.351000,                    95.570498,      0.950000
                1630182780,           2021-08-28 20:33:00,           2021-08-28 13:33:00,      3.440000,     17.664000,          7.413000,                    96.615317,      0.950000
